量,中位,p10,p25,p75,p90
重疊÷營飆_逐日均值,0.34788270827811646,0.34387790072739055,0.3451348396501458,0.3502317729039668,0.35302439482286424
重疊÷營飆_逐日中位,0.3,0.2857142857142857,0.2857142857142857,0.3,0.3
重疊÷#13_逐日均值,0.175080159192529,0.17301749325331006,0.17373175100761948,0.17609603463182932,0.17744369121583045
重疊÷#13_逐日中位,0.1,0.1,0.1,0.10526315789473684,0.1111111111111111
同時持有檔數_逐日均值,2.7911802853437093,2.75516645049719,2.7665369649805447,2.8119325551232164,2.8353220925205362
營飆持股數_逐日均值,8.386078685689581,8.386078685689581,8.386078685689581,8.386078685689581,8.38651102464332
#13持股數_逐日均值,17.830955469087765,17.830955469087765,17.830955469087765,17.830955469087765,17.830955469087765
營飆進場_同檔同週也在#13進場,0.5337423312883436,0.5214723926380368,0.5276073619631901,0.5398773006134969,0.5460122699386503
#13進場_同檔同週也在營飆進場,0.12446351931330472,0.12160228898426323,0.12303290414878398,0.12589413447782546,0.12732474964234622
天數_營飆空手,157.0,157.0,157.0,157.0,157.0
