r,全期_營飆×#13,全期_營飆×0050,2017_營飆×#13,2018_營飆×#13,2019_營飆×#13,2020_營飆×#13,2021_營飆×#13,2022_營飆×#13,2023_營飆×#13,2024_營飆×#13,2025_營飆×#13,2026_營飆×#13
0,0.7578060560944808,0.49253217243685865,0.7733382226572812,0.6761079409263532,0.6537949809448317,0.7747812973866317,0.8506817120447675,0.5180316563776647,0.7745014183202863,0.7803840472118921,0.8178581878459023,0.8206573828543401
1,0.758630467848345,0.4820347128092995,0.7733382226572816,0.6506996471302156,0.696248216179658,0.7982256523170945,0.8447262984048708,0.5182832392766011,0.7725989797458894,0.7840373297827921,0.8117801292426883,0.8197657238494771
2,0.7559424434328844,0.4876347740470304,0.780932144384884,0.6630668794817426,0.6537826169829998,0.7701423406083302,0.8498755016803942,0.5182931386513413,0.7727928772641111,0.7888962270758549,0.8061833406331504,0.8260364685375785
3,0.7638733876153011,0.49508393293886677,0.7728348594098354,0.6634769073460515,0.6970251030571858,0.7931580741543696,0.8643786326396911,0.5178759972903154,0.7725989797458895,0.7811593966575324,0.8108856463054636,0.8310118773573422
4,0.7559939615447521,0.48232235794559225,0.765305024629211,0.6783700140978906,0.6970083773681857,0.7995882689375631,0.8319092260413143,0.5180789994581135,0.7745014183202873,0.779100543095086,0.803833038545717,0.8192966222018214
5,0.7567648278668624,0.4798040160774691,0.7733041315042596,0.6550946898456088,0.6969880833828865,0.8031281880983956,0.8411178239280642,0.5183006868987081,0.7745014183202875,0.789922439998305,0.8058763740999848,0.8111847985261673
6,0.7653594710568503,0.4883728792655345,0.7817354025644495,0.6409379809533009,0.6969175055805734,0.8025291580799646,0.8611139941900892,0.5183105245683854,0.7725989797458898,0.7849537421378303,0.8144307266716655,0.832055238552881
7,0.7567407190243735,0.4932432838393301,0.7640978058019874,0.6782427676144582,0.6537875446879774,0.775783882896347,0.8443653916371082,0.518303199220646,0.7745014183202871,0.789205603797268,0.8118132130545267,0.8181206794604795
8,0.7622060325281306,0.5046214482360513,0.7767507564718977,0.6546463614563972,0.6938648532984267,0.8017427753273627,0.8582520883308292,0.5178631109599523,0.7727928772641108,0.789062722298947,0.8048425096836106,0.8195302443188731
9,0.7611509300758411,0.4814002290054744,0.7813822912185551,0.6629570484289665,0.6970214130115512,0.7972912836121475,0.8475333571143373,0.5176441865621584,0.7727928772641108,0.7850766459093653,0.8156059545803317,0.8254474494136761
