量,中位,p10,p90
全期_營飆×#13,0.7606735765922907,0.7559532327794561,0.7666975190327084
全期_營飆×0050,0.48607444508176484,0.47597455368774033,0.4941209243647422
2017_營飆×#13,0.7733041315042595,0.7641179845579785,0.7814176023531446
2018_營飆×#13,0.6550501163118074,0.6405966313571629,0.6801743604310099
2019_營飆×#13,0.6939710253621783,0.653727413964653,0.6970066430918964
2020_營飆×#13,0.7961799096230413,0.7730547462606653,0.8015256711071438
2021_營飆×#13,0.8546651374052749,0.8390691711815488,0.869961221755965
2022_營飆×#13,0.518153836918234,0.5176435732301213,0.5183486811485877
2023_營飆×#13,0.7745014183202866,0.7725989797458895,0.7774539350147933
2024_營飆×#13,0.7858589824521923,0.7802850578236459,0.792274780821022
2025_營飆×#13,0.8091702655862717,0.8041444057996253,0.8142137963290134
2026_營飆×#13,0.8283315680642638,0.8138836324492987,0.8435890778438263
