鍵,組合,營飆,#13,0050,主窗年化_中位,主窗回落_中位,比值,對0050標籤,深淺註,主窗100萬期末_中位,主窗100萬期末_p10,主窗100萬期末_p90,年化_p10,年化_p90,回落_p10,回落_p90,再平衡成本合計_中位,F2017_期末中位,F2017_期末p10,F2017_期末p90,F2017_回落中位,Y2018_期末中位,Y2018_期末p10,Y2018_期末p90,Y2018_回落中位,Y2019_期末中位,Y2019_期末p10,Y2019_期末p90,Y2019_回落中位,Y2020_期末中位,Y2020_期末p10,Y2020_期末p90,Y2020_回落中位,Y2021_期末中位,Y2021_期末p10,Y2021_期末p90,Y2021_回落中位,Y2022_期末中位,Y2022_期末p10,Y2022_期末p90,Y2022_回落中位,Y2023_期末中位,Y2023_期末p10,Y2023_期末p90,Y2023_回落中位,Y2024_期末中位,Y2024_期末p10,Y2024_期末p90,Y2024_回落中位,Y2025_期末中位,Y2025_期末p10,Y2025_期末p90,Y2025_回落中位,L1Y_期末中位,L1Y_期末p10,L1Y_期末p90,L1Y_回落中位,YTD26_期末中位,YTD26_期末p10,YTD26_期末p90,YTD26_回落中位,L1Y_引擎原樣_期末中位,L1Y_引擎原樣_期末p10,L1Y_引擎原樣_期末p90,L1Y_引擎原樣_回落中位,YTD26_引擎原樣_期末中位,YTD26_引擎原樣_期末p10,YTD26_引擎原樣_期末p90,YTD26_引擎原樣_回落中位
A,純營飆 v1（參照）,1.0,0.0,0.0,0.394406557221616,-0.3894268315113051,1.0127873205114948,合格,回落比 0050 深 4.99 點、報酬多 15.42 點,23075660.57447447,18491819.475331936,28284849.269499514,0.3620790537280488,0.4247953947014781,-0.44103476018866106,-0.36195043806648153,0.0,1199382.4784282418,1158143.5806536179,1354052.5630997387,-0.1580950541433711,1008883.8886080161,1008883.8886080161,1008883.8886080161,-0.3554339574258916,1117069.0921412606,1105187.1620259115,1220462.3936005349,-0.11149116827558336,1227010.5987843238,1166464.7784329292,1279062.0275849416,-0.3525859780024452,1767896.855814854,1513857.7384102207,1983304.787678484,-0.259168971063205,876496.488655574,876496.488655574,876496.488655574,-0.1643768074049935,1830491.7276726975,1808827.9273810233,1837466.0806623003,-0.11431266472233396,1283265.1056895584,1247016.8701124152,1356405.1674890183,-0.16293546158178068,2007646.2512097866,1930190.375365052,2086637.4203856625,-0.37066258698518334,2568639.02847094,2139673.555817067,2967602.6019801265,-0.37887012612247006,1320834.8464532928,1294943.6580517585,1349592.6954595314,-0.3620021563161659,1980152.1895113057,1922832.7639802233,2068003.8010606375,-0.13188783566568119,1449308.5316586741,1449308.5316586741,1449308.5316586741,-0.15838852975483736
B,純 #13（參照）,0.0,1.0,0.0,0.3612317362788622,-0.32131436013029513,1.1242315349129752,合格,,18383492.99404141,18383492.99404141,18383492.99404141,0.3612317362788622,0.3612317362788622,-0.32131436013029513,-0.32131436013029513,0.0,1244981.6687005938,1244981.6687005938,1244981.6687005938,-0.10102345275720578,1027563.585148102,1027563.585148102,1027563.585148102,-0.30378053920124903,1132009.107949321,1132009.107949321,1132009.107949321,-0.11205537800762437,2037635.5961134355,2037635.5961134355,2037635.5961134355,-0.29397120296293133,1547476.1511847973,1547476.1511847973,1547476.1511847973,-0.2493596940118062,832267.8048486388,832267.8048486388,832267.8048486388,-0.24918836205066033,1447856.6204198461,1447856.6204198461,1447856.6204198461,-0.13200656503761352,1141234.111426132,1141234.111426132,1141234.111426132,-0.19357196076400476,1394607.6600726733,1394607.6600726733,1394607.6600726733,-0.352150720511073,1540024.256496784,1540024.256496784,1540024.256496784,-0.36686332580331177,1321973.443749059,1321973.443749059,1321973.443749059,-0.3614729655322409,1656689.3028149647,1656689.3028149647,1656689.3028149647,-0.16821302028062304,1418193.7106037217,1418193.7106037217,1418193.7106037217,-0.1616896196932188
Z,純 0050（參照）,0.0,0.0,1.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,不合格,,7632119.497649633,7632119.497649633,7632119.497649633,0.24020209886370614,0.24020209886370614,-0.3395700527611012,-0.3395700527611012,0.0,1165810.8893374135,1165810.8893374135,1165810.8893374135,-0.08166703556039777,945436.1092892764,945436.1092892764,945436.1092892764,-0.1599086236436322,1361356.703620882,1361356.703620882,1361356.703620882,-0.08358208955223885,1301989.7149353933,1301989.7149353933,1301989.7149353933,-0.28217651879384864,1198642.4308973842,1198642.4308973842,1198642.4308973842,-0.10442477876106192,781419.7611500875,781419.7611500875,781419.7611500875,-0.3395700527611012,1268819.4574256837,1268819.4574256837,1268819.4574256837,-0.07055352914012772,1492500.2828703474,1492500.2828703474,1492500.2828703474,-0.21301507893939745,1380651.6379397188,1380651.6379397188,1380651.6379397188,-0.27484989255721043,1963699.9942655626,1963699.9942655626,1963699.9942655626,-0.15367552143943577,1712921.279538594,1712921.279538594,1712921.279538594,-0.15367552143943577,1963699.9942655626,1963699.9942655626,1963699.9942655626,-0.15367552143943577,1712921.279538594,1712921.279538594,1712921.279538594,-0.15367552143943577
AB75,營飆／#13 ＝ 75／25,0.75,0.25,0.0,0.38946492670003385,-0.368178608975123,1.05781519405531,合格,回落比 0050 深 2.86 點、報酬多 14.93 點,22315063.532592528,18826169.60998229,26010241.924840566,0.3646669291920667,0.4121997888476374,-0.40914090496002786,-0.345678929941208,0.005793291367006149,1211431.07789992,1179769.4417451671,1327887.6068312572,-0.14234148527239088,1013553.812743037,1013553.8127430363,1013553.8127430377,-0.3402661624582744,1120804.096093278,1111892.648506765,1198349.0721877334,-0.11164004721760559,1429666.8481166014,1384257.4828530557,1468705.4197170637,-0.33812730902020804,1712791.6796573377,1522262.341603863,1874347.6285550608,-0.2534693832376268,865439.3177038403,865439.3177038402,865439.3177038404,-0.18465068885713462,1734832.950859483,1718585.100640729,1740063.7156016873,-0.10742841212144866,1247757.3571237018,1220571.1804408433,1302612.403473297,-0.16989487866594416,1854386.6034255086,1796294.6965419587,1913629.9803074133,-0.3662120681637193,2308937.5609268257,1989156.461276369,2599905.4685687427,-0.3725715162537522,1321119.4957772351,1301701.1044760838,1342687.8825319135,-0.3602253175891295,1897398.550295055,1857479.2787411779,1960766.8255713487,-0.13034412560203318,1441529.8263949365,1441529.826394936,1441529.8263949372,-0.14897995941195702
AB50,營飆／#13 ＝ 50／50,0.5,0.5,0.0,0.38247341459546536,-0.34849309048211397,1.097506450031311,合格,回落比 0050 深 0.89 點、報酬多 14.23 點,21277257.672345288,18910847.34963702,23562716.834219035,0.36531579180333695,0.3974948703523012,-0.37658514048265945,-0.3332410319310442,0.007859738454352259,1223031.9805614722,1201450.9055527844,1300984.9760329132,-0.12566147287432078,1018223.7368780584,1018223.7368780578,1018223.7368780589,-0.32582788274273694,1124539.1000452915,1118598.134987617,1176235.7507749286,-0.11178351898488158,1632323.0974488799,1602050.187273182,1658348.8118491876,-0.32353978224594554,1657686.5034998236,1530666.9447975091,1765390.4694316394,-0.2520249694374778,854382.1467521067,854382.1467521066,854382.1467521071,-0.20561211734168972,1639174.1740462692,1628342.273900434,1642661.3505410745,-0.10693307389534823,1212249.6085578448,1194125.4907692731,1248819.6394575746,-0.17762927414716878,1701126.95564123,1662399.0177188653,1740622.5402291648,-0.36164631386668666,2046813.5811992094,1838484.8404186838,2236221.6130670286,-0.36703503947758354,1321404.145101176,1308458.5509004083,1335783.0696042962,-0.3606414310815322,1815907.051809459,1791339.931545938,1856476.9499371825,-0.12861541944497357,1433751.1211311985,1433751.1211311975,1433751.1211311992,-0.14262999202459828
AB25,營飆／#13 ＝ 25／75,0.25,0.75,0.0,0.37319675438281663,-0.3286519098805999,1.1355380667600563,合格,,19966860.643950876,18750707.999791697,20999750.57086175,0.36408648505877955,0.3805525602260275,-0.34296779782531295,-0.3238374389690857,0.005940843716172646,1234177.1443890529,1223188.228922563,1273348.4151681978,-0.10996628150034332,1022893.6610130803,1022893.6610130802,1022893.6610130805,-0.3138210061946518,1128274.1039973055,1125303.621468468,1154122.4293621238,-0.1119218729003849,1834979.3467811577,1819842.891693309,1847992.2039813115,-0.30882166736977673,1602581.3273423105,1539071.5479911533,1656433.3103082182,-0.2506570543208644,843324.9758003738,843324.9758003738,843324.975800374,-0.22732427056565668,1543515.3972330564,1538099.4471601387,1545258.9854804592,-0.11886709506056482,1176741.8599919889,1167679.801097703,1195026.875441854,-0.18549997990408856,1547867.3078569518,1528503.3388957693,1567615.100150919,-0.35696078977340245,1789268.489457196,1687674.0487053639,1884555.8623125167,-0.36572143716030203,1321688.7944251182,1315215.9973247342,1328878.2566766783,-0.3610573136651859,1735672.4005007031,1724411.1352765271,1755121.8753033238,-0.13035569834415647,1425972.4158674602,1425972.4158674597,1425972.4158674604,-0.1521624499901705
T33,營飆／#13／0050 ＝ 1/3 各,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.34060515409071546,-0.31285491649313735,1.0887000207912245,合格,,15915646.621840928,14668039.06868493,17068340.186464746,0.3290633345251679,0.3505710950822917,-0.3266838669621022,-0.30130182446507026,0.011127006216493873,1204201.3898717707,1189694.0087563137,1255933.79256642,-0.09399914618159262,993961.1943484653,993961.1943484652,993961.1943484657,-0.2539496702275398,1203478.3012371548,1199517.6578653718,1237942.735056913,-0.09778334715756722,1522211.9699443844,1502030.0298272527,1539562.4462112566,-0.30783193016998045,1504671.8126323444,1419992.1068308007,1576474.4565868885,-0.20501026351096052,830061.3515514334,830061.3515514332,830061.3515514334,-0.22089850982840278,1515722.6018394083,1508501.3350755174,1518047.3861692767,-0.08686870633216509,1305666.4999953473,1293583.754802966,1330046.520595167,-0.16755668206360913,1594301.8497407264,1568483.224459149,1620632.2394660173,-0.3279720200747153,2020210.9229503362,1882767.4458358304,2143595.5486732014,-0.30338564184854905,1451909.8565803147,1443279.4604464695,1461495.8062490611,-0.2908486595376315,1868517.336712054,1850245.866149114,1897664.2312290536,-0.11682912014344014,1526807.8406003292,1526807.8406003288,1526807.8406003295,-0.14026287441666777
T442,營飆／#13／0050 ＝ 40／40／20,0.4,0.4,0.2,0.3581380168212335,-0.32333629958603005,1.107633189591643,合格,,17992812.21737987,16319541.303709738,19527942.282090466,0.34416850729433973,0.36996745205195913,-0.3454452629637901,-0.3159882033706524,0.01057936663591933,1211769.7962570838,1194414.933004291,1273955.114785626,-0.10513198380791378,1003666.211360303,1003666.2113603023,1003666.2113603032,-0.2837241544392903,1171902.6207604096,1167149.8487142695,1213259.9413441194,-0.10079743832952458,1566256.4209461838,1542038.0928056254,1587076.9924664302,-0.3141484351917414,1565877.6889793365,1464262.042017484,1652040.8617247893,-0.22420827748019034,839789.6696317031,839789.6696317028,839789.6696317033,-0.20667943201780165,1565103.2307221526,1556437.7106054854,1567892.9719179955,-0.09529408438448997,1268299.7434203448,1253800.4491894874,1297555.7681401288,-0.16941992198480138,1637031.8921009284,1606049.5417630353,1668628.3597712773,-0.3416581340025829,2030984.8744880361,1865845.7045568938,2180432.3966900683,-0.3297505281242454,1399707.5719886587,1389351.0966280445,1411210.7115911543,-0.31866791908434877,1847876.3042250087,1826858.2201838433,1881844.4332202673,-0.1215523327469009,1489585.1528126763,1489585.1528126758,1489585.152812677,-0.1375427361016298
T255,營飆／#13／0050 ＝ 25／25／50,0.25,0.25,0.5,0.3173993217775066,-0.30306494786613025,1.047298026420753,合格,,13496790.645766381,12680078.575773165,14268780.179097654,0.30871787392316113,0.32518395257258814,-0.3097555591131525,-0.2938096910297464,0.010042468065920521,1194679.2897594178,1183766.6216694652,1233405.5803181094,-0.08661425168199044,981829.9230836676,981829.9230836673,981829.9230836679,-0.21566741457881294,1242947.9018330877,1239977.4193042503,1268796.2271979062,-0.09410026777038522,1467156.4061921386,1452019.9511042896,1480169.2633922922,-0.29987290389264054,1428164.4671986029,1364654.6878474455,1482016.4501645106,-0.1802013850462177,817900.9539510973,817900.9539510973,817900.9539510976,-0.24794963404587028,1453996.8157359767,1448580.8656630588,1455740.4039833792,-0.07567932822637467,1352374.945714098,1343312.886819812,1370659.961163963,-0.17809930984370265,1540889.296790474,1521525.3278292916,1560637.0890844415,-0.3109944421751734,2006481.4190261108,1903571.353327157,2097952.1529554813,-0.2694332693894893,1517162.7123198847,1510689.915219501,1524352.1745714447,-0.2562564528967372,1893538.8177343043,1879142.7789265583,1916212.4701228517,-0.12603954769211598,1573336.2003348956,1573336.2003348952,1573336.200334896,-0.14364526446653883
