r,D,lo,hi,判過
1,-0.0003452578695056922,-0.0019400058365913228,0.0012494900975799385,False
2,-0.0016480585329025934,-0.003201094607843422,-9.502245796176438e-05,True
3,-7.979098484792608e-05,-0.0016380253823330315,0.0014784434126371795,False
4,-0.002251309799728766,-0.0038284157406505825,-0.0006742038588069493,True
5,-0.00015790108227749634,-0.0018558963993066092,0.0015400942347516162,False
6,-0.0011581037070867914,-0.0027450237653835344,0.00042881635120995136,False
7,4.655440963614165e-05,-0.0013481847539895874,0.0014412935732618709,False
8,0.0014216847270271604,-0.00024811530236441685,0.003091484756418738,False
9,-0.0005547667467136181,-0.0020745897234547227,0.0009650562300274867,False
10,0.0005289127436334119,-0.0010277391178283193,0.002085564605095143,False
11,0.0007153124564703461,-0.0010809613898745715,0.002511586302815264,False
12,0.0004725767348579074,-0.0013399502918009065,0.0022851037615167213,False
13,0.00091332416841269,-0.0005712124046279729,0.002397860741453353,False
14,-0.0011862932146457965,-0.002783820627866083,0.0004112341985744901,False
15,-0.0005952496841386912,-0.0021239162218464787,0.0009334168535690963,False
16,0.0006618045093627462,-0.0008997674758356865,0.002223376494561179,False
17,-0.0012776173302416005,-0.00302539390486175,0.000470159244378549,False
18,0.0004199915179180269,-0.0010017835005801082,0.0018417665364161618,False
19,-0.0012542347694211387,-0.0027794596816470944,0.00027099014280481727,False
20,-0.0016263519529396793,-0.0031252794002795386,-0.00012742450559982015,True
21,0.0004673632724322249,-0.0009535266888246621,0.001888253233689112,False
22,0.0005714089657255098,-0.0008586571812461254,0.002001475112697145,False
23,0.0008965630821156545,-0.00034698163966552444,0.0021401078038968332,False
24,0.0010701466190787949,-0.000558385845873259,0.002698679084030849,False
25,0.0009319070540283791,-0.0005155113504171754,0.0023793254584739336,False
26,-0.0002718846874480836,-0.0018266597836189475,0.00128289040872278,False
27,-0.000262680915696532,-0.001832051456103659,0.001306689624710595,False
28,-0.0009693171585173867,-0.0025525070105094274,0.000613872693474654,False
29,-0.0005692837166688244,-0.0022448416321210933,0.0011062741987834448,False
30,-0.0009693775483364116,-0.0024736430796137286,0.0005348879829409053,False
