date,stock_id,name,reason,adjust_from,restore_date,margin_cut,margin_cum,short_raise,short_cum
2021-09-24,1203,味王,股價波動過度劇烈,,,1,0,1,0
2021-09-24,1203,味王,成交量過度異常,2021-08-12,,1,0,1,0
2021-09-24,1203,味王,股權過度集中,,,1,0,1,0
2021-09-24,1203,味王,監視第二次處置,,,,,,
2021-09-24,1203,味王,,,,1,1,1,1
2021-09-24,1235,興泰,股價波動過度劇烈,,,1,0,1,0
2021-09-24,1235,興泰,成交量過度異常,2021-06-01,,1,0,1,0
2021-09-24,1235,興泰,股權過度集中,,,1,0,1,0
2021-09-24,1235,興泰,監視第二次處置,,,,,,
2021-09-24,1235,興泰,,,,1,1,1,1
2021-09-24,1342,八貫,股價波動過度劇烈,,,1,0,1,0
2021-09-24,1342,八貫,成交量過度異常,2021-09-06,,1,0,1,0
2021-09-24,1342,八貫,股權過度集中,,,1,0,1,0
2021-09-24,1342,八貫,監視第二次處置,,,,,,
2021-09-24,1342,八貫,,,,1,1,1,1
2021-09-24,1410,南染,股價波動過度劇烈,,,1,0,1,0
2021-09-24,1410,南染,成交量過度異常,2021-07-28,,1,0,1,0
2021-09-24,1410,南染,股權過度集中,,,1,0,1,0
2021-09-24,1410,南染,監視第二次處置,,,,,,
2021-09-24,1410,南染,,,,1,1,1,1
2021-09-24,1419,新紡,股價波動過度劇烈,,,1,0,1,0
2021-09-24,1419,新紡,成交量過度異常,2021-08-11,,1,0,1,0
2021-09-24,1419,新紡,股權過度集中,,,1,0,1,0
2021-09-24,1419,新紡,監視第二次處置,,,,,,
2021-09-24,1419,新紡,,,,1,1,1,1
2021-09-24,1439,中和,股價波動過度劇烈,,,1,0,1,0
2021-09-24,1439,中和,成交量過度異常,2021-09-10,,1,0,1,0
2021-09-24,1439,中和,股權過度集中,,,1,0,1,0
2021-09-24,1439,中和,監視第二次處置,,,,,,
2021-09-24,1439,中和,,,,1,1,1,1
2021-09-24,1470,大統新創,股價波動過度劇烈,,,1,0,1,0
2021-09-24,1470,大統新創,成交量過度異常,,,1,0,1,0
2021-09-24,1470,大統新創,股權過度集中,2011-05-11,,1,0,1,0
2021-09-24,1470,大統新創,監視第二次處置,,,,,,
2021-09-24,1470,大統新創,,,,1,1,1,1
2021-09-24,1521,大億,股價波動過度劇烈,,,1,0,1,0
2021-09-24,1521,大億,成交量過度異常,2021-09-22,,1,0,1,0
2021-09-24,1521,大億,股權過度集中,,,1,0,1,0
2021-09-24,1521,大億,監視第二次處置,,,,,,
2021-09-24,1521,大億,,,,1,1,1,1
2021-09-24,1541,錩泰,股價波動過度劇烈,,,1,0,1,0
2021-09-24,1541,錩泰,成交量過度異常,2021-09-07,,1,0,1,0
2021-09-24,1541,錩泰,股權過度集中,,,1,0,1,0
2021-09-24,1541,錩泰,監視第二次處置,,,,,,
2021-09-24,1541,錩泰,,,,1,1,1,1
2021-09-24,1583,程泰,股價波動過度劇烈,,,1,0,1,0
2021-09-24,1583,程泰,成交量過度異常,2021-08-13,,1,0,1,0
2021-09-24,1583,程泰,股權過度集中,,,1,0,1,0
2021-09-24,1583,程泰,監視第二次處置,,,,,,
2021-09-24,1583,程泰,,,,1,1,1,1
2021-09-24,1727,中華化,股價波動過度劇烈,2021-09-09,,1,0,1,0
2021-09-24,1727,中華化,成交量過度異常,2021-09-17,,1,0,1,0
2021-09-24,1727,中華化,股權過度集中,,,1,0,1,0
2021-09-24,1727,中華化,監視第二次處置,,,,,,
2021-09-24,1727,中華化,,,,1,1,1,1
2021-09-24,1735,日勝化,股價波動過度劇烈,,,1,0,1,0
2021-09-24,1735,日勝化,成交量過度異常,2021-07-14,,1,0,1,0
2021-09-24,1735,日勝化,股權過度集中,,,1,0,1,0
2021-09-24,1735,日勝化,監視第二次處置,,,,,,
2021-09-24,1735,日勝化,,,,1,1,1,1
2021-09-24,1776,展宇,股價波動過度劇烈,2021-09-15,,1,0,1,0
2021-09-24,1776,展宇,成交量過度異常,,,1,0,1,0
2021-09-24,1776,展宇,股權過度集中,,,1,0,1,0
2021-09-24,1776,展宇,監視第二次處置,,,,,,
2021-09-24,1776,展宇,,,,1,1,1,1
2021-09-24,2007,燁興,股價波動過度劇烈,,,1,0,1,0
2021-09-24,2007,燁興,成交量過度異常,2021-08-05,,1,0,1,0
2021-09-24,2007,燁興,股權過度集中,,,1,0,1,0
2021-09-24,2007,燁興,監視第二次處置,,,,,,
2021-09-24,2007,燁興,,,,1,1,1,1
2021-09-24,2013,中鋼構,股價波動過度劇烈,2021-09-24,,1,0,1,0
2021-09-24,2013,中鋼構,成交量過度異常,,,1,0,1,0
2021-09-24,2013,中鋼構,股權過度集中,,,1,0,1,0
2021-09-24,2013,中鋼構,監視第二次處置,,,,,,
2021-09-24,2013,中鋼構,,,,1,1,1,1
2021-09-24,2236,百達-KY,股價波動過度劇烈,,,1,0,1,0
2021-09-24,2236,百達-KY,成交量過度異常,2021-08-18,,1,0,1,0
2021-09-24,2236,百達-KY,股權過度集中,,,1,0,1,0
2021-09-24,2236,百達-KY,監視第二次處置,,,,,,
2021-09-24,2236,百達-KY,,,,1,1,1,1
2021-09-24,2243,宏旭-KY,股價波動過度劇烈,2021-09-07,,1,0,1,0
2021-09-24,2243,宏旭-KY,成交量過度異常,,,1,0,1,0
2021-09-24,2243,宏旭-KY,股權過度集中,,,1,0,1,0
2021-09-24,2243,宏旭-KY,監視第二次處置,,,,,,
2021-09-24,2243,宏旭-KY,,,,1,1,1,1
2021-09-24,2358,廷鑫,股價波動過度劇烈,2021-09-23,,1,0,1,0
2021-09-24,2358,廷鑫,成交量過度異常,2021-09-24,,1,0,1,0
2021-09-24,2358,廷鑫,股權過度集中,,,1,0,1,0
2021-09-24,2358,廷鑫,監視第二次處置,,,,,,
2021-09-24,2358,廷鑫,,,,1,1,1,1
2021-09-24,2369,菱生,股價波動過度劇烈,,,1,0,1,0
2021-09-24,2369,菱生,成交量過度異常,2021-09-16,,1,0,1,0
2021-09-24,2369,菱生,股權過度集中,,,1,0,1,0
2021-09-24,2369,菱生,監視第二次處置,,,,,,
2021-09-24,2369,菱生,,,,1,1,1,1
2021-09-24,2373,震旦行,股價波動過度劇烈,,,1,0,1,0
2021-09-24,2373,震旦行,成交量過度異常,2021-09-23,,1,0,1,0
2021-09-24,2373,震旦行,股權過度集中,,,1,0,1,0
2021-09-24,2373,震旦行,監視第二次處置,,,,,,
2021-09-24,2373,震旦行,,,,1,1,1,1
2021-09-24,2486,一詮,股價波動過度劇烈,2021-09-10,,1,0,1,0
2021-09-24,2486,一詮,成交量過度異常,,,1,0,1,0
2021-09-24,2486,一詮,股權過度集中,,,1,0,1,0
2021-09-24,2486,一詮,監視第二次處置,,,,,,
2021-09-24,2486,一詮,,,,1,1,1,1
2021-09-24,2491,吉祥全,股價波動過度劇烈,2021-07-27,,1,0,1,0
2021-09-24,2491,吉祥全,成交量過度異常,,,1,0,1,0
2021-09-24,2491,吉祥全,股權過度集中,,,1,0,1,0
2021-09-24,2491,吉祥全,監視第二次處置,,,,,,
2021-09-24,2491,吉祥全,,,,1,1,1,1
2021-09-24,2636,台驊投控,股價波動過度劇烈,,,1,0,1,0
2021-09-24,2636,台驊投控,成交量過度異常,2021-07-05,,1,0,1,0
2021-09-24,2636,台驊投控,股權過度集中,,,1,0,1,0
2021-09-24,2636,台驊投控,監視第二次處置,,,,,,
2021-09-24,2636,台驊投控,,,,1,1,1,1
2021-09-24,2712,遠雄來,股價波動過度劇烈,,,1,0,1,0
2021-09-24,2712,遠雄來,成交量過度異常,2021-08-30,,1,0,1,0
2021-09-24,2712,遠雄來,股權過度集中,,,1,0,1,0
2021-09-24,2712,遠雄來,監視第二次處置,,,,,,
2021-09-24,2712,遠雄來,,,,1,1,1,1
2021-09-24,2901,欣欣,股價波動過度劇烈,,,1,0,1,0
2021-09-24,2901,欣欣,成交量過度異常,2021-09-22,,1,0,1,0
2021-09-24,2901,欣欣,股權過度集中,,,1,0,1,0
2021-09-24,2901,欣欣,監視第二次處置,,,,,,
2021-09-24,2901,欣欣,,,,1,1,1,1
2021-09-24,2910,統領,股價波動過度劇烈,,,1,0,1,0
2021-09-24,2910,統領,成交量過度異常,2020-02-06,,1,0,1,0
2021-09-24,2910,統領,股權過度集中,2002-06-05,,1,0,1,0
2021-09-24,2910,統領,監視第二次處置,,,,,,
2021-09-24,2910,統領,,,,1,1,1,1
2021-09-24,2936,客思達-KY,股價波動過度劇烈,,,1,0,1,0
2021-09-24,2936,客思達-KY,成交量過度異常,2021-06-23,,1,0,1,0
2021-09-24,2936,客思達-KY,股權過度集中,,,1,0,1,0
2021-09-24,2936,客思達-KY,監視第二次處置,,,,,,
2021-09-24,2936,客思達-KY,,,,1,1,1,1
2021-09-24,3035,智原,股價波動過度劇烈,,,1,0,1,0
2021-09-24,3035,智原,成交量過度異常,2021-09-24,,1,0,1,0
2021-09-24,3035,智原,股權過度集中,,,1,0,1,0
2021-09-24,3035,智原,監視第二次處置,,,,,,
2021-09-24,3035,智原,,,,1,1,1,1
