date,stock_id,close,yield_pct,dividend_year,per,pbr,fs_quarter
2012-02-07,3431,,0.00,99,,2.69,
2012-02-07,3434,,0.00,99,,1.06,
2012-02-07,3438,,7.27,100,14.19,1.68,
2012-02-07,3441,,1.73,100,14.56,1.91,
2012-02-07,3444,,8.73,100,8.98,1.52,
2012-02-07,3452,,0.00,99,,0.75,
2012-02-07,3455,,8.96,100,13.80,1.08,
2012-02-07,3465,,0.00,99,,0.98,
2012-02-07,3466,,4.42,100,18.99,0.86,
2012-02-07,3479,,9.76,100,15.60,1.44,
2012-02-07,3483,,1.25,100,,0.61,
2012-02-07,3484,,8.43,100,13.42,0.99,
2012-02-07,3489,,0.00,99,,0.62,
2012-02-07,3490,,17.03,100,7.11,0.98,
2012-02-07,3491,,6.76,100,23.65,1.55,
2012-02-07,3498,,0.00,99,,0.74,
2012-02-07,3499,,0.00,100,,0.87,
2012-02-07,3508,,0.70,100,15.16,2.89,
2012-02-07,3511,,18.87,100,16.99,1.19,
2012-02-07,3512,,0.00,99,,0.77,
2012-02-07,3516,,0.00,99,,0.32,
2012-02-07,3520,,0.00,99,,0.82,
2012-02-07,3521,,0.00,99,,1.86,
2012-02-07,3522,,8.22,100,15.21,0.67,
2012-02-07,3523,,0.00,99,,1.15,
2012-02-07,3526,,11.90,100,14.30,2.01,
2012-02-07,3527,,6.75,100,15.67,2.63,
2012-02-07,3528,,9.54,100,8.31,1.45,
2012-02-07,3529,,2.94,100,37.24,4.06,
2012-02-07,3531,,5.57,100,13.55,0.76,
2012-02-07,3537,,5.04,100,11.54,1.22,
2012-02-07,3540,,0.00,100,77.08,0.81,
2012-02-07,3541,,9.84,100,11.64,2.10,
2012-02-07,3546,,10.42,100,76.98,3.06,
2012-02-07,3548,,5.09,100,,0.47,
2012-02-07,3551,,4.88,100,8.04,1.04,
2012-02-07,3552,,5.26,100,18.75,2.65,
2012-02-07,3553,,0.00,99,,1.72,
2012-02-07,3555,,10.49,100,6.74,2.89,
2012-02-07,3556,,3.19,100,14.10,3.33,
2012-02-07,3562,,0.00,99,,1.55,
2012-02-07,3563,,4.63,100,10.97,2.90,
2012-02-07,3567,,16.81,100,21.67,0.70,
2012-02-07,3570,,4.71,100,9.91,1.68,
2012-02-07,3577,,6.26,100,14.01,1.85,
2012-02-07,3580,,0.00,99,,0.52,
2012-02-07,3582,,4.22,100,17.37,4.06,
2012-02-07,3587,,7.03,100,10.53,1.43,
2012-02-07,3609,,4.96,100,12.74,0.97,
2012-02-07,3611,,6.42,100,11.61,3.20,
2012-02-07,3615,,1.18,100,11.82,2.10,
2012-02-07,3623,,0.00,99,,1.71,
2012-02-07,3624,,5.27,100,20.04,1.38,
2012-02-07,3625,,0.00,99,,0.83,
2012-02-07,3628,,15.23,100,13.00,2.16,
2012-02-07,3629,,2.65,100,97.37,1.44,
2012-02-07,3630,,5.46,100,11.74,2.11,
2012-02-07,3631,,9.58,100,11.40,2.22,
2012-02-07,3632,,2.93,100,30.40,3.53,
2012-02-07,3642,,4.24,100,6.48,1.15,
2012-02-07,3652,,5.23,100,19.82,0.87,
2012-02-07,3662,,1.50,100,72.86,2.63,
2012-02-07,3664,,0.00,100,26.24,1.19,
2012-02-07,3680,,5.12,100,15.21,2.40,
2012-02-07,3685,,8.02,100,8.84,1.42,
2012-02-07,3687,,1.39,100,17.96,4.64,
2012-02-07,3691,,7.98,100,11.96,4.72,
2012-02-07,4102,,3.90,100,25.78,2.75,
2012-02-07,4103,,5.96,100,13.74,2.30,
2012-02-07,4105,,2.17,100,40.10,7.49,
2012-02-07,4107,,7.36,100,17.34,1.60,
2012-02-07,4109,,0.00,100,48.16,1.30,
2012-02-07,4111,,2.56,100,39.80,1.21,
2012-02-07,4113,,0.00,100,11.15,1.05,
2012-02-07,4114,,1.15,100,,2.06,
2012-02-07,4120,,1.51,100,14.05,1.72,
2012-02-07,4121,,0.00,99,16.47,0.86,
2012-02-07,4123,,0.76,100,97.06,1.96,
2012-02-07,4126,,4.82,100,15.19,3.54,
2012-02-07,4127,,0.00,99,,1.14,
2012-02-07,4128,,3.69,100,16.99,2.19,
2012-02-07,4129,,1.94,100,31.06,2.50,
2012-02-07,4130,,0.00,99,41.49,3.27,
2012-02-07,4131,,0.00,99,,2.51,
2012-02-07,4138,,4.33,100,21.15,3.26,
2012-02-07,4139,,0.97,100,40.96,4.79,
2012-02-07,4154,,3.29,100,17.11,4.99,
2012-02-07,4205,,6.81,100,14.82,1.81,
2012-02-07,4207,,4.50,100,62.50,0.86,
2012-02-07,4303,,0.00,99,,0.58,
2012-02-07,4304,,0.00,99,,0.87,
2012-02-07,4305,,4.55,100,16.60,1.32,
2012-02-07,4401,,7.14,100,7.25,1.70,
2012-02-07,4402,,0.00,99,,0.98,
2012-02-07,4406,,2.76,100,9.54,0.60,
2012-02-07,4413,,0.00,100,26.33,14.36,
2012-02-07,4416,,4.22,100,11.26,2.73,
2012-02-07,4417,,6.20,100,11.38,1.09,
2012-02-07,4419,,0.00,99,8.24,1.28,
2012-02-07,4420,,8.85,100,10.91,1.07,
2012-02-07,4429,,8.01,100,8.38,1.34,
2012-02-07,4430,,4.85,100,74.91,1.43,
2012-02-07,4502,,0.00,99,1.24,0.52,
2012-02-07,4503,,0.00,99,12.65,0.85,
2012-02-07,4506,,6.80,100,13.01,0.91,
2012-02-07,4510,,0.00,100,16.52,1.02,
2012-02-07,4513,,0.00,100,60.20,1.44,
2012-02-07,4523,,0.97,100,13.62,1.86,
2012-02-07,4527,,2.62,100,16.05,1.16,
2012-02-07,4528,,5.13,100,9.80,1.18,
2012-02-07,4529,,0.00,99,,1.33,
2012-02-07,4530,,0.00,99,,0.69,
2012-02-07,4533,,4.62,100,12.62,0.90,
2012-02-07,4534,,0.00,99,1060.00,0.93,
2012-02-07,4535,,5.10,100,13.28,1.85,
2012-02-07,4609,,0.00,99,27.83,1.44,
2012-02-07,4702,,0.00,99,,2.25,
2012-02-07,4703,,0.00,99,124.17,2.43,
2012-02-07,4706,,7.30,100,13.17,0.84,
2012-02-07,4707,,0.00,99,21.16,0.69,
2012-02-07,4711,,8.43,100,11.77,0.95,
2012-02-07,4712,,0.00,100,68.85,3.71,
2012-02-07,4714,,7.19,100,11.21,0.95,
2012-02-07,4716,,5.26,100,15.70,1.47,
2012-02-07,4720,,1.48,100,26.57,1.04,
2012-02-07,4721,,10.39,100,11.46,1.62,
2012-02-07,4722,,2.76,100,16.92,1.75,
2012-02-07,4728,,0.00,100,36.80,3.87,
2012-02-07,4729,,0.00,99,,1.01,
2012-02-07,4735,,0.00,99,,1.00,
2012-02-07,4736,,8.66,100,18.21,1.62,
2012-02-07,4739,,4.26,100,10.56,1.25,
2012-02-07,4743,,0.00,100,127.22,1.93,
2012-02-07,4801,,0.00,99,168.25,3.56,
2012-02-07,4903,,0.00,100,11.23,0.78,
2012-02-07,4905,,2.73,100,8.51,1.03,
2012-02-07,4907,,0.00,99,,22.38,
2012-02-07,4908,,7.00,100,13.82,2.14,
2012-02-07,4909,,6.35,100,14.51,1.90,
2012-02-07,4911,,0.00,99,,3.96,
2012-02-07,4912,,2.39,100,14.81,1.83,
2012-02-07,4924,,2.64,100,14.76,2.61,
2012-02-07,4927,,3.29,100,8.87,1.92,
2012-02-07,4933,,5.34,100,9.89,1.92,
2012-02-07,4939,,4.72,100,15.06,1.74,
2012-02-07,4944,,0.00,99,,1.62,
2012-02-07,4946,,3.95,100,,2.42,
2012-02-07,4947,,0.00,100,17.58,4.32,
2012-02-07,4965,,1.41,100,27.96,4.88,
2012-02-07,4966,,0.00,100,70.78,10.93,
2012-02-07,4974,,9.03,100,8.60,1.67,
2012-02-07,4979,,1.46,100,33.17,2.43,
2012-02-07,4994,,1.74,100,20.10,10.42,
2012-02-07,5009,,1.86,100,12.13,1.34,
2012-02-07,5011,,0.00,100,14.51,2.90,
2012-02-07,5013,,12.50,100,6.63,0.91,
2012-02-07,5014,,2.45,100,35.43,0.63,
2012-02-07,5015,,2.37,100,8.24,1.04,
2012-02-07,5016,,7.34,100,9.35,1.61,
2012-02-07,5102,,5.03,100,7.71,1.40,
2012-02-07,5201,,0.00,99,23.90,1.03,
2012-02-07,5202,,0.00,99,61.73,0.65,
2012-02-07,5205,,0.00,99,,1.52,
2012-02-07,5206,,0.00,100,221.43,2.94,
2012-02-07,5209,,6.99,100,9.34,2.70,
2012-02-07,5210,,5.88,100,22.97,0.73,
2012-02-07,5211,,6.70,100,19.73,2.49,
2012-02-07,5212,,1.68,100,10.54,1.55,
2012-02-07,5213,,19.30,100,5.26,0.87,
2012-02-07,5301,,0.00,99,,0.92,
2012-02-07,5302,,0.00,99,,1.30,
2012-02-07,5304,,0.00,99,,1.69,
2012-02-07,5306,,0.00,99,,6.29,
2012-02-07,5309,,0.00,99,,0.96,
2012-02-07,5310,,1.78,100,17.45,1.15,
2012-02-07,5312,,2.81,100,20.18,4.06,
2012-02-07,5314,,0.00,100,7.71,1.30,
2012-02-07,5315,,0.00,99,,0.47,
2012-02-07,5317,,7.11,100,20.09,0.57,
2012-02-07,5318,,0.00,99,0.56,,
2012-02-07,5321,,0.00,100,,0.56,
2012-02-07,5324,,0.89,100,9.18,2.39,
2012-02-07,5326,,0.00,100,9.36,0.97,
2012-02-07,5328,,3.86,100,16.06,0.73,
2012-02-07,5340,,0.00,99,311.00,0.70,
2012-02-07,5344,,8.05,100,16.04,1.07,
2012-02-07,5345,,0.00,99,,0.57,
2012-02-07,5346,,0.00,100,,0.37,
2012-02-07,5347,,4.84,100,17.46,0.99,
2012-02-07,5348,,0.00,99,16.67,1.77,
2012-02-07,5349,,5.07,100,11.42,1.45,
2012-02-07,5351,,0.00,99,,0.91,
2012-02-07,5353,,3.33,100,11.37,0.78,
2012-02-07,5355,,0.00,99,,1.16,
2012-02-07,5356,,12.41,100,5.21,1.36,
2012-02-07,5364,,0.00,99,,1.48,
