seed,段,sid,權重
102000,1,2881,0.0766701511839256
102000,1,6173,0.2490724469199774
102000,1,1303,0.08636430106829157
102000,1,3532,0.0849976185644588
102000,1,6488,0.09113093583407798
102000,1,2327,0.17113062972786777
102000,1,4739,0.07472806593014686
102000,1,3016,0.16194411354563926
102000,2,5274,0.13954711400484718
102000,2,6217,0.10560103507087731
102000,2,4728,0.10042774567608564
102000,2,3406,0.15470909951405906
102000,2,1589,0.11710806779203468
102000,2,2379,0.13414610954909556
102000,2,6462,0.10466670496314712
102000,2,4551,0.1262006639801175
102000,3,3260,0.13611701145223395
102000,3,2633,0.1016268073930917
102000,3,3138,0.0983519541893848
102000,3,4953,0.11435976096645961
102000,3,6120,0.11091077531586277
102000,3,5483,0.11006365984046101
102000,3,1612,0.1562769262732141
102000,3,2371,0.16181765498331746
102001,1,6414,0.11510731836451936
102001,1,2748,0.0748765516572614
102001,1,2543,0.25687531352740733
102001,1,4123,0.11480506393899961
102001,1,3138,0.08285672185173021
102001,1,5483,0.10719789455494273
102001,1,6585,0.11571234735383602
102001,1,3691,0.13256878875130326
102001,2,6505,0.10820170322754027
102001,2,2887,0.10435736285249797
102001,2,3036,0.09802123132625708
102001,2,1303,0.10926843386823117
102001,2,5483,0.14409757109765683
102001,2,2880,0.07225613813572047
102001,2,3016,0.2580537210022296
102001,2,2231,0.09255044429608564
102001,3,3037,0.11640818350801299
102001,3,5274,0.1389901016946828
102001,3,2515,0.11429515841678828
102001,3,6462,0.10506352294989428
102001,3,2345,0.11083481329253767
102001,3,3042,0.14704660353756802
102001,3,2387,0.132208420946
102001,3,2337,0.13435660040596267
102002,1,2812,0.14207674799493267
102002,1,6120,0.11310617601423667
102002,1,4953,0.1096816848907614
102002,1,2748,0.0885941635358879
102002,1,1612,0.16170058691242634
102002,1,5483,0.1318443425969293
102002,1,8926,0.1230353029896498
102002,1,3691,0.1299609950651759
102002,2,6173,0.19009999648108494
102002,2,3533,0.06854193468687922
102002,2,1605,0.09330461612014189
102002,2,1718,0.07809849934706514
102002,2,2327,0.2284680208815506
102002,2,3645,0.08291522619027246
102002,2,3016,0.19262692839917178
102002,2,4739,0.0659447778938339
102002,3,3006,0.13299882758826093
102002,3,2329,0.09636469077531724
102002,3,3017,0.1150865101905565
102002,3,4728,0.10280303024914934
102002,3,4551,0.12918552128468358
102002,3,3023,0.13118453450735906
102002,3,3338,0.11754294415213132
102002,3,2337,0.14567623247550973
102003,1,2731,0.12060151349851349
102003,1,2745,0.17611398271257828
102003,1,1612,0.1430613435560531
102003,1,2371,0.13344580697035674
102003,1,5483,0.10219142388192867
102003,1,2630,0.12337994583512281
102003,1,3138,0.0908539443998919
102003,1,3025,0.11035203914555486
102003,2,4739,0.07562715541913348
102003,2,2881,0.08200907395217759
102003,2,2492,0.4138630229363572
102003,2,1312,0.0811594195428016
102003,2,1718,0.0872666888095203
102003,2,5483,0.06531318524579798
102003,2,6024,0.0921787351762117
102003,2,2231,0.08281992985932388
102003,3,2383,0.11105210414654479
102003,3,3006,0.1250756726816044
102003,3,1589,0.1132086633974397
102003,3,3042,0.13998611138743391
102003,3,4919,0.11198685921161901
102003,3,5274,0.14459813667872998
102003,3,2387,0.11445428665501356
102003,3,4551,0.12199849897984799
102004,1,1609,0.15013205663035892
102004,1,4953,0.0929882072618977
102004,1,6231,0.23235749402985112
102004,1,2371,0.11145244265765035
102004,1,5483,0.10623441675951992
102004,1,6120,0.0942152347930363
102004,1,6538,0.09947915737902953
102004,1,3691,0.11314099048865595
102004,2,9941,0.12021744926670534
102004,2,6510,0.0896886402956645
102004,2,4916,0.1123513723161194
102004,2,5269,0.12691811111468446
102004,2,2328,0.10517351471870164
102004,2,6239,0.11007325094286158
102004,2,2884,0.11967473529342675
102004,2,6182,0.2125230300210713
102004,3,8299,0.13902189817191507
102004,3,6217,0.1079653912511569
102004,3,3338,0.10926096645035482
102004,3,2387,0.12460081771746803
102004,3,2379,0.13015568541151054
102004,3,4728,0.09459681402332887
102004,3,3227,0.15674210428259683
102004,3,3023,0.13049222397220217
102005,1,8462,0.08578446609971146
102005,1,8299,0.13089285194147807
102005,1,2379,0.12571422992794073
102005,1,3227,0.151393409168963
102005,1,3017,0.10550138885477837
102005,1,4551,0.11935372202158641
