seed,段,sid,vol60,回看無成交日比,段內無成交日比,段內報酬
102000,1,2801,0.005054256768089063,0.0,0.0,0.05890910930710347
102000,1,2892,0.006823945357858899,0.0,0.0,-0.006974370510262395
102000,1,2002,0.007972373350947892,0.0,0.0,0.05203618289004508
102000,1,1409,0.012658958405354302,0.0,0.0,-0.14581684616746537
102000,1,5871,0.015196489240589585,0.0,0.0,-0.060896912592729335
102000,1,1718,0.01606798605984335,0.0,0.0,0.0020812864608033
102000,1,3078,0.016878542933513062,0.0,0.0,-0.3451219811289288
102000,1,2014,0.018497837927757593,0.0,0.0,-0.1348315058187327
102000,2,3045,0.0059476541075453,0.0,0.0,-0.0783410775801584
102000,2,5434,0.01329871351240699,0.0,0.0,-0.31272727872896333
102000,2,6121,0.01677923097801124,0.0,0.0,-0.278317172272078
102000,2,6239,0.01945373520403486,0.0,0.0,-0.3406698441965883
102000,2,4551,0.02060556271454833,0.0,0.0,-0.5223403952376462
102000,2,3587,0.022840413971250816,0.0,0.0,-0.4397590291401213
102000,2,2444,0.02538648274607135,0.0,0.0,-0.3291139240506329
102000,2,5457,0.027625334250767186,0.0,0.0,-0.4715115906013264
102000,3,8222,0.02339725905046723,0.0,0.0,0.08258978822754215
102000,3,2427,0.026471795989208274,0.0,0.0,-0.317196355995613
102000,3,8299,0.027585515813930685,0.0,0.0,-0.41617155028904684
102000,3,3293,0.028538631529126862,0.0,0.0,0.4649999615744047
102000,3,4746,0.028843174909777138,0.0,0.0,-0.47446399537333817
102000,3,8086,0.030013218520235342,0.0,0.0,-0.5531292473345193
102000,3,2376,0.03163430278762993,0.0,0.0,-0.4045175807942858
102000,3,2743,0.03191340344641009,0.0,0.0,-0.5066905904634602
102001,1,2912,0.008242856239309575,0.0,0.0,-0.08316813033332593
102001,1,2884,0.011416752352712204,0.0,0.0,-0.058894281393459647
102001,1,2409,0.017474843540571616,0.0,0.0,-0.3947874424786788
102001,1,2206,0.020120723015653565,0.0,0.0,-0.14323228467085425
102001,1,1314,0.020318973984686604,0.0,0.0,-0.44566207512393197
102001,1,8155,0.023536345658001195,0.0,0.0,-0.29859576869710613
102001,1,2515,0.02437350714654415,0.0,0.0,-0.40992080916791696
102001,1,2605,0.027530004097744285,0.0,0.0,-0.40422077380807786
102001,2,2633,0.008541656290662612,0.0,0.0,0.18399844634600115
102001,2,1102,0.014993159545584174,0.0,0.0,0.1662425024332599
102001,2,1710,0.020066731896744447,0.0,0.0,0.03363941884724442
102001,2,8489,0.02252461055786175,0.0,0.0,0.04892276509875759
102001,2,5274,0.02383175583740755,0.0,0.0,-0.6195541405679983
102001,2,2408,0.024801506380465875,0.0,0.0,-0.4822402723279884
102001,2,4528,0.025346147289194838,0.0,0.0,-0.3983237994389772
102001,2,4147,0.026573363427795794,0.0,0.0,-0.40032680219604744
102001,3,2352,0.011344734170896544,0.0,0.0,-0.3601895600889944
102001,3,2929,0.012168112757516057,0.0,0.0,-0.4453213171173097
102001,3,2059,0.012814322925952887,0.0,0.0,-0.16736996286653816
102001,3,9958,0.013430125030757892,0.0,0.0,-0.005555570163724655
102001,3,4107,0.013459844195834353,0.0,0.0,-0.35983937790121057
102001,3,2377,0.013623279817864242,0.0,0.0,-0.16763004815008742
102001,3,2385,0.01405326718038665,0.0,0.0,-0.1922652136329458
102001,3,4915,0.01469260726498994,0.0,0.0,-0.4585987055399964
