seed,段,日數,DR創_中位,DR創_最大
102000,1,77,0.0,0.0
102000,2,40,0.0,0.0
102000,3,222,0.0,0.0
102001,1,181,0.0,0.0
102001,2,85,0.0,0.0
102001,3,59,0.0,0.0
102002,1,176,0.0,0.0
102002,2,85,0.0,0.0
102002,3,40,0.0,0.0
102003,1,215,0.0,0.0
102003,2,85,0.0,0.0
102003,3,40,0.0,0.0
102004,1,173,0.0,0.0
102004,2,187,0.0,0.0
102004,3,36,0.0,0.0
102005,1,36,0.0,0.0
102005,2,189,0.0,0.0
102005,3,173,0.0,0.0
102006,1,64,0.0,0.0
102006,2,177,0.0,0.0
102006,3,40,0.0,0.0
102007,1,235,0.0,0.0
102007,2,97,0.0,0.0
102007,3,368,0.0,0.0
102008,1,413,0.0,0.0
102008,2,173,0.0,0.0
102008,3,76,0.0,0.0
102009,1,630,0.0,0.0
102009,2,215,0.0,0.0
102009,3,272,0.0,0.0
102010,1,235,0.0,0.0
102010,2,88,0.0,0.0
102010,3,59,0.0,0.0
102011,1,173,0.0,0.0
102011,2,85,0.0,0.0
102011,3,40,0.0,0.0
102012,1,426,0.0,0.0
102012,2,85,0.0,0.0
102012,3,36,0.0,0.0
102013,1,173,0.0,0.0
102013,2,96,0.0,0.0
102013,3,48,0.0,0.0
102014,1,48,0.0,0.0
102014,2,208,0.0,0.0
102014,3,96,0.0,0.0
102015,1,85,0.0,0.0
102015,2,48,0.0,0.0
102015,3,173,0.0,0.0
102016,1,432,0.0,0.0
102016,2,120,0.0,0.0
102016,3,47,0.0,0.0
102017,1,804,0.0,0.0
102017,2,432,0.0,0.0
102017,3,49,0.0,0.0
102018,1,48,0.0,0.0
102018,2,200,0.0,0.0
102018,3,119,0.0,0.0
102019,1,77,0.0,0.0
102019,2,420,0.0,0.0
102019,3,37,0.0,0.0
102020,1,235,0.0,0.0
102020,2,75,0.0,0.0
102020,3,40,0.0,0.0
102021,1,235,0.0,0.0
102021,2,97,0.0,0.0
102021,3,36,0.0,0.0
102022,1,174,0.0,0.0
102022,2,36,0.0,0.0
102022,3,76,0.0,0.0
102023,1,173,0.0,0.0
102023,2,59,0.0,0.0
102023,3,119,0.0,0.0
102024,1,72,0.0,0.0
102024,2,36,0.0,0.0
102024,3,419,0.0,0.0
102025,1,173,0.0,0.0
102025,2,36,0.0,0.0
102025,3,112,0.0,0.0
102026,1,789,0.0,0.0
102026,2,36,0.0,0.0
102026,3,295,0.0,0.0
102027,1,36,0.0,0.0
102027,2,97,0.0,0.0
102027,3,177,0.0,0.0
102028,1,75,0.0,0.0
102028,2,181,0.0,0.0
102028,3,36,0.0,0.0
102029,1,436,0.0,0.0
