seed,段,峰_pos,谷_pos,實際深度,檢查,峰日曝險,峰日檔數,峰日,谷日
102000,1,860,936,-0.43659227328344374,-0.43659227328344374,0.9960382627743853,8,2018-07-12,2018-10-30
102000,2,1231,1270,-0.3728447383134166,-0.3728447383134166,0.9824065405502642,8,2020-01-14,2020-03-19
102000,3,2277,2498,-0.33603568798426364,-0.33603568798426364,0.9895245504140254,8,2024-05-08,2025-04-09
102001,1,2318,2498,-0.3693403626630285,-0.3693403626630285,1.0,8,2024-07-05,2025-04-09
102001,2,839,923,-0.32467618935186415,-0.32467618935186415,0.9868066058062192,8,2018-06-12,2018-10-11
102001,3,1212,1270,-0.3236958954500275,-0.3236958954500275,0.9992034047514466,8,2019-12-17,2020-03-19
102002,1,2323,2498,-0.4177226366560117,-0.4177226366560117,1.0,8,2024-07-12,2025-04-09
102002,2,839,923,-0.37773275431234765,-0.37773275431234765,1.0,8,2018-06-12,2018-10-11
102002,3,1231,1270,-0.3696316932190412,-0.3696316932190412,0.9708422912229678,8,2020-01-14,2020-03-19
102003,1,2284,2498,-0.491538825908163,-0.491538825908163,1.0,8,2024-05-17,2025-04-09
102003,2,852,936,-0.40640000241377416,-0.40640000241377416,0.9802372109413238,8,2018-07-02,2018-10-30
102003,3,1231,1270,-0.3200106089880649,-0.3200106089880649,0.9823603331382333,8,2020-01-14,2020-03-19
102004,1,2326,2498,-0.45819592552605637,-0.45819592552605637,1.0,8,2024-07-17,2025-04-09
102004,2,748,934,-0.3884241498605212,-0.3884241498605212,0.996620103969235,8,2018-01-22,2018-10-26
102004,3,1235,1270,-0.36706245754136835,-0.36706245754136835,0.9928359012805332,8,2020-01-20,2020-03-19
102005,1,1235,1270,-0.4206631808096971,-0.4206631808096971,0.9763584923365577,8,2020-01-20,2020-03-19
102005,2,748,936,-0.39050338350148495,-0.39050338350148495,0.9964386081802733,8,2018-01-22,2018-10-30
102005,3,2326,2498,-0.3310215941245377,-0.3310215941245377,1.0,8,2024-07-17,2025-04-09
102006,1,860,923,-0.4163920295297884,-0.4163920295297884,0.9986708111675595,8,2018-07-12,2018-10-11
102006,2,2322,2498,-0.40812815356322574,-0.40812815356322574,1.0,8,2024-07-11,2025-04-09
