seed,段,峰_pos,谷_pos,e,n_h,D0,β_筆數,β,Δ_β曝險,Dβ,量測日,缺產業,持有產業不在母體,Dind,stk_排不了名,stk_剔除,Dstk,stk_無法計算,vol_池,vol_池不足,vol_不足60筆,距換股日,Dvol,Δ_β,Δ_ind,Δ_stk,Δ_vol
102000,1,860,936,0.9960382627743851,8,-0.5218056525222521,120,1.374891589385151,0.7244485823204516,-0.37952494331251435,2018-07-02,0,0,-0.5428691384537321,0,2,-0.36519112847987356,0,35,0,0,7,-0.07228934916901411,14.228070920973773,-2.1063485931479997,15.661452404237853,44.9516303353238
102000,2,1231,1270,0.9824065405502641,8,-0.37284473831341647,120,0.7615617765880108,0.9824065405502641,-0.37284473831341647,2020-01-02,0,0,-0.39953730304417945,1,0,-0.3754223150407553,0,9,0,0,7,-0.3404996892285879,0.0,-2.669256473076298,-0.2577576727338826,3.2345049084828545
102000,3,2277,2498,0.9895245504140254,8,-0.395917792988808,120,0.3720826287139275,0.9895245504140254,-0.395917792988808,2024-05-02,0,0,-0.42633923224722475,1,0,-0.39271139509583974,0,19,0,0,3,-0.2627904555333367,0.0,-3.042143925841673,0.32063978929682824,13.312733745547135
102001,1,2318,2498,1.0,8,-0.23995369554443668,120,0.03210207682450552,1.0,-0.23995369554443668,2024-07-01,0,0,-0.42908239369499934,2,0,-0.35253268098074547,0,19,0,0,3,-0.27981019570916893,0.0,-18.912869815056265,-11.257898543630878,-3.9856500164732243
102001,2,839,923,0.986806605806219,8,-0.2643757579575739,120,1.0437920822603268,0.94540533749719,-0.25328392737475974,2018-06-01,0,0,-0.37953331127038686,0,0,-0.18775405585191518,0,14,0,0,6,-0.18103483799047282,1.1091830582814155,-11.515755331281296,7.662170210565872,8.334091996710107
102001,3,1212,1270,0.9992034047514466,8,-0.32369589545002764,120,0.7271285696285704,0.9992034047514466,-0.32369589545002764,2019-12-02,0,0,-0.33178533069706184,1,0,-0.32892690913364225,0,29,0,0,10,-0.26938146036517296,0.0,-0.8089435247034205,-0.5231013683614616,5.431443508485467
102002,1,2323,2498,1.0,8,-0.36778084967849434,120,0.1819851399204202,1.0,-0.36778084967849434,2024-07-01,0,0,-0.501645041254015,2,0,-0.3728019675083683,0,19,0,0,8,-0.2632937869143308,0.0,-13.386419157552066,-0.5021117829873967,10.448706276416353
102002,2,839,923,1.0,8,-0.46407003908341515,120,1.5065287495712418,0.6637775749613807,-0.30803928515502244,2018-06-01,0,0,-0.5152420122828374,1,1,-0.36787416469802076,0,14,0,0,6,-0.18345523522571855,15.603075392839273,-5.117197319942224,9.61958743853944,28.06148038576966
102002,3,1231,1270,0.9708422912229677,8,-0.3696316932190411,120,0.42797151269019845,0.9708422912229677,-0.3696316932190411,2020-01-02,0,0,-0.35698298692256314,2,0,-0.3681278092510003,0,9,0,0,7,-0.3364915488716428,0.0,1.2648706296477963,0.15038839680407978,3.3140144347398315
102003,1,2284,2498,1.0,8,-0.3930212470601006,120,0.11126973325689653,1.0,-0.3930212470601006,2024-05-02,0,0,-0.46052786160747416,1,0,-0.3944506992757107,0,19,0,0,10,-0.18882793805410752,0.0,-6.750661454737355,-0.1429452215610083,20.41933090059931
