seed,段,峰_pos,谷_pos,e,n_h,D0,β_筆數,β,Δ_β曝險,Dβ,量測日,缺產業,持有產業不在母體,Dind,stk_排不了名,stk_剔除,Dstk,stk_無法計算,vol_池,vol_池不足,vol_不足60筆,距換股日,Dvol,Δ_β,Δ_ind,Δ_stk,Δ_vol,Δ_stk上界
102000,1,860,936,0.9960382627743852,8,-0.5218056525222521,120,1.374891589385151,0.7244485823204516,-0.3795249433125143,2018-07-02,0,0,-0.5428691384537321,0,2,-0.3651911284798735,0,35,0,0,7,-0.0722893491690141,14.228070920973773,-2.106348593148,15.661452404237853,44.9516303353238,15.661452404237853
102000,2,1231,1270,0.982406540550264,8,-0.3728447383134164,120,0.7615617765880108,0.982406540550264,-0.3728447383134164,2020-01-02,0,0,-0.3995373030441794,1,0,-0.3754223150407553,0,9,0,0,7,-0.3404996892285879,0.0,-2.669256473076298,-0.2577576727338826,3.2345049084828545,-1.059759786541431
102000,3,2277,2498,0.9895245504140254,8,-0.395917792988808,120,0.3720826287139275,0.9895245504140254,-0.395917792988808,2024-05-02,0,0,-0.4263392322472247,1,0,-0.3927113950958397,0,19,0,0,3,-0.2627904555333367,0.0,-3.042143925841673,0.3206397892968282,13.312733745547137,1.121155938119578
102001,1,2318,2498,1.0,8,-0.2399536955444366,120,0.0321020768245055,1.0,-0.2399536955444366,2024-07-01,0,0,-0.4290823936949993,2,0,-0.3525326809807454,0,19,0,0,3,-0.2798101957091689,0.0,-18.912869815056265,-11.257898543630878,-3.985650016473224,-9.553526696800738
102001,2,839,923,0.986806605806219,8,-0.2643757579575739,120,1.0437920822603268,0.94540533749719,-0.2532839273747597,2018-06-01,0,0,-0.3795333112703868,0,0,-0.1877540558519151,0,14,0,0,6,-0.1810348379904728,1.1091830582814155,-11.515755331281296,7.662170210565872,8.334091996710107,7.662170210565872
102001,3,1212,1270,0.9992034047514466,8,-0.3236958954500276,120,0.7271285696285704,0.9992034047514466,-0.3236958954500276,2019-12-02,0,0,-0.3317853306970618,1,0,-0.3289269091336422,0,29,0,0,10,-0.2693814603651729,0.0,-0.8089435247034205,-0.5231013683614616,5.431443508485467,0.05206600771696657
102002,1,2323,2498,1.0,8,-0.3677808496784943,120,0.1819851399204202,1.0,-0.3677808496784943,2024-07-01,0,0,-0.501645041254015,2,0,-0.3728019675083683,0,19,0,0,8,-0.2632937869143308,0.0,-13.386419157552066,-0.5021117829873967,10.448706276416353,-0.4036970321058708
102002,2,839,923,1.0,8,-0.4640700390834151,120,1.5065287495712418,0.6637775749613807,-0.3080392851550224,2018-06-01,0,0,-0.5152420122828374,1,1,-0.3678741646980207,0,14,0,0,6,-0.1834552352257185,15.603075392839273,-5.117197319942224,9.61958743853944,28.06148038576966,13.2412795257427
102002,3,1231,1270,0.9708422912229676,8,-0.3696316932190411,120,0.4279715126901984,0.9708422912229676,-0.3696316932190411,2020-01-02,0,0,-0.3569829869225631,2,0,-0.3681278092510003,0,9,0,0,7,-0.3364915488716428,0.0,1.2648706296477965,0.1503883968040797,3.3140144347398315,0.6783994561451623
102003,1,2284,2498,1.0,8,-0.3930212470601006,120,0.1112697332568965,1.0,-0.3930212470601006,2024-05-02,0,0,-0.4605278616074741,1,0,-0.3944506992757107,0,19,0,0,10,-0.1888279380541075,0.0,-6.750661454737355,-0.1429452215610083,20.41933090059931,0.7611104619783315
