r,arm,seed,cagr,mdd,vol,first,end,trades,eq_sha,expo,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,dd_單日暴跌型,dd_延續下跌型,dd_混合型,ddlog_單日暴跌型,ddlog_延續下跌型,ddlog_混合型,dd_n,n_stop,n_trim,trig_pos_frac,held_mean,turnover_yr,cost_total,cost_drag_yr,stop_ret_mean,stop_ret_med,stop_h120_mean,stop_h120_med,stop_h120_better_frac,stop_h120_ge0_frac,trim_fwd_mean,trim_fwd_med,trim_fwd_p90,trim_fwd_pos_frac,rebuy20_n,rebuy20_ret_mean,rebuy20_ret_med,cash_mean,cash_med,cash_end,nx_n,nx_stop_lots,nx_pending_end,nx_pending_amt_end_frac,nxw_med,nxw_p90,nxw_mean,nxw_max,nxsz_med,nxsz_mean,normal_n,sl_block_days
74,D2_S2T1,1074,0.015676973829399143,-0.07975010470469085,0.02753274741290149,526,2859,890,99dc0a7bd9a47e02,0.032855026630977155,0.15136065780283636,0.00601156508054701,2.7412723488717816e-05,-0.0002904192395620786,0.000179345860995328,-3.26771322967101e-06,3.89447825122069e-06,3.3987095982013216e-07,4.2955199175409575e-08,9.873077244648698e-09,0,0,0,0,0,0,0,890,297,1.0,5.321227842628621,0.5702913314520192,0.03624320960976127,0.0033362042889943017,0.041600902429101555,-0.021846658296035493,0.18362662666535262,0.016051351672856318,0.5101123595505618,0.5224719101123596,0.14092893845426074,-0.0165441632185247,0.7629233986576099,0.48148148148148145,49,0.014074363480431198,-0.04966882507151438,0.9671449733690229,0.9999957309799363,1.0,880,890,10,9.009729503702205e-09,3.0,20.0,11.020454545454545,226.0,9.442867093690561e-05,0.054092597557026945,10,0
75,D2_S2T1,1075,0.02014109952740517,-0.06519842974867773,0.029302754488234193,526,2859,881,ed90c52bb7b7818a,0.03604316634679803,0.16052943171765444,0.03399286903042964,0.001029203731672812,0.004531768928084601,0.0003962296229509388,-1.5917205697157932e-05,2.1743411513730493e-05,2.275651177718885e-06,1.714638913075106e-07,3.481353783030272e-08,0,0,0,0,0,0,0,881,291,1.0,5.303934284479031,0.5876208179946585,0.03872358044532529,0.0034375817852687596,0.040492046043429056,-0.022172891382535087,0.17610575455028266,0.004950556365017844,0.4948921679909194,0.5141884222474461,0.13565813476507382,-0.028571458353529366,0.7802169974579671,0.4639175257731959,36,0.019920596237667655,-0.059044916600194064,0.963956833653202,0.9999803083809036,1.0,871,881,10,6.162915319906381e-08,3.0,21.0,11.187141216991963,226.0,0.0001363302873402048,0.05833527452308761,10,0
76,D2_S2T1,1076,0.016315665125641088,-0.07975010470469085,0.027444055156942863,526,2859,886,323cbfc28d6211ab,0.03286284967633494,0.1585223562494742,0.006416368221276114,-0.0034550815839524684,0.0023977678069841968,0.00030225559618579645,-1.2627638769968641e-05,2.3690789599850604e-05,1.5628450718008224e-06,2.008655746177368e-07,2.0228420494206034e-08,0,0,0,0,0,0,0,886,297,1.0,5.30566364029399,0.5794272463987521,0.03701871680960766,0.0033896493914327076,0.04039732827379895,-0.022164737961118786,0.17979775254336372,0.0030822446878785437,0.5056433408577878,0.5090293453724605,0.13609500361183582,-0.02339179647908507,0.7950532311529462,0.4713804713804714,48,0.0241154547630066,-0.042690073167366505,0.9671371503236652,0.9999889283471739,1.0,876,886,10,2.988397784396439e-08,3.0,20.0,11.118721461187215,226.0,0.00012252391902638405,0.055539109430564705,10,0
77,D2_S2T1,1077,0.019642039540148426,-0.06130285190392344,0.026620092869309837,526,2859,896,417e8a0329a75f66,0.0324944134107342,0.19361665878797973,0.010022897110272266,-0.005078540842890833,0.0010651315266672068,0.0007081108965172334,-9.91184401855083e-06,6.939271683270576e-06,2.249757731220825e-07,9.029779146629835e-08,1.4858627439551242e-08,0,0,0,0,0,0,0,896,290,1.0,5.313445741461305,0.5261829958064734,0.03463918488517624,0.003078170525467866,0.03810250411916289,-0.022424562897791156,0.16791835148688067,0.0,0.49107142857142855,0.5011160714285714,0.11588235455557118,-0.03565381330353384,0.697800447612337,0.45517241379310347,44,0.039815044729779356,-0.04613530319139314,0.9675055865892659,0.9999930357322631,1.0,886,896,10,1.8371667376041842e-08,3.0,20.0,10.966139954853274,226.0,0.00011745668678048792,0.04979207571005424,10,0
78,D2_S2T1,1078,0.014969960717414521,-0.06885163862654439,0.027317588129935035,526,2859,887,1911dd609b49873c,0.03393338569139678,0.13582107273198885,0.012770734387398619,0.00024309025871005474,-0.0001257743725555649,0.00011772476368654416,-5.595757933574141e-06,5.207178833233073e-06,8.902857897563621e-07,6.00776159931371e-08,1.1728098492369554e-08,0,0,0,0,0,0,0,887,297,1.0,5.326415910073497,0.5823397295498747,0.036777389405413405,0.0034066874178667666,0.04034389890560113,-0.01933699976682679,0.1791079462070703,0.005571023898372385,0.5062006764374295,0.5163472378804961,0.12249480692691182,-0.029045633159861528,0.7486461319651422,0.45791245791245794,38,0.003537906087907316,-0.04645404463916275,0.9660666143086032,0.9999919025240604,1.0,877,887,10,1.1466332118334544e-08,3.0,20.0,11.051311288483467,226.0,0.00012801427163544113,0.05503951709872297,10,0
79,D2_S2T1,1079,0.01913702102608461,-0.06728330021902597,0.027106050686903777,526,2859,881,d815f7df0fa3ae80,0.03443739232379811,0.17755573102044364,0.01442549619316491,-0.002009964818273424,0.00301474497863774,0.0001960529385709453,-1.7680194676072958e-06,5.2311275189342865e-06,9.980433193224059e-07,5.971117733594156e-08,1.859246423485672e-08,0,0,0,0,0,0,0,881,300,1.0,5.318633808906182,0.553699673278753,0.03622271976634877,0.0032391430886807076,0.04629281450231447,-0.02011489979313663,0.1834638385627634,0.011888997576380067,0.5073779795686719,0.5221339387060159,0.13344345790183235,-0.02877849183942499,0.7849728846286563,0.4666666666666667,41,0.047204986970764015,-0.025806453892040393,0.9655626076762021,0.9999928184987583,1.0,871,881,10,2.610569405561417e-08,3.0,20.0,11.148105625717566,226.0,0.00011969739609410023,0.05395070638793329,10,0
80,D2_S2T1,1080,0.016802850986079365,-0.06885163862654439,0.028436115180863364,526,2859,882,7368679932e6333c,0.03393985636992695,0.17926979158345513,-0.0077669425822806115,-0.0009736845794361404,0.0005586965635770991,0.000634694782323475,-1.437581522478748e-05,1.0677824750393583e-05,1.1811686804197308e-06,1.0227974334142687e-07,9.040445725361224e-09,0,0,0,0,0,0,0,882,293,1.0,5.2892347600518805,0.5834737406888493,0.0374630952261979,0.003413321383029768,0.04216910497736982,-0.021165677105541347,0.18982186243545573,0.01166532150720323,0.5034013605442177,0.5192743764172335,0.149942389602835,-0.01947146228776353,0.8437159685486258,0.4709897610921502,42,0.06423857790335245,-0.042690073167366505,0.966060143630073,0.9999906483164486,1.0,872,882,10,2.332400925387682e-08,3.0,20.899999999999977,11.206422018348624,226.0,0.0001378304309073311,0.056026059938835235,10,0
81,D2_S2T1,1081,0.01858315316219028,-0.06885163862654439,0.026351063565199836,526,2859,885,0b646992769498b9,0.03190930498120075,0.18423492942543396,0.004723468777944717,-0.002544419665842068,0.0018615889593329715,0.0007011639428362582,-7.963794186771622e-06,1.3426969611263218e-05,2.0547366417211776e-06,-1.046276498772869e-08,3.1271771394614234e-08,0,0,0,0,0,0,0,885,290,1.0,5.287073065283182,0.5362446118191609,0.0349383619708698,0.003137030979142087,0.03944308912695054,-0.022156584539702484,0.1853824511274685,0.004098365525629033,0.5005649717514125,0.5107344632768361,0.14273939643319047,-0.02877849183942499,0.8202079865955677,0.46551724137931033,39,0.016070856725067844,-0.04966882507151438,0.9680906950187993,0.9999845553533407,1.0,875,885,10,1.88152275519524e-07,3.0,21.0,11.180571428571428,226.0,0.00012772803114369515,0.05144389837757151,10,0
82,D2_S2T1,1082,0.015237546339979202,-0.06438791302155093,0.028160530621281085,526,2859,880,1272956ee333d195,0.035450043646966946,0.1477338378161226,0.011564596737205335,-0.006216069702742022,-0.0007526768703500775,0.0004449632004650539,-1.773066387766864e-05,4.228846096943073e-05,8.64906623654349e-07,2.72034020865064e-07,9.835434733318493e-08,0,0,0,0,0,0,0,880,293,1.0,5.28966709900562,0.6072619039709455,0.03850680270354308,0.0035524821382300308,0.042059371160798914,-0.022424562897791156,0.18567405309833754,0.01107308458997347,0.5068181818181818,0.5181818181818182,0.14862487974681743,-0.0165441632185247,0.8098894648479233,0.4812286689419795,42,0.013528730588169658,-0.04613530319139314,0.964549956353033,0.9999848143886086,1.0,870,880,10,1.442893046200702e-07,3.0,21.0,11.23103448275862,226.0,0.00013973048950441754,0.05818033972945737,10,0
83,D2_S2T1,1083,0.019636288981751404,-0.06103423890873906,0.027360544595949388,526,2859,891,2052f82dc95c9a43,0.03450310093673125,0.1867358689892098,0.00994733447720364,-0.0025065521272282787,0.004839465884307614,0.0001614441654682608,-1.664135253154342e-05,1.915289542941956e-05,-1.0647543978725693e-06,2.319625456159713e-07,5.287823068300668e-09,0,0,0,0,0,0,0,891,293,1.0,5.315607436230004,0.5574084745497628,0.036646599524080725,0.003260839576116108,0.03957407807284152,-0.02247189499470348,0.15974351199168954,0.0030099276597046476,0.49158249158249157,0.5072951739618407,0.11199766761268357,-0.03811253872674303,0.7370930803039503,0.45051194539249145,35,0.036653965818731864,-0.04782610342724447,0.9654968990632687,0.9999878657928528,1.0,881,891,10,2.8068026708021905e-08,3.0,20.0,11.022701475595914,226.0,0.00011760577376436101,0.053349107606721,10,0
