cell,r,ebar,ebar_realized,cagr,mdd,vol
S1,0,0.6971401565646631,0.6519581336160342,0.3602631354044885,-0.33857343473646295,0.22747979537127272
S2,0,0.5411536601498108,0.507115755843297,0.2758677340503428,-0.27129870610443757,0.17635994897061052
T1,0,0.34340161130046215,0.3227494849973554,0.17184085509061586,-0.1792330479670554,0.11186061990041546
T2,0,0.48191708001044137,0.45198411800647764,0.24434449358808652,-0.24453338597858054,0.15701263114903605
S1T1,0,0.05947107902942511,0.05617129479416679,0.028910819520991726,-0.032887325169937066,0.01940017922408018
S2T1,0,0.03784526344104972,0.03576015735249832,0.01835537287430178,-0.021020655421870857,0.012348196023211607
S1,1,0.695907501172764,0.6503032908464919,0.32155159273706024,-0.37655488998877884,0.2246717687895837
S2,1,0.5352640105275233,0.5010238850645764,0.24491746915157808,-0.30141711793320525,0.17261787687301053
T1,1,0.34608228044842654,0.32468362217298735,0.1563445464428661,-0.20427988233944872,0.11156839021594023
T2,1,0.496618891207158,0.46505457942463213,0.22666719354359532,-0.2823553665781617,0.16013034335905724
S1T1,1,0.06276824132669556,0.05912776149045417,0.027752116067378596,-0.039762935047877555,0.020261873998475993
S2T1,1,0.038389240091262704,0.03617680243852856,0.016939714675076045,-0.024467647707740445,0.012394950513477197
S1,2,0.6851805333311317,0.6406346172078365,0.35366017514896675,-0.311812932803732,0.22049642864514904
S2,2,0.5382174291853986,0.5041111123595188,0.2742352128513308,-0.25127879749383236,0.17295438506499083
T1,2,0.34462374712798044,0.3236370116284063,0.17240509574911922,-0.16637477807302234,0.110649997490234
T2,2,0.49001577092367876,0.4592494131270089,0.2485718965549344,-0.23069546334836477,0.15741461171086182
S1T1,2,0.05693546597654732,0.05371549389508668,0.027647519175836743,-0.028876398526077006,0.018296201307547912
S2T1,2,0.03944202419112497,0.0372228729326642,0.019116398620359076,-0.02006383492930898,0.012676376040194885
S1,3,0.6983058377388048,0.65270674885836,0.32750964653429104,-0.3380973534274258,0.22506656424520044
