arm,類,名,n,cagr_med,mdd_med,ratio,label,vs_v1_both_pos,vs_v1_both_neg,vs_v1,d_cagr_med,d_mdd_med,cagr_p10,cagr_p90,mdd_p10,mdd_p90,n_stop,n_stop_p10,n_stop_p90,stop_frac_pos,stop_frac_pos_p10,stop_frac_pos_p90,held_mean,held_mean_p10,held_mean_p90,turnover_yr,turnover_yr_p10,turnover_yr_p90,cost_total,cost_total_p10,cost_total_p90,cost_drag_yr,cost_drag_yr_p10,cost_drag_yr_p90,dist0_med,dist0_med_p10,dist0_med_p90,dist0_p10,dist0_p10_p10,dist0_p10_p90,dist0_p90,dist0_p90_p10,dist0_p90_p90,trig_bar_med,trig_bar_med_p10,trig_bar_med_p90,trig_bar_p10,trig_bar_p10_p10,trig_bar_p10_p90,trig_bar_p90,trig_bar_p90_p10,trig_bar_p90_p90,stop_ret_mean,stop_ret_mean_p10,stop_ret_mean_p90,stop_ret_med,stop_ret_med_p10,stop_ret_med_p90,stop_ret_p10,stop_ret_p10_p10,stop_ret_p10_p90,stop_ret_p90,stop_ret_p90_p10,stop_ret_p90_p90,stop_h120_mean,stop_h120_mean_p10,stop_h120_mean_p90,stop_h120_med,stop_h120_med_p10,stop_h120_med_p90,stop_h120_better_frac,stop_h120_better_frac_p10,stop_h120_better_frac_p90,rep_ret_mean,rep_ret_mean_p10,rep_ret_mean_p90,rep_ret_med,rep_ret_med_p10,rep_ret_med_p90,cont_ret_mean,cont_ret_mean_p10,cont_ret_mean_p90,cont_ret_med,cont_ret_med_p10,cont_ret_med_p90,rep_better_frac,rep_better_frac_p10,rep_better_frac_p90,rep_pairs,rep_pairs_p10,rep_pairs_p90,rebuy20_n,rebuy20_n_p10,rebuy20_n_p90,rebuy20_ret_mean,rebuy20_ret_mean_p10,rebuy20_ret_mean_p90,rebuy20_ret_med,rebuy20_ret_med_p10,rebuy20_ret_med_p90,cash_mean,cash_mean_p10,cash_mean_p90,cash_med,cash_med_p10,cash_med_p90,nx_n,nx_n_p10,nx_n_p90,nx_pending_end,nx_pending_end_p10,nx_pending_end_p90,nxw_med,nxw_med_p10,nxw_med_p90,nxw_p90,nxw_p90_p10,nxw_p90_p90,nxw_sameday_frac,nxw_sameday_frac_p10,nxw_sameday_frac_p90,nxsz_med,nxsz_med_p10,nxsz_med_p90,normal_n,normal_n_p10,normal_n_p90,trades,trades_p10,trades_p90,expo,expo_p10,expo_p90,sl_block_days,sl_block_days_p10,sl_block_days_p90,ddlog_單日暴跌型,ddlog_單日暴跌型_p10,ddlog_單日暴跌型_p90,ddlog_延續下跌型,ddlog_延續下跌型_p10,ddlog_延續下跌型_p90,ddlog_混合型,ddlog_混合型_p10,ddlog_混合型_p90,dd_單日暴跌型,dd_單日暴跌型_p10,dd_單日暴跌型_p90,dd_延續下跌型,dd_延續下跌型_p10,dd_延續下跌型_p90,dd_混合型,dd_混合型_p10,dd_混合型_p90,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
base,base,營飆 v1 原樣,200,0.394406557221616,-0.3894268315113051,1.0127873205114948,合格（描述）,0,0,分不出（描述）,0.0,0.0,0.3620790537280488,0.4247953947014781,-0.44103476018866106,-0.36195043806648153,0.0,0.0,0.0,0.0,0.0,0.0,8.386078685689581,8.386078685689581,8.38651102464332,1.431899420992742,1.4009243892275978,1.4632434512293269,0.4351761225468695,0.37561506895757796,0.5101918740233092,0.008376611612807536,0.00819540767698145,0.008559974189691568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.17896983671071015,0.17758685857869927,0.18081531294875478,0.03265734294285771,0.02766165181670142,0.035925397132704685,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,163.0,163.0,163.0,163.0,163.0,163.0,0.8210301632892899,0.8191846870512454,0.8224131414213007,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,0.24455289203698638,-0.009888027774799413,0.1363792434585206,0.49826119560451176,1.2269226546507113,-0.027935358862122173,0.8292544445758621,0.07779684392037378,0.490059869615046,0.7015307185734795
P15,判定,P15 −15%,200,0.33106175173575436,-0.3637237270980616,0.9102011418861837,合格,6,43,分不出,-0.06316859471458913,0.03117126840572007,0.2931305309032983,0.3613119249356373,-0.41851645761718836,-0.31745907598036854,101.5,95.0,107.1,0.4697674418604651,0.4480637915543576,0.4890825688073394,7.8873757025508,7.840856031128404,7.928880242109814,1.8763721121506585,1.8072911951294566,1.9419822160871854,0.46483192659226535,0.3831309773363016,0.5616789649976759,0.010739245065695534,0.01043086238333618,0.011110285271935992,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.1499999999999999,0.1499999999999999,0.1499999999999999,0.15000000000000002,0.15000000000000002,0.15000000000000002,32.5,30.0,37.0,9.0,8.0,10.110000000000001,98.20000000000002,95.0,105.4,-0.16911218410046652,-0.17144325335002336,-0.16710749699510546,-0.16011576392313565,-0.1636081997824262,-0.15840487759962663,-0.22642387541786488,-0.23145413277720744,-0.20980915402839118,-0.13414619761211607,-0.13629785927984542,-0.13331454062973483,-0.07051168947196933,-0.08579674184274609,-0.05011984428753926,-0.11908462628301203,-0.13907286284556175,-0.10839010251461012,0.6040635313531353,0.5685214626391096,0.6421804511278195,0.20885006207682402,0.17825573048257184,0.23498926872473583,-0.04058153559615496,-0.06345180164457387,0.002409638554216942,0.11994602873119535,0.10066518769237971,0.14408639564307987,0.05372743058197349,0.022950831844794628,0.06999999089703368,0.4807692307692308,0.44543454345434547,0.5152153110047847,100.0,94.0,106.1,1.0,0.0,2.0,-0.14576268703765305,-0.16873241517631188,0.12019336773197198,-0.15724755110698246,-0.16873241517631188,0.12019336773197198,0.26120122294439685,0.25348000946887744,0.2689533153136662,0.1134260667078624,0.09901931689064321,0.13048039184562374,100.0,94.0,106.1,1.0,0.0,2.0,4.0,4.0,5.0,74.15,68.78999999999999,96.4600000000001,0.20603395997574286,0.17019148936170211,0.2386788990825688,0.7833989185426642,0.7601818982230267,0.7989922419072045,116.0,113.9,118.1,216.0,211.9,221.0,0.7387987770556033,0.7310466846863339,0.7465199905311225,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,0.23205812518755897,-0.009807096943879545,0.1520407491715241,0.46759872895323684,1.138674360088777,-0.08612970650552004,0.6647764656514359,0.2248837035306963,0.30507957468621294,0.3722563636494344
T20,判定,T20 追蹤 −20%,200,0.270021859714794,-0.33281822052439325,0.8113193421001518,合格,0,19,分不出,-0.12178468476794724,0.055901778040221395,0.23106276140616586,0.3101493180994524,-0.37924865065523206,-0.2906685396711535,215.0,207.0,222.1,0.7777777777777778,0.7664233576642335,0.7898731239362524,7.486597492434068,7.428793774319066,7.536575875486381,2.525515252081157,2.429327978839543,2.6603486603568482,0.4090838373138079,0.34195651973208946,0.5230259124148366,0.014774264224674765,0.01421156867621133,0.015563039663087577,0.20159676310140162,0.20000000000000007,0.20222800634183935,0.15574542089788201,0.15391485586708437,0.15817221257415484,0.23705508681525622,0.23581222756314907,0.23908571375317847,40.0,38.0,42.0,15.0,14.0,15.910000000000002,87.0,85.5,92.82000000000006,0.0871031489263184,0.07287342921454189,0.10348348778879478,-0.05572813890377265,-0.0689185922707824,-0.04332132598873306,-0.21841872690526754,-0.22090073470681876,-0.2078304459078065,0.4692354583012024,0.3965632840480791,0.5800659073842022,0.20926285550343227,0.18394299896676913,0.23724620579552597,-9.720598179163709e-05,-0.017241347437656596,0.002949834509770932,0.5181818181818182,0.501931330472103,0.5359912319984915,0.12725992772995112,0.10941351361448089,0.14332711495431458,0.0036663127007854346,-0.005055182126642171,0.021173143560541674,0.13767475898420423,0.11442410327885905,0.15910246583913018,0.018581072037355373,0.003938734113631548,0.03173464309229601,0.5211286233880745,0.49753449501262165,0.5454984628897672,205.0,198.0,213.1,3.0,2.0,4.0,-0.1569847439828462,-0.21326228251602636,-0.07245356694394071,-0.1517323809187029,-0.2695530490645962,-0.07923254858846179,0.28095446113573586,0.26743279590158586,0.2969011678648191,0.10415140397337083,0.07763834478638523,0.1445131853154616,205.0,198.0,213.1,9.0,8.0,10.0,3.0,2.0,3.0,58.0,57.0,59.0,0.25380710659898476,0.23634536317953403,0.2727272727272727,0.8413794890205639,0.7936594627860669,0.8695676011238775,71.0,68.0,73.0,276.0,270.0,282.0,0.719045538864264,0.7030988321351808,0.7325672040984141,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,0.19259211007274235,0.06893635977131574,0.19333154598514712,0.2410861027998139,0.680815353874256,-0.13521476211109568,0.44863079487430657,-0.004494187932254368,0.394029102217878,0.7187268498652218
A3,判定,A3 3×ATR 追蹤,200,0.3229203139165263,-0.3448067734020287,0.9365254363492919,合格,28,40,分不出,-0.06621827522552004,0.042186654621142766,0.2502804598490009,0.42791493416139204,-0.4375422810168476,-0.2989995228708791,526.0,519.0,535.0,0.9981132075471698,0.9980769230769231,1.0,6.503026372676178,6.458279290964116,6.538434932987462,4.700410442718704,4.1427874925547155,5.160648513293678,0.8166431876910987,0.621063183996856,1.1916904023727313,0.027497401089904425,0.024235306831445105,0.03018979380276802,0.10885439794698915,0.10759517841739925,0.10952853782906997,0.050037088902216975,0.04896005200972895,0.05107188491781037,0.17548231587294172,0.17442785987354698,0.17854188729848272,22.0,21.0,23.0,6.0,6.0,6.0,58.95000000000002,57.0,60.0,0.07354492814060234,0.06671927767064122,0.0816340242986967,-0.023008852595267415,-0.026032384606500206,-0.017301004930403985,-0.14814016707063188,-0.15182699522121526,-0.14528380205232835,0.34176871560919075,0.3244934852247378,0.36313016053579766,0.19349826384855978,0.1807318787020689,0.20505427588130196,0.022034105799497605,0.01823579442405243,0.031367562896618684,0.5207940251572327,0.511476903057905,0.5302232464352585,0.07663832227714024,0.06927826408772952,0.08521581131014232,-0.022701286971708257,-0.026280946754149652,-0.01702919406109506,0.12446108956005922,0.11436794121747933,0.1349138709247342,0.019902044700111143,0.014160761149171197,0.02432438502914014,0.5024137853124364,0.48947971066084855,0.5178525653325147,516.0,509.0,525.0,11.0,10.0,13.0,0.033298034801883314,-0.04220864273023713,0.08563545316880052,-0.07026552167797928,-0.11888203417376914,-0.019249691069881336,0.34228782397675084,0.3336124430476766,0.35190292934848527,0.17165616447847865,0.12959570426505398,0.1989980537344736,516.0,509.0,525.0,10.0,10.0,10.0,4.0,4.0,4.0,25.0,22.600000000000136,25.600000000000023,0.25538168713641773,0.24465601428761424,0.26566662191922963,0.7767402212055721,0.6405993754623706,0.8615590808467459,11.0,10.0,11.0,527.0,520.0,535.0,0.6577121760232492,0.6480970706515149,0.6663875569523233,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,5.0,0.13313289795084438,-0.03785529217101691,0.13499925594162032,0.520027424193779,0.4704222365943027,-0.14900750328891016,0.49980996344065953,0.09301548832036532,0.6759240058042042,1.0358103814904773
M20,判定,M20 跌破 20 日線,200,0.363184798382048,-0.334488815866699,1.0857905590684531,合格,54,18,分不出,-0.028375376440487154,0.05177106960713182,0.29697213412375567,0.48617336506487363,-0.4380140077827182,-0.27060841635629984,765.0,758.0,770.0,1.0,1.0,1.0,5.7010376134889755,5.680804150453956,5.7220925205361,7.012285875893043,6.000615923944935,7.467611770308976,1.7867440966798824,1.3291358266129625,2.6713555087248824,0.04102187237397431,0.03510360315507784,0.04368552885630749,0.11696428520018287,0.11648280493352396,0.11872294054108296,0.05156866835474398,0.05112340927793117,0.05229463479418859,0.1990470243348016,0.19629515319787108,0.20216352278874067,15.0,15.0,16.0,5.0,4.0,5.0,32.0,32.0,32.0,0.054307093430170386,0.051192186111231094,0.0573460437000259,-0.023423457317868213,-0.02654868636836505,-0.022139668450152385,-0.11722943283811782,-0.11959449614377167,-0.1156998144837332,0.28571433809052393,0.2790760116020204,0.2936802839727253,0.1960425862626174,0.18537179648773647,0.20550205701350285,0.010284506889777723,0.004115273519575746,0.017953017370397895,0.5148965980116615,0.5071707953063885,0.5216308471814867,0.054910001953456064,0.05176626845155527,0.05801452476450173,-0.02354583268829158,-0.02657806052839684,-0.02218611338479609,0.13728074694339176,0.12823437779122815,0.14486854517678155,0.00893497148202993,0.00736775829550429,0.013274417981534503,0.5059602649006623,0.4947229551451187,0.5173100700645693,755.0,748.0,760.0,37.0,33.0,40.0,0.06493398962387216,0.04815450110497338,0.08253577918904947,-0.026163088279334723,-0.029778341513978828,0.0009806223358891364,0.41982824257908136,0.4132217298751492,0.4253684164063809,0.3152090050893343,0.2613360272605983,0.3414850381068905,755.0,748.0,760.0,10.0,10.0,10.0,3.0,3.0,3.0,20.0,19.09000000000002,20.0,0.2553191489361702,0.245547509713882,0.2642159603381347,0.6683071986396008,0.49658527468922453,0.8085186776305675,10.0,10.0,10.0,765.0,758.0,770.0,0.5801717574209186,0.5746315835936192,0.5867782701248508,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,4.0,0.2897530045965935,0.1343656878744166,0.08476973219308892,0.5316093666872398,0.5077297687077613,-0.13239792894052405,0.7860815942026174,0.16492847584737325,0.853494978580244,0.5299874503076921
M50,判定,M50 跌破 50 日線,200,0.2462136717426937,-0.328277391872327,0.7500171435456349,合格,3,34,分不出,-0.14573594879781704,0.06290541665707208,0.20765100552225219,0.3144077841637955,-0.4124180162915364,-0.277309614154197,416.0,408.9,422.1,0.9738406288881348,0.9694045504994451,0.9764705882352941,6.881971465629054,6.849891915261565,6.9157371379161265,3.2319521350680303,2.813868595535786,3.562203325638172,0.4538027307406858,0.38113607437502,0.5698166627551137,0.018906919990147986,0.016461131283884347,0.020838889454983304,0.17234045770361917,0.170103264592954,0.17379456154920164,0.07869091395282835,0.07485021944948896,0.07973770788497292,0.28406811220213857,0.2787391308390786,0.2925449363484689,32.0,32.0,33.55,10.05,10.0,11.0,61.0,60.0,63.0,0.053217768297583186,0.04611480675048116,0.06018767051295079,-0.03555071944942151,-0.03904893024230893,-0.0305344151530329,-0.15635344513185584,-0.15916681704875288,-0.15243084242024435,0.32178223725243565,0.3074553407023772,0.3454777545857282,0.15291520600053865,0.13966404272914498,0.16971860465634253,0.003249514759701977,-9.720598179163709e-05,0.009425575868552527,0.5071259309410968,0.4951219512195122,0.5204918463199043,0.08527570053534725,0.07638555343244142,0.0941043647624697,-0.03037646622287571,-0.03479545121649804,-0.026067002228972232,0.10244485949981844,0.08988609156708659,0.11653569608784198,0.0036634232364241015,-0.0004661210663335913,0.009039369399276076,0.4957048418146816,0.47875923172837137,0.5086462641301351,408.0,401.0,414.0,4.0,2.0,6.0,0.02347137562103694,-0.042089972149611535,0.19948134797978215,0.006568106429016507,-0.09197862887803943,0.175438583042546,0.3813121935840851,0.3421394511355129,0.4151010710474674,0.2238300615632463,0.15773689736995242,0.3032322988044044,408.0,401.0,414.0,8.0,7.0,9.0,3.0,3.0,3.0,38.0,34.159999999999954,40.60000000000002,0.2591687041564792,0.24633785894509191,0.2688959191247945,0.6728990815878726,0.5798017567519008,0.7565571801335194,19.0,19.0,20.0,427.0,420.0,433.0,0.6186878064159149,0.5848989289525326,0.6578605488644869,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,5.0,0.14437956887892622,-0.06707717424950954,0.17220028746175242,0.51624221498133,0.3962662790540935,-0.10884266635372747,0.4134264017775038,0.003647859279199528,0.44252945539712674,0.6369435747513941
F,判定,F 前低棘輪,200,0.31299350737029863,-0.35367395595806206,0.8849775396167785,合格,20,44,分不出,-0.08149037521880853,0.037518015438025715,0.25061962648766467,0.41686663469287183,-0.44986808258196287,-0.2881003041036198,642.0,633.0,649.0,1.0,1.0,1.0,6.270644185041072,6.23601383484652,6.2957630782533505,5.503405266863288,4.652649740487307,6.005482915441433,0.8551023022668569,0.6769223876957532,1.2683070316986587,0.03219492081115026,0.02721800098185076,0.03513207505533237,0.15901058880688979,0.15729207645603682,0.16133337447850904,0.07062157333905275,0.06984669918185626,0.07293598853403015,0.2775680510009842,0.2760285164407174,0.281662145928807,19.0,18.0,19.0,7.0,7.0,8.0,43.44999999999999,43.0,45.0,0.058942455939902993,0.05497225096622628,0.0637799094391541,-0.020895502272052724,-0.023932516838575446,-0.016963542699284778,-0.13480719380169887,-0.1380184738556219,-0.13197526103041607,0.3153207781258407,0.3057049736639446,0.3251723803275983,0.17754625942201605,0.16501880698770674,0.18997011885500611,0.011184922624561888,0.0041002714772022,0.02019733740006561,0.5172955974842768,0.5069908391789043,0.528898115924637,0.05943435821942011,0.05515693112610293,0.06423024567597686,-0.021528207606799576,-0.023952074877589213,-0.016965141784849702,0.11462320280010425,0.10406851353029187,0.12482420605969688,0.012375858262329342,0.007315861312180982,0.017589290432719184,0.5043649111117842,0.48981821418240884,0.5157879402841126,632.0,623.0,639.0,20.0,17.0,23.099999999999994,0.024976981918013563,-0.022393058529198488,0.05966921678066387,-0.05079070940742636,-0.06570246815280462,-0.046594999823190375,0.3645847655483857,0.3582385262155997,0.37082748667284954,0.1820654478156764,0.1425011658820457,0.20641101894115946,632.0,623.0,639.0,10.0,10.0,10.0,2.0,2.0,3.0,19.800000000000068,18.59000000000002,20.0,0.2828682375290156,0.2717041800643087,0.29274873014593245,0.7386912608960665,0.5827747224136669,0.8488686993761456,10.0,10.0,10.0,642.0,633.0,649.0,0.6354152344516144,0.6291725133271503,0.6417614737844004,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,5.0,0.1270518893229624,0.050822704677113695,0.05594093501126829,0.36733222996720816,0.3677434909518923,-0.1905942311832881,0.5673427470168323,0.006275070013784911,1.141318254381019,0.8357673057869063
a_P15,ⓐ整份,ⓐ整份 P15 −15%,200,0.34765656081117124,-0.3801349542304956,0.9145608867117465,合格（描述）,15,61,分不出（描述）,-0.04293125651658369,0.018244175548301517,0.31405156347500024,0.38012767982670703,-0.42917129518868036,-0.3403074816236438,103.0,96.0,109.0,0.4724770642201835,0.4528301886792453,0.49107142857142855,7.886294855166451,7.844271508862948,7.9269779507133595,1.9987739855169164,1.9236709424167724,2.074857566359607,0.5408968886511407,0.4535997105861269,0.6554809144966376,0.01141860633409354,0.010965185345596222,0.011806725748489379,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.1499999999999999,0.1499999999999999,0.1499999999999999,0.15000000000000002,0.15000000000000002,0.15000000000000002,32.5,30.0,37.0,9.0,8.0,10.5,96.20000000000002,95.0,105.20000000000002,-0.1691780615415272,-0.17121716441699963,-0.16707727956566645,-0.15992621953918762,-0.16321109855013366,-0.15840487759962663,-0.22540272625892882,-0.23127809872565427,-0.20734904659281972,-0.1341376928206545,-0.13630114882946587,-0.1332597322765872,-0.07082931147350029,-0.08605762491196187,-0.053545780610104246,-0.12231305258310365,-0.13907286284556175,-0.10839010251461012,0.6018518518518519,0.5698807339449541,0.6400776699029126,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,2.0,-0.08964685307337025,-0.16873241517631188,0.12019336773197198,-0.14655169069463891,-0.16873241517631188,0.12019336773197198,0.21566699657113758,0.21182160387625096,0.22041644594384804,0.029979513950449337,0.021605026815199126,0.043302335610523254,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,217.0,212.0,222.0,217.0,212.0,222.0,0.7843330034288624,0.779583554056152,0.788178396123749,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,0.2399514493763757,-0.012936815907696686,0.16160045909911225,0.5361147769285813,1.1112508240493406,-0.06505015294560879,0.6972873833475877,0.2589233450628061,0.24301241829361997,0.41677417845065734
a_T20,ⓐ整份,ⓐ整份 T20 追蹤 −20%,200,0.30077789697580015,-0.3556832555693601,0.8456341204320396,合格（描述）,1,18,分不出（描述）,-0.0929466270425584,0.04356073566632629,0.2616424618273606,0.3320387860426075,-0.3771917937466888,-0.3110178783080925,215.0,207.0,222.1,0.7777777777777778,0.7657761074117951,0.7901839719326484,7.494811932555123,7.452961521833117,7.537483787289235,2.603438474377632,2.5193046455019834,2.689236012413508,0.47811300083390984,0.3929084975336053,0.5906913525321235,0.015230115075109149,0.014737932176186604,0.01573203067261903,0.20159676310140162,0.20000000000000007,0.20223052449914894,0.15573425597146742,0.1538263707484338,0.15795877813935216,0.2370292934949052,0.23581222756314907,0.2390539403322794,40.0,38.0,42.0,15.0,14.0,16.0,87.0,85.49,93.02,0.0870906931172638,0.07319327268028508,0.10492499786235203,-0.05602000096983384,-0.07034704205844798,-0.04332132598873306,-0.21851416314748673,-0.22077765212795727,-0.2079118423153889,0.47130881165325983,0.3989854951584967,0.5951087953142127,0.20905058136168403,0.18178011367908856,0.23724620579552597,-9.720598179163709e-05,-0.017241347437656596,0.002949834509770932,0.5180999180999182,0.5,0.536722104216568,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,1.9000000000000021,4.0,-0.1569847439828462,-0.24010985611833588,-0.06407481445634888,-0.1517323809187029,-0.2695530490645962,-0.07923254858846179,0.25807267173417014,0.25357264183100814,0.2615047156349504,0.07782708459712885,0.07171834295821024,0.08322643302146288,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,276.0,270.0,282.0,276.0,270.0,282.0,0.7419273282658299,0.7384952843650495,0.7464273581689919,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,0.17711671376513516,0.0689786349853827,0.18941773111718108,0.27120159915193176,0.8697534696269154,-0.16230172677458032,0.48292763190421906,0.015374093262065736,0.5023764855226155,0.7330967831138195
a_A3,ⓐ整份,ⓐ整份 A3 3×ATR 追蹤,200,0.3540238632170032,-0.28495521362825205,1.242384228417231,合格（描述）,29,0,分不出（描述）,-0.03729384994443774,0.10445935364284673,0.31652651439255025,0.3951390594616924,-0.3097740654076851,-0.262741183886551,523.0,516.0,531.0,0.9981060606060606,0.9980732177263969,1.0,6.472762645914397,6.436359706009512,6.51033290099438,4.563615972684348,4.413386301634305,4.796686720701924,0.9589963882573167,0.8141625551996872,1.1120999774766127,0.02669715344020343,0.025818309864560705,0.028060617316106234,0.10880556901995497,0.1074216626534581,0.10951358808984846,0.0500016240688963,0.04897163471148323,0.05117378449985646,0.17539410197961425,0.17443372135584073,0.17849236211656305,22.0,21.0,23.0,6.0,6.0,6.0,59.0,57.0,60.0,0.0743703873132904,0.06686700233267215,0.08076093537897533,-0.023042861452850283,-0.026011845450640225,-0.016806803349842303,-0.14832540246498283,-0.15280731915800796,-0.14532694182716246,0.34032440401897224,0.32305728567801956,0.362025090247411,0.19188970567548025,0.17966952682868131,0.20394210026552367,0.022034105799497605,0.01721581786335502,0.02843988387859242,0.5200764818355641,0.5103578154425612,0.5306631299734749,,,,,,,,,,,,,,,,0.0,0.0,0.0,11.0,9.0,13.0,0.03204932405643157,-0.05660345888577121,0.08188668924142575,-0.07026552167797928,-0.12086040974319562,-0.019249691069881336,0.3461669194220731,0.3415566215157007,0.3499469290450218,0.19692598017042412,0.19143121592830137,0.20581231521645893,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,524.0,517.0,531.1,524.0,517.0,531.1,0.6538330805779269,0.6500530709549782,0.6584433784842991,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,0.15678495252071278,0.009847866231813773,0.14053419303426518,0.6146788088083857,0.6095679954936506,-0.14248462201588907,0.4958848695434145,0.10001224534411468,0.8509622489701452,0.9815578956685433
