key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2009-11-16_0015,2009-11-16,0015,富邦,twse,7.15,7.21,7.15,7.21,188000,1349470,0.06,,,16,,
2009-11-16_0050,2009-11-16,0050,元大台灣50,twse,53.75,54.55,53.65,54.55,10796075,585729183,0.9,,,3016,,
2009-11-16_0051,2009-11-16,0051,元大中型100,twse,28.55,28.87,28.54,28.54,357010,10224749,0.21,,,189,,
2009-11-16_0052,2009-11-16,0052,富邦科技,twse,33.40,34.00,33.40,34.00,89000,2980700,0.6,,,14,,
2009-11-16_0053,2009-11-16,0053,元大電子,twse,25.00,25.25,24.94,25.25,189000,4743070,0.32,,,86,,
2009-11-16_0054,2009-11-16,0054,元大台商50,twse,20.80,21.10,20.80,21.07,145000,3037920,0.49,,,61,,
2009-11-16_0055,2009-11-16,0055,元大MSCI金融,twse,12.86,13.14,12.86,13.13,2594890,33783945,0.27,,,542,,
2009-11-16_0056,2009-11-16,0056,元大高股息,twse,21.65,21.85,21.65,21.80,142370,3100474,0.21,,,67,,
2009-11-16_0057,2009-11-16,0057,富邦摩台,twse,28.86,29.39,28.86,29.39,59000,1716910,0.58,,,22,,
2009-11-16_0058,2009-11-16,0058,富邦發達,twse,30.40,30.45,30.40,30.45,27000,822050,0.5,,,5,,
2009-11-16_0059,2009-11-16,0059,富邦金融,twse,27.00,27.52,27.00,27.33,54000,1472400,0.33,,,10,,
2009-11-16_0060,2009-11-16,0060,新台灣,twse,26.00,26.30,26.00,26.29,140000,3670040,0.39,,,20,,
2009-11-16_0061,2009-11-16,0061,元大寶滬深,twse,20.03,20.39,20.02,20.39,12248950,247699536,0.48,,,2045,,
2009-11-16_0080,2009-11-16,0080,恒中國,twse,558.00,569.00,558.00,566.05,12800,7241090,10.1,,,48,,
2009-11-16_0081,2009-11-16,0081,恒香港,twse,940.00,953.00,940.00,950.10,1800,1709570,5.45,,,13,,
2009-11-16_01001T,2009-11-16,01001T,土銀富邦R1,twse,11.10,11.15,11.10,11.15,35000,389120,0.07,,,11,,
2009-11-16_01002T,2009-11-16,01002T,土銀國泰R1,twse,10.98,11.02,10.98,11.02,1331000,14648020,0.03,,,80,,
