key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2008-04-23_2444,2008-04-23,2444,兆勁,twse,14.05,14.10,13.75,13.80,550248,7652041,-0.3,,,220,,
2008-04-23_2446,2008-04-23,2446,全懋,twse,22.65,23.35,22.50,22.90,11216398,259149319,0.15,,,3399,,
2008-04-23_2448,2008-04-23,2448,晶電,twse,81.00,84.50,80.10,84.00,15280181,1273131104,2.7,,,8442,,
2008-04-23_2449,2008-04-23,2449,京元電子,twse,17.05,17.40,16.80,17.10,11825008,202170536,-0.1,,,2569,,
2008-04-23_2450,2008-04-23,2450,神腦,twse,51.50,51.50,50.50,50.70,376965,19173032,-0.3,,,176,,
2008-04-23_2451,2008-04-23,2451,創見,twse,115.00,117.50,112.00,113.50,3992984,460160192,0.0,,,2267,,
2008-04-23_2452,2008-04-23,2452,乾坤,twse,43.20,43.80,42.80,43.80,247967,10758415,0.6,,,134,,
2008-04-23_2453,2008-04-23,2453,凌群,twse,10.50,10.80,10.25,10.50,168105,1769941,0.15,,,62,,
2008-04-23_2454,2008-04-23,2454,聯發科,twse,395.00,404.00,391.00,397.00,11574199,4616591503,6.0,,,7864,,
2008-04-23_2455,2008-04-23,2455,全新,twse,47.50,48.50,46.65,47.80,532000,25477250,0.65,,,283,,
2008-04-23_2456,2008-04-23,2456,奇力新,twse,16.95,17.05,16.80,16.95,457491,7740497,0.1,,,162,,
2008-04-23_2457,2008-04-23,2457,飛宏,twse,21.10,21.50,21.05,21.15,2789388,59252098,0.0,,,969,,
2008-04-23_2458,2008-04-23,2458,義隆,twse,58.50,60.90,57.50,58.90,34049405,2023177248,0.9,,,13330,,
2008-04-23_2459,2008-04-23,2459,敦吉,twse,28.30,28.30,27.55,27.55,908882,25408958,-0.45,,,295,,
2008-04-23_2460,2008-04-23,2460,建通,twse,33.00,33.50,32.50,32.90,989000,32769448,0.4,,,373,,
2008-04-23_2461,2008-04-23,2461,光群雷,twse,27.65,28.10,27.45,28.00,1378745,38187786,0.3,,,506,,
2008-04-23_2462,2008-04-23,2462,良得電,twse,19.00,19.25,19.00,19.10,233488,4465222,0.1,,,68,,
2008-04-23_2463,2008-04-23,2463,研揚,twse,68.70,69.80,68.30,69.20,136076,9429505,0.2,,,97,,
2008-04-23_2464,2008-04-23,2464,盟立,twse,41.00,41.20,40.75,41.00,511975,20996125,0.0,,,220,,
2008-04-23_2465,2008-04-23,2465,麗臺,twse,13.40,13.95,13.40,13.80,917196,12594160,0.2,,,386,,
2008-04-23_2466,2008-04-23,2466,冠西電,twse,41.70,41.95,41.60,41.85,132156,5518074,0.0,,,46,,
2008-04-23_2467,2008-04-23,2467,志聖,twse,18.85,18.85,18.65,18.80,196551,3693550,-0.1,,,73,,
2008-04-23_2468,2008-04-23,2468,華經,twse,15.20,16.15,15.10,15.95,2123417,33897155,0.85,,,735,,
2008-04-23_2471,2008-04-23,2471,資通,twse,10.50,10.95,10.50,10.60,335325,3600796,0.1,,,102,,
2008-04-23_2472,2008-04-23,2472,立隆電,twse,12.20,12.20,11.80,11.95,736241,8788167,0.0,,,187,,
2008-04-23_2473,2008-04-23,2473,思源,twse,40.70,42.30,39.90,40.45,2264456,93400222,0.0,,,1174,,
2008-04-23_2474,2008-04-23,2474,可成,twse,116.00,122.50,114.00,119.50,6867765,820516912,2.0,,,4258,,
2008-04-23_2475,2008-04-23,2475,華映,twse,10.30,10.30,10.00,10.00,89034018,902773980,0.0,,,10866,,
2008-04-23_2476,2008-04-23,2476,鉅祥,twse,38.90,39.20,38.05,38.50,734067,28227262,-0.4,,,413,,
2008-04-23_2477,2008-04-23,2477,美隆電,twse,21.00,21.15,20.80,20.90,871896,18311004,-0.1,,,330,,
2008-04-23_2478,2008-04-23,2478,大毅,twse,32.00,33.50,31.85,32.75,4988493,163743816,0.9,,,1875,,
2008-04-23_2479,2008-04-23,2479,和立,tpex,1.38,1.38,1.38,1.38,9000,12420,0.09,up,59242868,2,,
2008-04-23_2480,2008-04-23,2480,敦陽科,twse,17.00,17.15,16.90,17.00,329585,5609435,0.0,,,125,,
2008-04-23_2481,2008-04-23,2481,強茂,twse,31.90,33.30,31.90,32.65,8204029,269183136,0.8,,,3120,,
2008-04-23_2482,2008-04-23,2482,連宇,twse,32.60,32.65,32.00,32.00,174082,5628907,-0.55,,,125,,
2008-04-23_2483,2008-04-23,2483,百容,twse,17.10,17.50,17.10,17.10,318675,5496375,0.0,,,128,,
2008-04-23_2484,2008-04-23,2484,希華,twse,22.60,22.90,22.40,22.60,716270,16198867,0.1,,,298,,
2008-04-23_2485,2008-04-23,2485,兆赫,twse,98.60,99.50,96.80,97.00,6145978,602579166,-0.5,,,3313,,
2008-04-23_2486,2008-04-23,2486,一詮,twse,38.60,40.55,38.55,39.90,5041589,201094647,1.0,,,2035,,
2008-04-23_2488,2008-04-23,2488,漢平,twse,21.60,21.90,21.40,21.50,226150,4870505,-0.1,,,118,,
2008-04-23_2489,2008-04-23,2489,瑞軒,twse,31.20,32.40,30.75,31.50,20631952,655973073,0.3,,,6379,,
2008-04-23_2491,2008-04-23,2491,吉祥全,twse,12.80,12.80,12.50,12.65,1577331,19905655,0.0,,,553,,
2008-04-23_2492,2008-04-23,2492,華新科,twse,23.00,23.35,22.85,23.20,2939588,67771781,0.0,,,1012,,
2008-04-23_2493,2008-04-23,2493,揚博,twse,12.60,12.80,12.60,12.80,155632,1977226,0.1,,,61,,
2008-04-23_2494,2008-04-23,2494,廣業科,twse,3.98,3.98,3.98,3.98,1809,6858,0.0,flat,,5,,
2008-04-23_2495,2008-04-23,2495,普安,twse,51.20,52.40,51.00,51.50,482122,24948142,0.0,,,298,,
2008-04-23_2496,2008-04-23,2496,卓越,twse,3.17,3.17,3.17,3.17,1364,4225,0.19,up,,3,,
2008-04-23_2497,2008-04-23,2497,怡利電,twse,40.90,42.20,40.90,41.10,467000,19375950,0.2,,,254,,
2008-04-23_2498,2008-04-23,2498,宏達電,twse,765.00,795.00,760.00,785.00,6627629,5160540765,10.0,,,4377,,
2008-04-23_2499,2008-04-23,2499,東貝,twse,28.45,28.90,28.20,28.50,1928680,55298170,0.05,,,913,,
2008-04-23_2501,2008-04-23,2501,國建,twse,25.90,26.30,25.25,26.30,8798021,226184788,0.3,,,2664,,
2008-04-23_2504,2008-04-23,2504,國產,twse,24.50,24.50,23.55,23.80,16952731,403906304,-0.6,,,4196,,
2008-04-23_2505,2008-04-23,2505,國揚,twse,31.10,31.10,29.25,30.55,6447979,194103862,-0.55,,,1767,,
2008-04-23_2506,2008-04-23,2506,太設,twse,4.95,5.18,4.95,5.11,480937,2455931,-0.09,,,98,,
