key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2013-09-18_0015,2013-09-18,0015,富邦,twse,,,,,0,0,0.0,,,0,無成交,
2013-09-18_0050,2013-09-18,0050,元大台灣50,twse,57.90,58.00,57.55,57.55,14816839,855895353,-0.2,,,1585,,
2013-09-18_0051,2013-09-18,0051,元大中型100,twse,29.62,29.78,29.51,29.65,37000,1097690,0.03,,,25,,
2013-09-18_0052,2013-09-18,0052,富邦科技,twse,34.17,34.17,34.17,34.17,1000,34170,-0.32,down,,1,,
2013-09-18_0053,2013-09-18,0053,元大電子,twse,24.30,24.39,24.16,24.20,57000,1385120,-0.14,,,49,,
2013-09-18_0054,2013-09-18,0054,元大台商50,twse,21.09,21.11,21.09,21.11,19085,402696,0.21,,,12,,
2013-09-18_0055,2013-09-18,0055,元大MSCI金融,twse,13.58,13.62,13.54,13.60,2148000,29142040,0.05,,,458,,
2013-09-18_0056,2013-09-18,0056,元大高股息,twse,24.34,24.42,24.34,24.38,995053,24264031,0.04,,,274,,
2013-09-18_0057,2013-09-18,0057,富邦摩台,twse,34.34,34.47,34.29,34.29,100000,3439650,-0.01,,,11,,
2013-09-18_0058,2013-09-18,0058,富邦發達,twse,33.99,34.29,33.99,34.28,124000,4244520,0.28,,,10,,
2013-09-18_0059,2013-09-18,0059,富邦金融,twse,29.05,29.07,28.78,29.07,106000,3063150,-0.93,,,23,,
2013-09-18_0060,2013-09-18,0060,新台灣,twse,31.10,31.10,30.68,30.68,2000,61780,-0.51,,,2,,
2013-09-18_0061,2013-09-18,0061,元大寶滬深,twse,13.21,13.26,13.14,13.24,14694327,194818372,-0.02,,,1774,,
2013-09-18_006203,2013-09-18,006203,元大MSCI台灣,twse,28.20,28.20,28.20,28.20,77000,2171400,-0.43,down,,1,,
2013-09-18_006204,2013-09-18,006204,永豐臺灣加權,twse,42.26,42.26,42.03,42.03,632050,26647040,-0.14,,,38,,
2013-09-18_006205,2013-09-18,006205,富邦上証,twse,20.76,20.79,20.60,20.70,5291000,109387090,-0.14,,,664,,
2013-09-18_006206,2013-09-18,006206,元大上證50,twse,19.71,19.76,19.59,19.66,6474000,127243300,-0.22,,,764,,
2013-09-18_006207,2013-09-18,006207,復華滬深,twse,14.93,14.97,14.78,14.86,1487000,22087670,-0.13,,,345,,
2013-09-18_006208,2013-09-18,006208,富邦台50,twse,32.18,32.68,32.18,32.57,7000,228130,0.57,,,7,,
2013-09-18_0080,2013-09-18,0080,恒中國,twse,386.00,386.00,380.00,380.00,1400,533900,-6.0,,,7,,
2013-09-18_0081,2013-09-18,0081,恒香港,twse,800.05,800.05,800.05,800.05,100,80005,0.0,flat,,1,,
2013-09-18_008201,2013-09-18,008201,BP上證50,twse,57.55,57.55,57.55,57.55,300,17265,-0.45,down,,3,,
2013-09-18_01001T,2013-09-18,01001T,土銀富邦R1,twse,16.85,16.86,16.85,16.86,19000,320290,0.01,,,4,,
2013-09-18_01002T,2013-09-18,01002T,土銀國泰R1,twse,19.95,20.00,19.95,19.99,386000,7705050,-0.03,,,73,,
2013-09-18_01003T,2013-09-18,01003T,兆豐新光R1,twse,14.15,14.40,14.15,14.40,169000,2415860,0.24,,,43,,
2013-09-18_01004T,2013-09-18,01004T,土銀富邦R2,twse,13.94,13.94,13.83,13.86,126000,1751010,-0.04,,,11,,
2013-09-18_01007T,2013-09-18,01007T,兆豐國泰R2,twse,16.80,16.80,16.71,16.80,342000,5744890,0.0,,,17,,
2013-09-18_01008T,2013-09-18,01008T,駿馬R1,twse,16.35,16.50,16.20,16.50,177000,2893920,0.15,,,35,,
2013-09-18_1101,2013-09-18,1101,台泥,twse,41.00,41.10,40.65,40.65,8651107,353777823,-0.15,,,2948,,
2013-09-18_1102,2013-09-18,1102,亞泥,twse,37.95,38.05,37.55,37.75,3366889,127289952,-0.25,,,1412,,
2013-09-18_1103,2013-09-18,1103,嘉泥,twse,14.30,14.30,14.20,14.30,273136,3889926,0.0,,,186,,
2013-09-18_1104,2013-09-18,1104,環泥,twse,25.00,25.10,24.60,24.70,1449111,35929609,-0.3,,,688,,
2013-09-18_1108,2013-09-18,1108,幸福,twse,7.90,7.94,7.85,7.89,407000,3213890,0.01,,,134,,
2013-09-18_1109,2013-09-18,1109,信大,twse,10.60,10.60,10.50,10.50,28000,295000,-0.05,,,17,,
2013-09-18_1110,2013-09-18,1110,東泥,twse,15.70,15.75,15.50,15.75,196527,3078071,0.15,,,55,,
2013-09-18_1201,2013-09-18,1201,味全,twse,57.70,58.30,57.40,57.80,811521,46830105,-0.3,,,409,,
2013-09-18_1203,2013-09-18,1203,味王,twse,22.30,22.55,22.30,22.55,60402,1353902,0.15,,,28,,
2013-09-18_1210,2013-09-18,1210,大成,twse,25.50,25.50,25.35,25.40,638034,16217752,-0.1,,,420,,
2013-09-18_1213,2013-09-18,1213,大飲,twse,19.60,19.70,19.35,19.55,78000,1522200,0.0,,,49,,
2013-09-18_1215,2013-09-18,1215,卜蜂,twse,15.00,15.00,14.80,14.80,170337,2532687,-0.1,,,99,,
2013-09-18_1216,2013-09-18,1216,統一,twse,57.50,57.70,56.70,56.70,6414928,366610273,-0.9,,,2926,,
2013-09-18_1217,2013-09-18,1217,愛之味,twse,9.76,9.79,9.73,9.74,1458570,14223374,-0.02,,,291,,
2013-09-18_1218,2013-09-18,1218,泰山,twse,13.85,13.95,13.75,13.75,362861,5016783,-0.15,,,195,,
2013-09-18_1219,2013-09-18,1219,福壽,twse,14.85,15.00,14.80,15.00,37793,563245,0.0,,,28,,
2013-09-18_1220,2013-09-18,1220,台榮,twse,9.87,9.87,9.71,9.80,125000,1220870,-0.07,,,35,,
2013-09-18_1225,2013-09-18,1225,福懋油,twse,12.75,12.80,12.70,12.80,91946,1174098,-0.05,,,32,,
2013-09-18_1227,2013-09-18,1227,佳格,twse,89.50,89.80,88.30,88.30,1389574,123066655,-1.2,,,1138,,
2013-09-18_1229,2013-09-18,1229,聯華,twse,18.90,18.95,18.80,18.90,366082,6912484,0.0,,,207,,
2013-09-18_1231,2013-09-18,1231,聯華食,twse,39.60,39.60,39.25,39.55,313101,12340400,-0.05,,,203,,
2013-09-18_1232,2013-09-18,1232,大統益,twse,58.30,58.60,58.00,58.50,86048,5005726,-0.1,,,71,,
2013-09-18_1233,2013-09-18,1233,天仁,twse,45.60,46.80,45.60,46.05,49045,2269034,0.45,,,24,,
2013-09-18_1234,2013-09-18,1234,黑松,twse,30.35,30.40,30.30,30.35,311854,9466390,0.05,,,149,,
2013-09-18_1235,2013-09-18,1235,興泰,twse,25.00,25.30,25.00,25.30,3535,88593,0.1,,,5,,
2013-09-18_1236,2013-09-18,1236,宏亞,twse,26.85,26.90,26.60,26.90,19127,511629,0.05,,,20,,
2013-09-18_1301,2013-09-18,1301,台塑,twse,77.40,77.50,76.60,76.60,7608373,587185735,-0.9,,,2846,,
2013-09-18_1303,2013-09-18,1303,南亞,twse,63.50,64.30,63.40,63.50,7627204,487740974,-0.7,,,2330,,
2013-09-18_1304,2013-09-18,1304,台聚,twse,20.50,20.90,20.50,20.55,4279434,88703786,0.1,,,1805,,
2013-09-18_1305,2013-09-18,1305,華夏,twse,17.15,17.40,17.15,17.20,2534834,43831177,-0.05,,,971,,
2013-09-18_1307,2013-09-18,1307,三芳,twse,28.90,28.90,28.55,28.60,163594,4699845,0.0,,,135,,
2013-09-18_1308,2013-09-18,1308,亞聚,twse,23.85,24.80,23.85,24.30,6893972,168921861,0.45,,,2210,,
2013-09-18_1309,2013-09-18,1309,台達化,twse,11.30,11.35,11.15,11.15,788995,8853839,-0.15,,,272,,
2013-09-18_1310,2013-09-18,1310,台苯,twse,18.40,18.50,18.25,18.30,2084333,38203745,-0.1,,,581,,
2013-09-18_1312,2013-09-18,1312,國喬,twse,20.00,20.20,19.95,19.95,4070049,81456516,-0.05,,,1176,,
2013-09-18_1312A,2013-09-18,1312A,國喬特,twse,22.05,22.05,22.05,22.05,5000,110250,-0.05,down,,1,,
2013-09-18_1313,2013-09-18,1313,聯成,twse,13.65,13.80,13.60,13.70,1712083,23443941,0.0,,,424,,
2013-09-18_1314,2013-09-18,1314,中石化,twse,14.40,14.45,14.25,14.35,6354082,90943981,0.0,,,1975,,
2013-09-18_1315,2013-09-18,1315,達新,twse,28.45,28.50,28.40,28.40,29001,824728,0.0,,,18,,
2013-09-18_1316,2013-09-18,1316,上曜,twse,11.80,11.80,11.60,11.65,144000,1680100,-0.1,,,48,,
2013-09-18_1319,2013-09-18,1319,東陽,twse,44.30,44.30,43.25,43.45,2139088,93484653,-0.75,,,1200,,
2013-09-18_1321,2013-09-18,1321,大洋,twse,33.45,33.60,33.30,33.40,193001,6463383,-0.05,,,92,,
2013-09-18_1323,2013-09-18,1323,永裕,twse,42.90,43.35,41.60,42.30,1251550,52778100,-0.3,,,762,,
2013-09-18_1324,2013-09-18,1324,地球,twse,15.90,15.95,15.85,15.90,89267,1417654,0.05,,,49,,
2013-09-18_1325,2013-09-18,1325,恆大,twse,18.80,18.85,18.70,18.80,105096,1973724,0.05,,,67,,
2013-09-18_1326,2013-09-18,1326,台化,twse,79.40,79.50,77.80,77.80,6064588,474745358,-1.7,,,2847,,
2013-09-18_1337,2013-09-18,1337,再生-KY,twse,80.00,80.70,79.80,80.20,314450,25248242,0.2,,,194,,
2013-09-18_1338,2013-09-18,1338,廣華-KY,twse,80.00,81.00,79.20,79.90,1126440,90119551,0.3,,,631,,
2013-09-18_1339,2013-09-18,1339,昭輝,twse,36.50,37.10,36.40,36.80,23500,864350,0.5,,,22,,
2013-09-18_1402,2013-09-18,1402,遠東新,twse,32.40,32.45,32.15,32.15,2683735,86656564,-0.25,,,994,,
2013-09-18_1409,2013-09-18,1409,新纖,twse,9.91,9.93,9.89,9.90,2482761,24591240,0.0,,,680,,
2013-09-18_1410,2013-09-18,1410,南染,twse,20.85,20.90,20.70,20.90,82063,1703004,0.0,,,24,,
2013-09-18_1413,2013-09-18,1413,宏洲,twse,4.05,4.09,4.04,4.08,174337,708401,0.03,,,53,,
2013-09-18_1414,2013-09-18,1414,東和,twse,9.08,9.15,9.06,9.09,659346,5991696,0.04,,,146,,
2013-09-18_1416,2013-09-18,1416,廣豐,twse,15.75,15.95,15.75,15.75,400499,6345659,0.0,,,128,,
2013-09-18_1417,2013-09-18,1417,嘉裕,twse,8.50,8.52,8.48,8.52,305854,2598224,0.02,,,104,,
2013-09-18_1418,2013-09-18,1418,東華,twse,5.78,5.87,5.77,5.77,87000,504700,0.01,,,38,,
2013-09-18_1419,2013-09-18,1419,新紡,twse,38.55,38.60,38.40,38.55,57281,2205561,0.0,,,38,,
2013-09-18_1423,2013-09-18,1423,利華,twse,7.18,7.18,7.13,7.17,97000,693660,-0.01,,,27,,
2013-09-18_1432,2013-09-18,1432,大魯閣,twse,26.90,27.25,26.85,27.15,707578,19172656,0.35,,,276,,
2013-09-18_1434,2013-09-18,1434,福懋,twse,28.45,28.55,28.45,28.55,299682,8546414,0.05,,,194,,
2013-09-18_1435,2013-09-18,1435,中福,twse,6.15,6.15,6.05,6.07,186000,1137730,-0.08,,,48,,
2013-09-18_1436,2013-09-18,1436,華友聯,twse,53.50,53.50,53.50,53.50,2028,107469,0.3,up,,6,,
2013-09-18_1437,2013-09-18,1437,勤益控,twse,15.05,15.05,14.90,14.90,101004,1511009,-0.15,,,36,,
2013-09-18_1438,2013-09-18,1438,三地開發,twse,5.98,5.98,5.81,5.95,172453,1018915,0.0,,,24,,
2013-09-18_1439,2013-09-18,1439,雋揚,twse,15.20,15.20,15.05,15.15,51619,780403,-0.05,,,23,,
2013-09-18_1440,2013-09-18,1440,南紡,twse,16.40,16.55,16.20,16.55,4326049,71047291,0.25,,,1209,,
2013-09-18_1441,2013-09-18,1441,大東,twse,9.19,9.34,9.15,9.15,85744,786848,-0.04,,,64,,
2013-09-18_1442,2013-09-18,1442,名軒,twse,35.25,35.30,34.90,35.00,418065,14667021,-0.25,,,209,,
2013-09-18_1443,2013-09-18,1443,立益物流,twse,8.04,8.60,8.00,8.12,1994432,16302974,0.07,,,537,,
2013-09-18_1444,2013-09-18,1444,力麗,twse,10.40,10.40,10.30,10.30,593573,6131069,-0.05,,,184,,
2013-09-18_1445,2013-09-18,1445,大宇,twse,7.76,7.80,7.72,7.76,70252,547464,0.06,,,11,,
2013-09-18_1446,2013-09-18,1446,宏和,twse,29.90,30.20,29.55,30.00,136365,4071476,0.15,,,45,,
2013-09-18_1447,2013-09-18,1447,力鵬,twse,13.05,13.15,13.00,13.10,3666363,47874669,0.05,,,877,,
