H,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
60,18,win,0,7000,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,1,7001,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,2,7002,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,3,7003,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,4,7004,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,5,7005,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,6,7006,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,7,7007,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,8,7008,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,9,7009,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,10,7010,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,11,7011,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,12,7012,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,13,7013,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,14,7014,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,15,7015,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,16,7016,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,17,7017,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,18,7018,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,19,7019,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,20,7020,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,21,7021,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,22,7022,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,23,7023,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,24,7024,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,25,7025,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,26,7026,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,27,7027,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,28,7028,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,29,7029,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,30,7030,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,31,7031,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,32,7032,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,33,7033,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
60,18,win,34,7034,526,2859,699,e46ce57aa36c67d7,0.3612317362788622,-0.32131436013029513,0.2711818357992697,523,2836
