H,窗內t1判開訊號,進模擬（xpos≥0）,剔除（出場超出資料尾或碰壞根）,其中出場超出資料尾
60,2309,2222,87,74
90,2309,2103,206,188
100,2309,2046,263,243
110,2309,2000,309,288
120,2309,1959,350,327
130,2309,1950,359,335
140,2309,1938,371,346
150,2309,1903,406,379
