=== researchExplore_fakecond 2026-09-25 23:54（台北）out=backtest/resultsExplore/fakecond only=None procs=2
[前置] 量測日 72｜母體 31,106 股-月｜S0 候選母體 31,101 列
  FAKE016 抽 3,139／訊號 3,137｜年化中位 +7.9652% 回落中位 -43.2268% 比值(甲) 0.1843｜187s
  FAKE017 抽 3,139／訊號 3,138｜年化中位 +5.8074% 回落中位 -39.6233% 比值(甲) 0.1466｜189s
  FAKE018 抽 3,139／訊號 3,138｜年化中位 +4.7521% 回落中位 -41.5863% 比值(甲) 0.1143｜192s
  FAKE019 抽 3,139／訊號 3,139｜年化中位 +4.6712% 回落中位 -42.8622% 比值(甲) 0.1090｜194s
  FAKE020 抽 3,139／訊號 3,139｜年化中位 +4.1658% 回落中位 -42.3083% 比值(甲) 0.0985｜197s
  FAKE021 抽 3,139／訊號 3,139｜年化中位 +3.0528% 回落中位 -41.9711% 比值(甲) 0.0727｜200s
  FAKE022 抽 3,139／訊號 3,138｜年化中位 +9.3932% 回落中位 -40.2682% 比值(甲) 0.2333｜202s
  FAKE023 抽 3,139／訊號 3,138｜年化中位 +1.9496% 回落中位 -44.9539% 比值(甲) 0.0434｜205s
  FAKE024 抽 3,139／訊號 3,139｜年化中位 +7.9783% 回落中位 -40.4166% 比值(甲) 0.1974｜208s
  FAKE025 抽 3,139／訊號 3,138｜年化中位 -0.5389% 回落中位 -44.6302% 比值(甲) -0.0121｜210s
  FAKE026 抽 3,139／訊號 3,139｜年化中位 +7.0255% 回落中位 -40.0105% 比值(甲) 0.1756｜213s
  FAKE027 抽 3,139／訊號 3,139｜年化中位 +2.6745% 回落中位 -44.1815% 比值(甲) 0.0605｜215s
  FAKE028 抽 3,139／訊號 3,139｜年化中位 +3.7619% 回落中位 -39.6107% 比值(甲) 0.0950｜218s
  FAKE029 抽 3,139／訊號 3,139｜年化中位 +3.5255% 回落中位 -43.4896% 比值(甲) 0.0811｜221s
  FAKE030 抽 3,139／訊號 3,139｜年化中位 +0.7082% 回落中位 -45.7150% 比值(甲) 0.0155｜223s
  FAKE031 抽 3,139／訊號 3,137｜年化中位 +3.1479% 回落中位 -46.1463% 比值(甲) 0.0682｜226s
  FAKE032 抽 3,139／訊號 3,139｜年化中位 +7.8370% 回落中位 -41.2516% 比值(甲) 0.1900｜228s
  FAKE033 抽 3,139／訊號 3,137｜年化中位 +8.3150% 回落中位 -41.0288% 比值(甲) 0.2027｜231s
  FAKE034 抽 3,139／訊號 3,139｜年化中位 +5.1329% 回落中位 -39.6285% 比值(甲) 0.1295｜234s
  FAKE035 抽 3,139／訊號 3,139｜年化中位 +0.8994% 回落中位 -44.5164% 比值(甲) 0.0202｜236s
  FAKE036 抽 3,139／訊號 3,138｜年化中位 +4.0039% 回落中位 -39.9094% 比值(甲) 0.1003｜239s
  FAKE037 抽 3,139／訊號 3,139｜年化中位 +3.0723% 回落中位 -44.4396% 比值(甲) 0.0691｜242s
  FAKE038 抽 3,139／訊號 3,137｜年化中位 +4.2135% 回落中位 -40.3910% 比值(甲) 0.1043｜244s
  FAKE039 抽 3,139／訊號 3,138｜年化中位 +4.7239% 回落中位 -40.7667% 比值(甲) 0.1159｜247s
  FAKE040 抽 3,139／訊號 3,138｜年化中位 +5.5470% 回落中位 -42.1658% 比值(甲) 0.1316｜249s
  FAKE041 抽 3,139／訊號 3,139｜年化中位 +2.4104% 回落中位 -44.0665% 比值(甲) 0.0547｜252s
  FAKE042 抽 3,139／訊號 3,138｜年化中位 +3.1971% 回落中位 -40.7990% 比值(甲) 0.0784｜255s
  FAKE043 抽 3,139／訊號 3,139｜年化中位 +6.7761% 回落中位 -40.8951% 比值(甲) 0.1657｜257s
  FAKE044 抽 3,139／訊號 3,137｜年化中位 +2.2868% 回落中位 -42.8791% 比值(甲) 0.0533｜260s
  FAKE045 抽 3,139／訊號 3,139｜年化中位 +6.7050% 回落中位 -40.1217% 比值(甲) 0.1671｜263s
  FAKE046 抽 3,139／訊號 3,139｜年化中位 +3.4588% 回落中位 -42.6689% 比值(甲) 0.0811｜265s
  FAKE047 抽 3,139／訊號 3,138｜年化中位 +1.4253% 回落中位 -42.9649% 比值(甲) 0.0332｜268s
  FAKE048 抽 3,139／訊號 3,138｜年化中位 +2.4111% 回落中位 -45.0636% 比值(甲) 0.0535｜271s
  FAKE049 抽 3,139／訊號 3,139｜年化中位 +5.4061% 回落中位 -42.8897% 比值(甲) 0.1260｜273s
  FAKE050 抽 3,139／訊號 3,139｜年化中位 +3.4465% 回落中位 -43.3917% 比值(甲) 0.0794｜276s
  FAKE051 抽 3,139／訊號 3,137｜年化中位 +4.1377% 回落中位 -41.9392% 比值(甲) 0.0987｜278s
  FAKE052 抽 3,139／訊號 3,139｜年化中位 +4.4009% 回落中位 -41.2512% 比值(甲) 0.1067｜281s
  FAKE053 抽 3,139／訊號 3,138｜年化中位 +8.3085% 回落中位 -40.7173% 比值(甲) 0.2041｜284s
  FAKE054 抽 3,139／訊號 3,138｜年化中位 +5.9151% 回落中位 -44.4250% 比值(甲) 0.1331｜286s
  FAKE055 抽 3,139／訊號 3,139｜年化中位 +4.8128% 回落中位 -43.9927% 比值(甲) 0.1094｜289s
  FAKE056 抽 3,139／訊號 3,139｜年化中位 +10.7691% 回落中位 -37.2239% 比值(甲) 0.2893｜291s
  FAKE057 抽 3,139／訊號 3,139｜年化中位 -0.2147% 回落中位 -43.5151% 比值(甲) -0.0049｜294s
  FAKE058 抽 3,139／訊號 3,139｜年化中位 +2.8865% 回落中位 -42.4015% 比值(甲) 0.0681｜297s
  FAKE059 抽 3,139／訊號 3,139｜年化中位 +11.0964% 回落中位 -42.9401% 比值(甲) 0.2584｜299s
  FAKE060 抽 3,139／訊號 3,139｜年化中位 +6.1962% 回落中位 -44.4311% 比值(甲) 0.1395｜302s
  FAKE061 抽 3,139／訊號 3,139｜年化中位 +7.4524% 回落中位 -39.0495% 比值(甲) 0.1908｜305s
  FAKE062 抽 3,139／訊號 3,138｜年化中位 +3.0585% 回落中位 -43.3558% 比值(甲) 0.0705｜307s
  FAKE063 抽 3,139／訊號 3,139｜年化中位 +3.6715% 回落中位 -43.9457% 比值(甲) 0.0835｜310s
  FAKE064 抽 3,139／訊號 3,138｜年化中位 +1.5804% 回落中位 -43.6881% 比值(甲) 0.0362｜312s
  FAKE065 抽 3,139／訊號 3,139｜年化中位 +9.9705% 回落中位 -39.0935% 比值(甲) 0.2550｜315s
  FAKE066 抽 3,139／訊號 3,139｜年化中位 +3.6790% 回落中位 -46.7168% 比值(甲) 0.0788｜318s
  FAKE067 抽 3,139／訊號 3,139｜年化中位 +6.8717% 回落中位 -42.2123% 比值(甲) 0.1628｜320s
  FAKE068 抽 3,139／訊號 3,139｜年化中位 +5.4124% 回落中位 -43.8259% 比值(甲) 0.1235｜323s
  FAKE069 抽 3,139／訊號 3,139｜年化中位 +4.9882% 回落中位 -40.6723% 比值(甲) 0.1226｜326s
  FAKE070 抽 3,139／訊號 3,139｜年化中位 +4.2313% 回落中位 -44.6190% 比值(甲) 0.0948｜328s
  FAKE071 抽 3,139／訊號 3,138｜年化中位 +2.9074% 回落中位 -43.9195% 比值(甲) 0.0662｜331s
  FAKE072 抽 3,139／訊號 3,136｜年化中位 +1.8075% 回落中位 -43.6944% 比值(甲) 0.0414｜334s
  FAKE073 抽 3,139／訊號 3,139｜年化中位 -0.2183% 回落中位 -44.8062% 比值(甲) -0.0049｜336s
  FAKE074 抽 3,139／訊號 3,139｜年化中位 +4.6339% 回落中位 -40.8904% 比值(甲) 0.1133｜339s
  FAKE075 抽 3,139／訊號 3,139｜年化中位 +4.6776% 回落中位 -41.0124% 比值(甲) 0.1141｜341s
  FAKE076 抽 3,139／訊號 3,139｜年化中位 +6.2415% 回落中位 -39.1996% 比值(甲) 0.1592｜344s
  FAKE077 抽 3,139／訊號 3,139｜年化中位 +6.4508% 回落中位 -41.2443% 比值(甲) 0.1564｜347s
  FAKE078 抽 3,139／訊號 3,139｜年化中位 +8.5941% 回落中位 -40.7622% 比值(甲) 0.2108｜349s
  FAKE079 抽 3,139／訊號 3,138｜年化中位 +4.4863% 回落中位 -44.7767% 比值(甲) 0.1002｜352s
  FAKE080 抽 3,139／訊號 3,139｜年化中位 +5.6989% 回落中位 -44.5636% 比值(甲) 0.1279｜355s
  FAKE081 抽 3,139／訊號 3,139｜年化中位 +3.0851% 回落中位 -45.7372% 比值(甲) 0.0675｜357s
  FAKE082 抽 3,139／訊號 3,139｜年化中位 +6.8009% 回落中位 -38.0261% 比值(甲) 0.1788｜360s
  FAKE083 抽 3,139／訊號 3,137｜年化中位 +8.8115% 回落中位 -39.4986% 比值(甲) 0.2231｜362s
  FAKE084 抽 3,139／訊號 3,139｜年化中位 +7.5751% 回落中位 -36.9567% 比值(甲) 0.2050｜365s
  FAKE085 抽 3,139／訊號 3,139｜年化中位 +2.5365% 回落中位 -41.6778% 比值(甲) 0.0609｜368s
  FAKE086 抽 3,139／訊號 3,139｜年化中位 +3.9588% 回落中位 -41.7771% 比值(甲) 0.0948｜370s
  FAKE087 抽 3,139／訊號 3,139｜年化中位 +4.0278% 回落中位 -43.2881% 比值(甲) 0.0930｜373s
  FAKE088 抽 3,139／訊號 3,139｜年化中位 +2.3772% 回落中位 -40.3810% 比值(甲) 0.0589｜376s
  FAKE089 抽 3,139／訊號 3,139｜年化中位 +4.1841% 回落中位 -42.0387% 比值(甲) 0.0995｜378s
  FAKE090 抽 3,139／訊號 3,139｜年化中位 +2.5571% 回落中位 -42.3066% 比值(甲) 0.0604｜381s
  FAKE091 抽 3,139／訊號 3,138｜年化中位 +2.9362% 回落中位 -39.9036% 比值(甲) 0.0736｜383s
  FAKE092 抽 3,139／訊號 3,139｜年化中位 +5.5342% 回落中位 -40.9581% 比值(甲) 0.1351｜386s
  FAKE093 抽 3,139／訊號 3,139｜年化中位 +4.4380% 回落中位 -42.1804% 比值(甲) 0.1052｜389s
  FAKE094 抽 3,139／訊號 3,138｜年化中位 +6.1059% 回落中位 -42.1941% 比值(甲) 0.1447｜392s
  FAKE095 抽 3,139／訊號 3,139｜年化中位 +8.4383% 回落中位 -41.5519% 比值(甲) 0.2031｜394s
  FAKE096 抽 3,139／訊號 3,139｜年化中位 +2.4102% 回落中位 -44.1989% 比值(甲) 0.0545｜397s
  FAKE097 抽 3,139／訊號 3,139｜年化中位 +5.9067% 回落中位 -39.2260% 比值(甲) 0.1506｜399s
  FAKE098 抽 3,139／訊號 3,138｜年化中位 +2.4797% 回落中位 -41.6482% 比值(甲) 0.0595｜402s
  FAKE099 抽 3,139／訊號 3,138｜年化中位 +6.4229% 回落中位 -42.1168% 比值(甲) 0.1525｜406s
  FAKE100 抽 3,139／訊號 3,139｜年化中位 +11.1446% 回落中位 -39.6699% 比值(甲) 0.2809｜408s
  FAKE101 抽 3,139／訊號 3,139｜年化中位 +2.0146% 回落中位 -42.6822% 比值(甲) 0.0472｜411s
  FAKE102 抽 3,139／訊號 3,139｜年化中位 +6.3355% 回落中位 -40.7812% 比值(甲) 0.1554｜414s
  FAKE103 抽 3,139／訊號 3,139｜年化中位 +8.2376% 回落中位 -39.2795% 比值(甲) 0.2097｜417s
  FAKE104 抽 3,139／訊號 3,139｜年化中位 +8.0603% 回落中位 -41.5226% 比值(甲) 0.1941｜419s
  FAKE105 抽 3,139／訊號 3,139｜年化中位 +2.9009% 回落中位 -42.4649% 比值(甲) 0.0683｜422s
  FAKE106 抽 3,139／訊號 3,139｜年化中位 +7.2033% 回落中位 -38.8489% 比值(甲) 0.1854｜425s
  FAKE107 抽 3,139／訊號 3,138｜年化中位 +1.6172% 回落中位 -44.4651% 比值(甲) 0.0364｜428s
  FAKE108 抽 3,139／訊號 3,139｜年化中位 +1.3238% 回落中位 -42.7526% 比值(甲) 0.0310｜430s
  FAKE109 抽 3,139／訊號 3,139｜年化中位 +5.6624% 回落中位 -40.3343% 比值(甲) 0.1404｜433s
  FAKE110 抽 3,139／訊號 3,139｜年化中位 +4.9027% 回落中位 -39.7824% 比值(甲) 0.1232｜436s
  FAKE111 抽 3,139／訊號 3,139｜年化中位 +3.8339% 回落中位 -42.0537% 比值(甲) 0.0912｜440s
  FAKE112 抽 3,139／訊號 3,139｜年化中位 +3.2849% 回落中位 -46.0289% 比值(甲) 0.0714｜443s
  FAKE113 抽 3,139／訊號 3,139｜年化中位 +6.8855% 回落中位 -40.7750% 比值(甲) 0.1689｜446s
  FAKE114 抽 3,139／訊號 3,138｜年化中位 +6.3456% 回落中位 -43.1988% 比值(甲) 0.1469｜448s
  FAKE115 抽 3,139／訊號 3,138｜年化中位 +1.9831% 回落中位 -42.4802% 比值(甲) 0.0467｜451s
  FAKE116 抽 3,139／訊號 3,139｜年化中位 +3.0959% 回落中位 -43.8420% 比值(甲) 0.0706｜454s
  FAKE117 抽 3,139／訊號 3,139｜年化中位 +0.9596% 回落中位 -42.8778% 比值(甲) 0.0224｜456s
  FAKE118 抽 3,139／訊號 3,139｜年化中位 +4.4602% 回落中位 -42.0560% 比值(甲) 0.1061｜459s
  FAKE119 抽 3,139／訊號 3,139｜年化中位 +4.9644% 回落中位 -44.2120% 比值(甲) 0.1123｜462s
  FAKE120 抽 3,139／訊號 3,138｜年化中位 +5.9090% 回落中位 -39.4467% 比值(甲) 0.1498｜465s
