fake_i,seed_f,cell,seed,cagr,mdd,tr,expo,vol,trades,eq_sha,n_selected,sig_rows
0,103000,FAKE000,102000,0.23633638042858318,-0.3885033155416405,2.4646352162452883,0.9184057779718979,0.2746502299549353,96,31230fdf10499977,3139,3139
0,103000,FAKE000,102001,0.11997257653779236,-0.4434008054867781,0.9418456453251938,0.9184668989547038,0.24311293892869945,96,796b3787688804d9,3139,3139
0,103000,FAKE000,102002,0.1520349334139015,-0.46433810235638634,1.2909366710817913,0.9184668989547038,0.23729325598219528,96,a936a724a7f181ae,3139,3139
0,103000,FAKE000,102003,-0.001589653794074608,-0.47369843885394514,-0.009274957474213252,0.9178951459458975,0.22740060634834472,96,a7c8cc35af8f7cf6,3139,3139
0,103000,FAKE000,102004,-0.003595940332660197,-0.37461950483877177,-0.020878850597731424,0.9184668989547038,0.20835824490420515,96,653ce164dc081145,3139,3139
0,103000,FAKE000,102005,0.052030068209246716,-0.3671999997824386,0.34592864687363045,0.9184668989547038,0.220791046851841,96,5d865e0a093c6c61,3139,3139
0,103000,FAKE000,102006,-0.013732789679920865,-0.47006611740326437,-0.07779922413593576,0.9184668989547038,0.231382682093581,96,af51bdaad7dae777,3139,3139
0,103000,FAKE000,102007,0.13104108884179455,-0.4377649697515282,1.0569821619698039,0.9184668989547038,0.23459903134006402,96,9b5de0369ef7c34a,3139,3139
0,103000,FAKE000,102008,0.11222219897335206,-0.37777987189184276,0.8644492208059489,0.9179437955041378,0.22192705414674793,96,2b4934ba394ba8a9,3139,3139
0,103000,FAKE000,102009,0.034372677479180824,-0.45116499408401234,0.21889282857466608,0.9183841831110412,0.24311817192565602,96,cd5ba0fa51883751,3139,3139
0,103000,FAKE000,102010,0.12080276555149583,-0.4389395681070724,0.950291662748405,0.9184668989547038,0.2465249570381496,96,70b9314302540a14,3139,3139
0,103000,FAKE000,102011,0.09038262995238222,-0.344497228975137,0.6599886898758758,0.9184668989547038,0.22195831282609435,96,6ca5ce53c0e72c9f,3139,3139
0,103000,FAKE000,102012,0.2680431863303314,-0.3141371204357518,3.018563484516603,0.9179428141352258,0.2409141914561139,96,3ce7c98c08856a86,3139,3139
0,103000,FAKE000,102013,-0.0006801202951060015,-0.4733297753263394,-0.003976987747833394,0.9174506312078153,0.22249180368621058,96,4b662c1b28b8e124,3139,3139
0,103000,FAKE000,102014,0.03381260693379451,-0.4194758675332831,0.21503230713633736,0.9184668989547038,0.22739656713503498,96,e04dba15bd22cbe1,3139,3139
0,103000,FAKE000,102015,0.03291515704413506,-0.42398096804397245,0.20886740071583443,0.9184668989547038,0.2318532513297096,96,4f4934b1111b37e6,3139,3139
0,103000,FAKE000,102016,0.01093188107225096,-0.39787832699246467,0.0657535814128618,0.9172486157506714,0.23070185979129815,96,fcf972ca4e07ab2e,3139,3139
0,103000,FAKE000,102017,0.11945022892010981,-0.3952128166934993,0.9365470487289931,0.9184668989547038,0.2265019611848459,96,5d2913d3e848f4a0,3139,3139
0,103000,FAKE000,102018,0.06675640655556014,-0.4082616137171184,0.4600987720251728,0.9184668989547038,0.24601479162330894,96,114ddda7254370bb,3139,3139
0,103000,FAKE000,102019,0.11898490000703776,-0.4403688872836704,0.9318369424030368,0.9184668989547038,0.2437281258046446,96,a204b2c92f08d58f,3139,3139
0,103000,FAKE000,102020,0.08438282120862306,-0.4359177975671276,0.6071991105069501,0.9184668989547038,0.22708367565933293,96,1eeb6c2c8685251e,3139,3139
0,103000,FAKE000,102021,0.13132105376601988,-0.4669809341078641,1.0599661883632967,0.9184668989547038,0.24053789268760414,96,e660fc16fca34710,3139,3139
0,103000,FAKE000,102022,0.19073166025667887,-0.4913176401772907,1.7800515553201848,0.9184668989547038,0.24053449307177932,96,fa5b9c75dc7cde4a,3139,3139
0,103000,FAKE000,102023,-0.041527884934109194,-0.4670950558807607,-0.2199752247338752,0.91790550824788,0.2349236438799613,96,c0819b2bc81896ab,3139,3139
0,103000,FAKE000,102024,0.0305262969564446,-0.36625278764757735,0.19258375385640347,0.9184668989547038,0.22275539716826295,96,a7c711927c402b6c,3139,3139
0,103000,FAKE000,102025,-0.015446649362698794,-0.46269821137913514,-0.08714594759050331,0.9181724036248107,0.22587437765138527,96,7f6a4b78a4490b7c,3139,3139
0,103000,FAKE000,102026,-0.01938059845578033,-0.4845810086922235,-0.10830340971366725,0.9184668989547038,0.22301846643758336,96,a2be6ce95657caf2,3139,3139
0,103000,FAKE000,102027,0.03265034983077131,-0.43548517931959185,0.2070533089476898,0.9184668989547038,0.21786775763017116,96,2909e1e0e92199bb,3139,3139
0,103000,FAKE000,102028,0.1161545421062955,-0.395785232955124,0.9033919314603329,0.9178829737256474,0.2413858713128163,96,bcc46b6f5447b1ea,3139,3139
0,103000,FAKE000,102029,-0.0006254307610075172,-0.4565594946044294,-0.0036576776835499647,0.9183458600434801,0.2372728693108401,96,beb7c595c75e7594,3139,3139
0,103000,FAKE000,102030,0.031188874211356632,-0.4657037835804339,0.19708186633168445,0.9184668989547038,0.23584858538200665,96,6e6d3e45e92e4c4d,3139,3139
0,103000,FAKE000,102031,0.004578815257615831,-0.4466335248092627,0.027118760732738112,0.9174653066401812,0.2156768877606341,96,04f06a551acd9fcb,3139,3139
0,103000,FAKE000,102032,-0.008733357541447662,-0.43893950862916403,-0.05007970551537211,0.9184668989547038,0.2160252829876979,96,7958ddd72a7c56ab,3139,3139
0,103000,FAKE000,102033,0.12416135147302887,-0.47493883689776656,0.984772187645512,0.9184668989547038,0.24637374017288147,96,7f910766ec796d87,3139,3139
0,103000,FAKE000,102034,0.1551650245576739,-0.40954878507605913,1.3276358594383608,0.9184668989547038,0.2424655660738913,96,2368dcdb3ef992db,3139,3139
0,103000,FAKE000,102035,0.17372486693957967,-0.3875333959924234,1.5554052992440761,0.9184668989547038,0.24161891714137904,96,9d21790d105b2b37,3139,3139
0,103000,FAKE000,102036,0.11643954279449087,-0.3767409406787631,0.9062403574259446,0.9184668989547038,0.226371389634337,96,5097dfdc23a358e5,3139,3139
0,103000,FAKE000,102037,0.002312824841366634,-0.4873801981088824,0.013622861188393287,0.9183182670009908,0.22057929865895004,96,7fea20de1ca6f4f0,3139,3139
0,103000,FAKE000,102038,0.06977954747242676,-0.36105274079300514,0.4845021979473858,0.9184668989547038,0.23532837682926344,96,4c9d83eba28d5cd9,3139,3139
0,103000,FAKE000,102039,0.12415481692985764,-0.44529959678309455,0.9847046140647957,0.9180015031159823,0.24211811160501998,96,910bcb44fb1292b8,3139,3139
0,103000,FAKE000,102040,0.09417006413401885,-0.3776431944474325,0.6940468793835031,0.9184668989547038,0.2313286674362403,96,989dc375def17768,3139,3139
0,103000,FAKE000,102041,0.14363652536527538,-0.3467358737993642,1.1948318035355836,0.9184668989547038,0.2351868531228712,96,31051c8017ed8d7c,3139,3139
0,103000,FAKE000,102042,0.09526449745177956,-0.32689513077952903,0.7039956808041021,0.9183841296888502,0.2289027557552718,96,30cda04f3e79d555,3139,3139
0,103000,FAKE000,102043,0.005064607736726678,-0.3828449683934694,0.03003137722926552,0.9182746670372787,0.2087250177533244,96,a789a0471fc6b7b0,3139,3139
