型態,保留,原始_窗內,合併掉,剔除_型態視窗_價格或停牌,剔除_型態視窗_處置,剔除_型態視窗_注意,剔除_未來窗斷點,剔除_硬斷點(乙),剔除_T+1停牌,剔除_T+1開盤漲停,保留中_終點前下市
W 底,4897,6723,364,88,270,806,129,0,27,142,12
頭肩底,3023,3851,43,63,114,500,56,0,16,36,5
箱型,10653,13921,867,0,53,2210,87,0,1,50,15
