型態,year,事件數,E_A,Δ_B,Δ_C,Δ_D,Δ_E,Δ_F
W 底,2017,302,0.058255257720744,-0.01787952205212311,-0.010887861390011844,-0.006715864757026242,-0.05206154117974859,-0.05348014313715497
W 底,2018,401,-0.006226942826024037,-0.009811938024483198,0.0002343159775043687,0.002245266837773769,0.010502494644445503,0.007651253852665052
W 底,2019,255,0.0005814332268332668,-0.010996998779251482,-0.008465454976047424,0.0019049170203149985,0.004333741094489058,-0.0014243037574108459
W 底,2020,528,0.11086322236011079,-0.03577804322998138,-0.05369330156641859,-0.026242556520234096,-0.10128051846912545,-0.11012457628030142
W 底,2021,672,0.0016686021935026986,0.001638359804887936,-0.0032919558014444412,-0.005414883324921241,0.0013662365676086917,0.0015546660591736741
W 底,2022,516,-0.014251055929553313,0.007754938928346472,0.0016703609964809915,0.005522231919498514,0.015475097916239296,0.015901572834540485
W 底,2023,471,0.059111196430247225,-0.02060399493699467,-0.030168252851197553,-0.010317832098892348,-0.04782175327262248,-0.0527968425888874
W 底,2024,628,0.02238717212444794,-0.0032585876905163545,0.0004817669648484452,-0.0010629804661573753,-0.013487281532082585,-0.017860653336344436
W 底,2025,668,0.027202882596268865,-0.00940704434172734,-0.014548211576662348,-0.004272555051107698,-0.025017812204368828,-0.02544883910363887
W 底,2026,456,0.19023472303673827,-0.05286650437817375,-0.08412323768032287,-0.03755421640058799,-0.17928841774490123,-0.17965784864024278
頭肩底,2017,183,0.05309020180997958,-0.01377652566481205,-0.003392867030650345,-0.01936559228744216,-0.040583914407582945,-0.04805799541601443
頭肩底,2018,364,0.015708723687505192,-0.023019014274692457,-0.005685705774793331,-0.02806970943961306,-0.013252894207158266,-0.01830670962424274
頭肩底,2019,123,0.03868009993710579,-0.01751680960255098,-0.018853061698305484,-0.013551992378941469,-0.026474312594220895,-0.04107081926307858
頭肩底,2020,362,0.13131619941504058,-0.03853602837547417,-0.03462419360036805,-0.05731746865110457,-0.11208432485940137,-0.12496203410396016
頭肩底,2021,439,0.036153934074244574,-0.02270062762018112,-0.023540321899311486,-0.014307553658208495,-0.02900616062173948,-0.03414175318591743
頭肩底,2022,386,-0.023476863705219744,0.0033685083307968826,0.008302130363428712,0.01700107427142338,0.024258305035872472,0.02373083432696644
頭肩底,2023,233,0.07297559513929677,-0.012924746018767188,-0.02710415720549116,-0.017936855644628998,-0.06379638308667614,-0.0727914480915277
頭肩底,2024,419,-0.00965755783629561,0.005126682719034597,0.00538275860629348,-0.01003723345634374,0.006872477287379542,0.007635298324168957
頭肩底,2025,330,0.024182819113740102,-0.021106952214873645,-0.020645193712908554,-0.007965033669052613,-0.023054443449254048,-0.025713041414574707
頭肩底,2026,184,0.20572863886776163,-0.056332547373920606,-0.07383950232900817,-0.054698587719645884,-0.19669439449343437,-0.1956743974027268
箱型,2017,989,0.031037908880057388,-0.005634597327764944,,-0.02403830682494416,-0.02894881299861311,-0.031055691924252646
箱型,2018,1005,-0.01235595493651747,0.00010419634613365359,,0.008065798580024673,0.012293833432942882,0.012403993864629667
箱型,2019,1215,-0.012870993741846602,0.0017255445959611505,,0.012088325913095032,0.010196215332496409,0.012592468556682324
箱型,2020,1239,0.09508267696445952,-0.013545303965593126,,-0.07505990368167405,-0.08224336970341656,-0.09363363433161359
箱型,2021,1322,0.021812852053978257,-0.0028537881866579286,,-0.017264280751978462,-0.020839071226602265,-0.02027747005782191
箱型,2022,892,-0.010947472766967791,-0.0015705995521868696,,0.0017134376872745144,0.015273704829076556,0.010156001423447091
箱型,2023,1262,0.0673068993307486,-0.00596032972350275,,-0.04970650104709601,-0.05988592673605871,-0.06677660759957929
箱型,2024,1179,0.01802538312647575,-0.0024600850623372563,,-0.00820970319119203,-0.01762255078820414,-0.01721365845487642
箱型,2025,993,0.00835900976775859,0.0022147962587891405,,-4.044848011565795e-05,-0.007337222160421252,-0.008536640295991839
箱型,2026,557,0.09922843566567938,-0.016269433400263072,,-0.06090267085849113,-0.08475604349513302,-0.09594599387381565
