型態,買法,讀法,事件數,同日比例_全部,Δ(描述)
箱型,B,Q7 另一讀法（T＝突破訊號日；⛔ 不判）,10653,1.0,0.0
箱型,D,Q7 另一讀法（T＝突破訊號日；⛔ 不判）,10653,0.9970900215901624,7.653948876570476e-05
