型態,market,事件數,E_A,Δ_B,Δ_C,Δ_D,Δ_E,Δ_F
W 底,tpex,2433,0.045049844643780305,-0.01615271093368586,-0.02053615184575067,-0.006399626741961442,-0.03849506323649622,-0.04083628166537951
W 底,twse,2464,0.04251651433658152,-0.011675762437426514,-0.019104649925676717,-0.010236701835229204,-0.03684327116136506,-0.0397706210861026
頭肩底,tpex,1409,0.040850761156384856,-0.014721593233468168,-0.016150695347945283,-0.018021740321610018,-0.034815542203439326,-0.03953194173306175
頭肩底,twse,1614,0.04694521736447942,-0.020521134076893616,-0.016341945858585966,-0.01956688664657689,-0.04100458480883883,-0.045925932138960644
箱型,tpex,5027,0.02701292192299701,-0.005207824675722198,,-0.01795229171702622,-0.02367391553157953,-0.026073556755014035
箱型,twse,5626,0.030837076388340517,-0.0029209208346168305,,-0.02335589801324022,-0.02693753034449671,-0.03059402167961377
