型態,買法,買法名,事件數,買到數,買到比例,平均等待天數(進場日−T),買到那批_平均報酬,買到那批_若照A,沒買到數,沒買到那批_若照A
W 底,A,A 直接買,4897,4897,1.0,1.0,0.04377516098502233,0.04377516098502233,0,
W 底,B,B 幅度 3%,4897,3289,0.6716356953236675,1.804499847978109,0.044481100333286026,0.06479405782280016,1608,0.0007831512216819739
W 底,C,C 站穩 3 天,4897,2882,0.5885235858688993,3.0,0.0407108426391657,0.06685241935051855,2015,0.010768382518838647
W 底,D,D 放量 1.5 倍,4897,3756,0.7670002042066572,1.0,0.04621231047882252,0.04621231047882252,1141,0.03575243223943642
W 底,E,E 等回測＋量縮＋止跌 K,4897,591,0.1206861343679804,8.147208121827411,0.05063731700110916,0.04420763125273784,4306,0.043715804290126864
W 底,F,F 三道全加,4897,318,0.0649377169695732,9.09119496855346,0.05351408709317346,0.03993074414324946,4579,0.04404214603758485
頭肩底,A,A 直接買,3023,3023,1.0,1.0,0.04410463225127889,0.04410463225127889,0,
頭肩底,B,B 幅度 3%,3023,1815,0.600396956665564,1.9140495867768594,0.04378207604934056,0.0659307052783041,1208,0.011311318886998458
頭肩底,C,C 站穩 3 天,3023,1858,0.6146212371816077,3.0,0.04531543214994802,0.06627307761164017,1165,0.008749291925483814
頭肩底,D,D 放量 1.5 倍,3023,1911,0.6321534899106848,1.0,0.03995537212710227,0.03995537212710227,1112,0.051235240252449306
頭肩底,E,E 等回測＋量縮＋止跌 K,3023,466,0.15415150512735692,8.118025751072961,0.038823614698506835,0.03567034187951455,2557,0.04564173796627387
頭肩底,F,F 三道全加,3023,173,0.057227919285478004,9.31791907514451,0.020250537118205656,0.006076144335826677,2850,0.046413028184392295
箱型,A,A 直接買,10653,10653,1.0,1.0,0.02903251199358957,0.02903251199358957,0,
箱型,B,B 幅度 3%,10653,9103,0.8545010795081198,1.2707898495001648,0.02929479457401955,0.033759813340122846,1550,0.001269528666175127
箱型,D,D 放量 1.5 倍,10653,2446,0.2296066835633155,1.0,0.03582865804731375,0.03582865804731375,8207,0.027007000448882698
箱型,E,E 等回測＋量縮＋止跌 K,10653,1719,0.16136299633905943,8.44502617801047,0.022527068744805655,0.0036881104361392476,8934,0.03390905399910302
箱型,F,F 三道全加,10653,218,0.020463719140148315,10.577981651376147,0.027934011425445535,-0.02939635368088587,10435,0.030253162948743924
