型態,事件數,A_淨,A_毛,0050同段,A毛−0050,CI95_lo(描述),CI95_hi(描述),區段數
W 底,4897,0.04377516098502233,0.04962516098502233,0.0753727158047063,-0.02574755481968397,-0.04790060154477202,-0.003594508094595914,38
頭肩底,3023,0.04410463225127889,0.04995463225127889,0.05987825003631556,-0.009923617785036672,-0.03380201185914212,0.013954776289068776,38
箱型,10653,0.02903251199358957,0.03488251199358957,0.06346361405473085,-0.028581102061141277,-0.05020802615509745,-0.006954177967185098,38
