型態,typ,買法,買法名,事件數,相異檔數,買到數,買到比例,與A同日數,同日比例_全部,同日比例_買到中,平均等待天數(進場日−T),沒買到原因,區段數,區段數_T+1,區段上限,n_eff,退化,區段不足,狀態
W 底,w,A,A 直接買,4897,1519,4897,1.0,4897,1.0,1.0,1.0,{},38,38,38,38,False,False,基準（不判）
W 底,w,B,B 幅度 3%,4897,1519,3289,0.6716356953236675,1792,0.36593832958954464,0.5448464578899361,1.804499847978109,"{""5 日內沒有收盤 ≥ 1.03N"": 1575, ""進場日停牌"": 5, ""進場日開盤漲停"": 28}",38,38,38,38,False,False,可判定
W 底,w,C,C 站穩 3 天,4897,1519,2882,0.5885235858688993,0,0.0,0.0,3.0,"{""3 天沒有全部收盤 ＞ N"": 1975, ""進場日停牌"": 7, ""進場日開盤漲停"": 33}",38,38,38,38,False,False,可判定
W 底,w,D,D 放量 1.5 倍,4897,1519,3756,0.7670002042066572,3756,0.7670002042066572,1.0,1.0,"{""量不到 1.5 倍（或均量不可算）"": 1141}",38,38,38,38,False,False,可判定
W 底,w,E,E 等回測＋量縮＋止跌 K,4897,1519,591,0.1206861343679804,0,0.0,0.0,8.147208121827411,"{""窗內沒出現"": 1795, ""跌破頸線"": 2507, ""進場日停牌"": 2, ""進場日開盤漲停"": 2}",38,38,38,38,False,False,可判定
W 底,w,F,F 三道全加,4897,1519,318,0.0649377169695732,0,0.0,0.0,9.09119496855346,"{""B 或 D 不成立"": 2210, ""窗內沒出現"": 1302, ""跌破頸線"": 1064, ""進場日停牌"": 1, ""進場日開盤漲停"": 2}",38,38,38,38,False,False,可判定
頭肩底,hs,A,A 直接買,3023,1353,3023,1.0,3023,1.0,1.0,1.0,{},38,38,38,38,False,False,基準（不判）
頭肩底,hs,B,B 幅度 3%,3023,1353,1815,0.600396956665564,953,0.31524975190208404,0.525068870523416,1.9140495867768594,"{""5 日內沒有收盤 ≥ 1.03N"": 1197, ""進場日停牌"": 2, ""進場日開盤漲停"": 9}",38,38,38,38,False,False,可判定
頭肩底,hs,C,C 站穩 3 天,3023,1353,1858,0.6146212371816077,0,0.0,0.0,3.0,"{""3 天沒有全部收盤 ＞ N"": 1139, ""進場日停牌"": 3, ""進場日開盤漲停"": 23}",38,38,38,38,False,False,可判定
頭肩底,hs,D,D 放量 1.5 倍,3023,1353,1911,0.6321534899106848,1911,0.6321534899106848,1.0,1.0,"{""量不到 1.5 倍（或均量不可算）"": 1112}",38,38,38,38,False,False,可判定
頭肩底,hs,E,E 等回測＋量縮＋止跌 K,3023,1353,466,0.15415150512735692,0,0.0,0.0,8.118025751072961,"{""窗內沒出現"": 1197, ""跌破頸線"": 1357, ""進場日停牌"": 1, ""進場日開盤漲停"": 2}",38,38,38,38,False,False,可判定
頭肩底,hs,F,F 三道全加,3023,1353,173,0.057227919285478004,0,0.0,0.0,9.31791907514451,"{""B 或 D 不成立"": 1725, ""窗內沒出現"": 696, ""跌破頸線"": 427, ""進場日開盤漲停"": 2}",38,38,38,38,False,False,可判定
箱型,box,A,A 直接買,10653,1845,10653,1.0,10653,1.0,1.0,1.0,{},38,38,38,38,False,False,基準（不判）
箱型,box,B,B 幅度 3%,10653,1845,9103,0.8545010795081198,7798,0.7320003754810851,0.8566406679116775,1.2707898495001648,"{""5 日內沒有收盤 ≥ 1.03N"": 1542, ""進場日開盤漲停"": 8}",38,38,38,38,False,False,可判定
箱型,box,D,D 放量 1.5 倍,10653,1845,2446,0.2296066835633155,2446,0.2296066835633155,1.0,1.0,"{""量不到 1.5 倍（或均量不可算）"": 8207}",38,38,38,38,False,False,可判定
箱型,box,E,E 等回測＋量縮＋止跌 K,10653,1845,1719,0.16136299633905943,0,0.0,0.0,8.44502617801047,"{""窗內沒出現"": 6078, ""跌破頸線"": 2849, ""進場日停牌"": 5, ""進場日開盤漲停"": 2}",38,38,38,38,False,False,可判定
箱型,box,F,F 三道全加,10653,1845,218,0.020463719140148315,0,0.0,0.0,10.577981651376147,"{""B 或 D 不成立"": 8268, ""窗內沒出現"": 1739, ""跌破頸線"": 426, ""進場日停牌"": 2}",38,38,38,38,False,False,可判定
