stock_id,name,period,market,報表日期,出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1101,台泥,2026-07,twse,1150817,1150817,11507,1101,台泥,水泥工業,13744103,13382706,13535929,2.70047776585692,1.5379365538929763,85211435,83916845,1.5427057583015662,-
1102,亞泥,2026-07,twse,1150817,1150817,11507,1102,亞泥,水泥工業,5398231,5885972,5836590,-8.286498814469386,-7.510532691177554,38104679,41097034,-7.281194550438847,-
1103,嘉泥,2026-07,twse,1150817,1150817,11507,1103,嘉泥,水泥工業,242322,229237,251867,5.70806632437172,-3.789698531367746,1598035,1772889,-9.862659196373828,-
1104,環泥,2026-07,twse,1150817,1150817,11507,1104,環泥,水泥工業,663235,508460,575078,30.439955945403767,15.329572684053293,4222517,4472556,-5.590516921420324,-
1108,幸福,2026-07,twse,1150817,1150817,11507,1108,幸福,水泥工業,309786,265297,357412,16.7695073822923,-13.325238100567413,2213755,2730708,-18.931097722641894,-
1109,信大,2026-07,twse,1150817,1150817,11507,1109,信大,水泥工業,292047,314135,367999,-7.03137186241584,-20.639186519528586,2149893,2590075,-16.994951883632712,-
1110,東泥,2026-07,twse,1150817,1150817,11507,1110,東泥,水泥工業,261007,213484,190570,22.26068464147196,36.961221598362805,1528333,1679561,-9.004019502715293,-
1201,味全,2026-07,twse,1150817,1150817,11507,1201,味全,食品工業,1991488,1825679,1850418,9.082045638910236,7.623682865168843,12437106,12582396,-1.1547085308712268,-
1203,味王,2026-07,twse,1150817,1150817,11507,1203,味王,食品工業,431017,427563,439000,0.8078341671285869,-1.8184510250569477,3041807,3383445,-10.097341614833402,-
1210,大成,2026-07,twse,1150817,1150817,11507,1210,大成,食品工業,9639463,8952188,7933720,7.67717344631279,21.499914289891752,63320793,58408239,8.410720960102905,-
1213,大飲,2026-07,twse,1150817,1150817,11507,1213,大飲,食品工業,32555,25270,23287,28.82865057380293,39.79902950143857,183142,158479,15.562314249837518,-
1215,卜蜂,2026-07,twse,1150817,1150817,11507,1215,卜蜂,食品工業,2562688,2419781,2371761,5.905782382785881,8.050010097982048,16964331,16129752,5.174158908332875,-
1216,統一,2026-07,twse,1150817,1150817,11507,1216,統一,食品工業,62168637,58301112,57114520,6.63370708949771,8.84909301522625,412146627,395952807,4.08983588794207,-
1217,愛之味,2026-07,twse,1150817,1150817,11507,1217,愛之味,食品工業,505906,414313,486959,22.10719914653897,3.890881983904189,2859455,2914699,-1.8953586631072368,-
1218,泰山,2026-07,twse,1150817,1150817,11507,1218,泰山,食品工業,563843,713728,893928,-21.000297031922525,-36.925233352126796,5596108,5829793,-4.008461363894052,-
1219,福壽,2026-07,twse,1150817,1150817,11507,1219,福壽,食品工業,882904,1104022,1105072,-20.028405231055178,-20.10439138807245,7959168,8244561,-3.461591223595774,-
1220,台榮,2026-07,twse,1150817,1150817,11507,1220,台榮,食品工業,279357,273600,275553,2.1041666666666665,1.380496673961089,1783472,1830187,-2.5524714141232563,-
1225,福懋油,2026-07,twse,1150817,1150817,11507,1225,福懋油,食品工業,903312,1006736,1006566,-10.273199726641344,-10.25804567211688,7332413,7238277,1.3005304991781883,-
1227,佳格,2026-07,twse,1150817,1150817,11507,1227,佳格,食品工業,2077948,1949498,1928591,6.588875700308489,7.744358446140213,16011645,14983683,6.860542898565059,-
1229,聯華,2026-07,twse,1150817,1150817,11507,1229,聯華,食品工業,2104623,1027017,978972,104.92581914418165,114.98296171902771,7138630,7510611,-4.952739530778521,本公司本月營收成長主因今年度7月認列聯強現金股利收入，而去年度於6月認列。
1231,聯華食,2026-07,twse,1150817,1150817,11507,1231,聯華食,食品工業,1184866,1030161,1144425,15.017555508313748,3.533739650916399,7510816,7249873,3.5992768425046893,-
1232,大統益,2026-07,twse,1150817,1150817,11507,1232,大統益,食品工業,2488656,1866048,1758494,33.365058133552836,41.52200689908524,13970653,12259872,13.954313715510244,-
1233,天仁,2026-07,twse,1150817,1150817,11507,1233,天仁,食品工業,166958,195470,160451,-14.586381541924592,4.0554437180198315,1298392,1239896,4.717815042551956,-
1234,黑松,2026-07,twse,1150817,1150817,11507,1234,黑松,食品工業,866862,728270,846219,19.03030469468741,2.439439435890709,5303478,5542937,-4.320074357691599,-
1235,興泰,2026-07,twse,1150817,1150817,11507,1235,興泰,食品工業,8605,11632,12929,-26.023039889958735,-33.44419522004795,102031,81099,25.81042922847384,"泰宇網通累計1-7月營收較去年同期增加22,793仟元"
1236,宏亞,2026-07,twse,1150817,1150817,11507,1236,宏亞,食品工業,167970,110212,136074,52.406271549377564,23.440186957096873,1053238,986056,6.813203306911575,-
1256,鮮活果汁-KY,2026-07,twse,1150817,1150817,11507,1256,鮮活果汁-KY,食品工業,619291,575547,507659,7.600421859552738,21.989563860780564,3267034,2302848,41.869285337113,-
1301,台塑,2026-07,twse,1150817,1150817,11507,1301,台塑,塑膠工業,15293925,13976274,14597054,9.427770234040919,4.7740523533036185,104533015,107186360,-2.4754502345261096,-
1303,南亞,2026-07,twse,1150817,1150817,11507,1303,南亞,塑膠工業,30572583,27134592,21152898,12.67014075612414,44.53141597903039,182815859,152420499,19.941779615876996,-
1304,台聚,2026-07,twse,1150817,1150817,11507,1304,台聚,塑膠工業,3340929,2879163,3514742,16.03820276934651,-4.945256294772134,25101536,27236359,-7.838136514502544,-
1305,華夏,2026-07,twse,1150817,1150817,11507,1305,華夏,塑膠工業,567866,564306,752645,0.6308633968095324,-24.55061815331265,5971245,5872691,1.6781744518824504,-
1307,三芳,2026-07,twse,1150817,1150817,11507,1307,三芳,塑膠工業,1066159,852934,960365,24.999003439891013,11.016019950747893,6729552,6366002,5.71080562023072,-
1308,亞聚,2026-07,twse,1150817,1150817,11507,1308,亞聚,塑膠工業,501654,516682,465643,-2.9085588427698275,7.733607076666029,3353897,3341065,0.38406915160285715,-
1309,台達化,2026-07,twse,1150817,1150817,11507,1309,台達化,塑膠工業,1032063,601607,1154534,71.55102916023252,-10.607829652483167,7206165,9236533,-21.981927634535598,-
1310,台苯,2026-07,twse,1150817,1150817,11507,1310,台苯,塑膠工業,668728,569505,782309,17.422674076610388,-14.518687628545754,4831128,5522392,-12.517474311856168,-
1312,國喬,2026-07,twse,1150817,1150817,11507,1312,國喬,塑膠工業,1422114,1277524,1497211,11.3179869810665,-5.015792697221701,14287870,12613760,13.272093332995079,-
1313,聯成,2026-07,twse,1150817,1150817,11507,1313,聯成,塑膠工業,5091842,5262701,5132015,-3.2466028375923313,-0.7827919442947848,36313833,34266655,5.974256897850111,-
1314,中石化,2026-07,twse,1150817,1150817,11507,1314,中石化,塑膠工業,1059916,1040669,1645709,1.8494833611840076,-35.59517508866999,9039607,13050763,-30.735030587866778,-
1315,達新,2026-07,twse,1150817,1150817,11507,1315,達新,塑膠工業,218590,204130,227995,7.083721158085534,-4.125090462510142,1185558,1385519,-14.432209157723568,-
1316,上曜,2026-07,twse,1150817,1150817,11507,1316,上曜,建材營造,695494,677646,344236,2.6338235597937567,102.03987961747174,4672189,2057347,127.0977623123372,主因子公司營收上升，致本年度營收較去年同期增加。
1319,東陽,2026-07,twse,1150817,1150817,11507,1319,東陽,汽車工業,2035775,1806325,1659710,12.702586743803025,22.658476480830988,13329502,14844436,-10.205399518041641,-
1321,大洋,2026-07,twse,1150817,1150817,11507,1321,大洋,塑膠工業,297426,306226,293248,-2.873694591576156,1.4247326494980357,2214488,2245692,-1.3895048831273389,-
1323,永裕,2026-07,twse,1150817,1150817,11507,1323,永裕,塑膠工業,189518,181453,146930,4.444677134023687,28.985231062410673,1270546,1192557,6.539645484450638,-
1324,地球,2026-07,twse,1150817,1150817,11507,1324,地球,塑膠工業,56386,55838,52909,0.9814105089723844,6.571660776049443,388812,429671,-9.509368796125408,-
1325,恆大,2026-07,twse,1150817,1150817,11507,1325,恆大,塑膠工業,19967,21606,19998,-7.585855780801629,-0.155015501550155,143345,186124,-22.98413960585416,-
1326,台化,2026-07,twse,1150817,1150817,11507,1326,台化,塑膠工業,31267016,27666322,23302893,13.014718761677104,34.176541942667804,200171109,175759849,13.888985532753843,-
1337,再生-KY,2026-07,twse,1150817,1150817,11507,1337,再生-KY,塑膠工業,50904,44343,51850,14.796021920032475,-1.824493731918997,335072,402164,-16.68274634228822,-
1338,廣華-KY,2026-07,twse,1150817,1150817,11507,1338,廣華-KY,汽車工業,370408,447304,444675,-17.190993150072433,-16.701411142969583,2887005,2947899,-2.0656745702617356,-
1339,昭輝,2026-07,twse,1150817,1150817,11507,1339,昭輝,汽車工業,141514,123393,138894,14.685598048511666,1.8863305830345443,947051,1046687,-9.519178130615934,-
1340,勝悅-KY,2026-07,twse,1150817,1150817,11507,1340,勝悅-KY,塑膠工業,7274,5224,3045,39.241960183767226,138.88341543513957,36000,26557,35.55748013706368,公司停業舊營業項目並新增項目，營收較去年成長；更正114年第3季及全年財報，致本、去年營收及累積營收產生差異。
1341,富林-KY,2026-07,twse,1150817,1150817,11507,1341,富林-KY,塑膠工業,265664,190490,216790,39.463488897054965,22.544397804326767,1601619,1490052,7.4874568135877135,-
1342,八貫,2026-07,twse,1150817,1150817,11507,1342,八貫,其他,337627,308127,190833,9.573974367712015,76.92275445022611,2249775,1677237,34.13578403052163,主要係航海航太的客戶強勁拉貨及戶外產品熱銷使得客戶增加出貨所致
1402,遠東新,2026-07,twse,1150817,1150817,11507,1402,遠東新,紡織纖維,23366547,22922082,19378881,1.9390254340770616,20.577380087116484,153880588,143269056,7.406715934528109,-
1409,新纖,2026-07,twse,1150817,1150817,11507,1409,新纖,紡織纖維,4641142,3554062,2970720,30.586973440530862,56.22953358108472,26696360,23144742,15.345247745686688,本月營收增加，係因聚酯部門業內收入及業外收入增加所致。
1410,南染,2026-07,twse,1150817,1150817,11507,1410,南染,紡織纖維,18088,12793,13835,41.38982255921207,30.74087459342248,124853,118172,5.653623531801103,-
