stock_id,period,report,alt,taxonomy,rd_q,rd_ytd,rev_q,rev_ytd
3050,2016Q1,cr,,fr1,0,0,218907000,218907000
3051,2016Q1,cr,,fr1,18582000,18582000,778034000,778034000
3052,2016Q1,cr,,fr1,806000,806000,436324000,436324000
3054,2016Q1,cr,,fr1,4606000,4606000,39912000,39912000
3055,2016Q1,cr,,fr1,12337000,12337000,883197000,883197000
3056,2016Q1,cr,,fr1,,,17490000,17490000
3057,2016Q1,cr,,fr1,114058000,114058000,629599000,629599000
3058,2016Q1,cr,,fr1,52966000,52966000,1271421000,1271421000
3059,2016Q1,cr,,fr1,250246000,250246000,2424840000,2424840000
3060,2016Q1,cr,,fr1,45814000,45814000,2164044000,2164044000
3062,2016Q1,cr,,fr1,94202000,94202000,3018293000,3018293000
3064,2016Q1,cr,,fr1,37548000,37548000,139946000,139946000
3066,2016Q1,cr,,fr1,3718000,3718000,114610000,114610000
3067,2016Q1,cr,,fr1,6467000,6467000,39921000,39921000
3068,2016Q1,cr,,fr1,25256000,25256000,673249000,673249000
3071,2016Q1,cr,,fr1,20624000,20624000,551204000,551204000
3073,2016Q1,cr,,fr1,,,5308000,5308000
3078,2016Q1,cr,,fr1,43676000,43676000,1322397000,1322397000
3081,2016Q1,ir,,fr1,27363000,27363000,625227000,625227000
3083,2016Q1,cr,,fr1,79416000,79416000,87392000,87392000
3085,2016Q1,cr,,fr1,,,62450000,62450000
3086,2016Q1,cr,,fr1,5202000,5202000,95650000,95650000
3088,2016Q1,cr,,fr1,115732000,115732000,1285046000,1285046000
3089,2016Q1,cr,,fr1,1207000,1207000,56405000,56405000
3090,2016Q1,cr,,fr1,,,1886591000,1886591000
3092,2016Q1,cr,,fr1,11138000,11138000,589040000,589040000
3093,2016Q1,cr,,fr1,1379000,1379000,224915000,224915000
3094,2016Q1,cr,,fr1,18560000,18560000,80758000,80758000
3095,2016Q1,cr,,fr1,,,410695000,410695000
3105,2016Q1,cr,,fr1,165216000,165216000,3292082000,3292082000
3114,2016Q1,cr,,fr1,,,344883000,344883000
3115,2016Q1,cr,,fr1,,,143914000,143914000
3118,2016Q1,ir,,fr1,3384000,3384000,119544000,119544000
3122,2016Q1,cr,,fr1,24513000,24513000,164719000,164719000
3128,2016Q1,cr,,fr1,10081000,10081000,188439000,188439000
3130,2016Q1,cr,,fr1,44129000,44129000,344190000,344190000
3131,2016Q1,cr,,fr1,52748000,52748000,495444000,495444000
3141,2016Q1,cr,,fr1,56519000,56519000,307245000,307245000
3144,2016Q1,cr,,fr1,12195000,12195000,481596000,481596000
3149,2016Q1,cr,,fr1,42851000,42851000,618383000,618383000
3152,2016Q1,ir,,fr1,22702000,22702000,430632000,430632000
3162,2016Q1,cr,,fr1,381000,381000,154702000,154702000
3163,2016Q1,cr,,fr1,39279000,39279000,682952000,682952000
3164,2016Q1,cr,,fr1,5940000,5940000,129556000,129556000
3167,2016Q1,cr,,fr1,16207000,16207000,440388000,440388000
3169,2016Q1,cr,,fr1,18032000,18032000,159480000,159480000
3171,2016Q1,cr,,fr1,,,412038000,412038000
3176,2016Q1,cr,,fr1,124115000,124115000,104597000,104597000
3188,2016Q1,cr,,fr1,0,0,33825000,33825000
3189,2016Q1,cr,,fr1,349940000,349940000,5370156000,5370156000
3191,2016Q1,cr,,fr1,819000,819000,118286000,118286000
3202,2016Q1,cr,,fr1,2422000,2422000,494874000,494874000
3205,2016Q1,cr,,fr1,7663000,7663000,560610000,560610000
3206,2016Q1,cr,,fr1,14778000,14778000,398938000,398938000
3207,2016Q1,cr,,fr1,1466000,1466000,244074000,244074000
3209,2016Q1,cr,,fr1,25401000,25401000,6662995000,6662995000
3211,2016Q1,cr,,fr1,56838000,56838000,5003692000,5003692000
3213,2016Q1,ir,,fr1,17088000,17088000,395029000,395029000
3217,2016Q1,cr,,fr1,32654000,32654000,308949000,308949000
3218,2016Q1,cr,,fr1,,,249504000,249504000
3219,2016Q1,cr,,fr1,3424000,3424000,37465000,37465000
3221,2016Q1,cr,,fr1,26443000,26443000,437531000,437531000
3224,2016Q1,cr,,fr1,,,508800000,508800000
3226,2016Q1,cr,,fr1,4776000,4776000,330933000,330933000
3227,2016Q1,cr,,fr1,216655000,216655000,1027696000,1027696000
3228,2016Q1,ir,,fr1,31351000,31351000,60470000,60470000
3229,2016Q1,cr,,fr1,,,141850000,141850000
3230,2016Q1,cr,,fr1,7683000,7683000,223819000,223819000
3231,2016Q1,cr,,fr1,3255878000,3255878000,134695622000,134695622000
3232,2016Q1,cr,,fr1,,,125005000,125005000
3234,2016Q1,cr,,fr1,75016000,75016000,1472010000,1472010000
3236,2016Q1,cr,,fr1,12247000,12247000,470028000,470028000
3252,2016Q1,cr,,fr1,,,30503000,30503000
3257,2016Q1,cr,,fr1,45365000,45365000,210820000,210820000
3259,2016Q1,cr,,fr1,47440000,47440000,163690000,163690000
3260,2016Q1,cr,,fr1,65405000,65405000,4881476000,4881476000
3264,2016Q1,cr,,fr1,46260000,46260000,1280557000,1280557000
3265,2016Q1,cr,,fr2,5191000,5191000,684042000,684042000
3266,2016Q1,cr,,fr1,1002000,1002000,391503000,391503000
3268,2016Q1,cr,,fr1,5831000,5831000,147818000,147818000
3272,2016Q1,cr,,fr1,30169000,30169000,675164000,675164000
3276,2016Q1,ir,,fr1,,,149294000,149294000
3284,2016Q1,cr,,fr1,1583000,1583000,193799000,193799000
3285,2016Q1,cr,,fr1,6402000,6402000,336304000,336304000
3287,2016Q1,cr,,fr1,10067000,10067000,85796000,85796000
3288,2016Q1,cr,,fr1,13362000,13362000,47465000,47465000
3289,2016Q1,cr,,fr1,19017000,19017000,556219000,556219000
3290,2016Q1,cr,,fr1,9652000,9652000,531697000,531697000
3291,2016Q1,ir,,fr1,33417000,33417000,166170000,166170000
3293,2016Q1,cr,,fr1,175231000,175231000,811739000,811739000
3294,2016Q1,cr,,fr1,37168000,37168000,1097462000,1097462000
3296,2016Q1,cr,,fr1,41156000,41156000,534825000,534825000
3297,2016Q1,cr,,fr1,18464000,18464000,136793000,136793000
3299,2016Q1,cr,,fr1,16626000,16626000,596885000,596885000
3303,2016Q1,cr,,fr1,19185000,19185000,575066000,575066000
3305,2016Q1,cr,,fr1,20997000,20997000,1033959000,1033959000
3306,2016Q1,cr,,fr1,43479000,43479000,324675000,324675000
3308,2016Q1,cr,,fr1,12462000,12462000,217387000,217387000
3310,2016Q1,cr,,fr1,1326000,1326000,248532000,248532000
3311,2016Q1,cr,,fr1,39152000,39152000,605467000,605467000
3312,2016Q1,cr,,fr1,5539000,5539000,2342203000,2342203000
3313,2016Q1,cr,,fr1,6734000,6734000,376950000,376950000
3315,2016Q1,cr,,fr1,9194000,9194000,2423613000,2423613000
3317,2016Q1,cr,,fr1,37850000,37850000,514198000,514198000
3321,2016Q1,cr,,fr1,26246000,26246000,595139000,595139000
3322,2016Q1,cr,,fr1,24212000,24212000,572729000,572729000
3323,2016Q1,cr,,fr1,33285000,33285000,972619000,972619000
3324,2016Q1,cr,,fr1,49144000,49144000,1410739000,1410739000
3325,2016Q1,cr,,fr1,6097000,6097000,331677000,331677000
3332,2016Q1,cr,,fr1,28535000,28535000,270100000,270100000
3338,2016Q1,cr,,fr1,35506000,35506000,606198000,606198000
3339,2016Q1,cr,,fr1,12035000,12035000,217361000,217361000
3346,2016Q1,cr,,fr1,31835000,31835000,677477000,677477000
3354,2016Q1,cr,,fr1,10381000,10381000,96340000,96340000
3356,2016Q1,cr,,fr1,65178000,65178000,495166000,495166000
3360,2016Q1,cr,,fr1,9614000,9614000,2409074000,2409074000
3362,2016Q1,cr,,fr1,27358000,27358000,261672000,261672000
3363,2016Q1,cr,,fr1,11977000,11977000,343247000,343247000
3372,2016Q1,ir,,fr1,13392000,13392000,448819000,448819000
3373,2016Q1,cr,,fr1,16268000,16268000,244448000,244448000
3374,2016Q1,ir,,fr1,81765000,81765000,1054161000,1054161000
3376,2016Q1,cr,,fr1,33662000,33662000,1675641000,1675641000
3379,2016Q1,cr,,fr1,,,149611000,149611000
3380,2016Q1,cr,,fr1,357354000,357354000,5189594000,5189594000
3383,2016Q1,cr,,fr1,32782000,32782000,351124000,351124000
3388,2016Q1,cr,,fr1,,,1625641000,1625641000
3390,2016Q1,cr,,fr1,5651000,5651000,139648000,139648000
3402,2016Q1,cr,,fr1,2049000,2049000,801320000,801320000
3406,2016Q1,cr,,fr1,227512000,227512000,1155340000,1155340000
3413,2016Q1,cr,,fr1,9997000,9997000,2342996000,2342996000
3416,2016Q1,cr,,fr1,33993000,33993000,340383000,340383000
3419,2016Q1,cr,,fr1,30126000,30126000,376823000,376823000
3426,2016Q1,cr,,fr1,5922000,5922000,112998000,112998000
3428,2016Q1,cr,,fr1,35900000,35900000,354438000,354438000
3431,2016Q1,cr,,fr1,16693000,16693000,72244000,72244000
3432,2016Q1,cr,,fr1,4046000,4046000,119830000,119830000
3434,2016Q1,cr,,fr1,9061000,9061000,162613000,162613000
3437,2016Q1,cr,,fr1,36423000,36423000,1293705000,1293705000
3438,2016Q1,cr,,fr1,27079000,27079000,279780000,279780000
3441,2016Q1,cr,,fr1,1219000,1219000,114667000,114667000
3443,2016Q1,cr,,fr1,306650000,306650000,2220117000,2220117000
3444,2016Q1,cr,,fr1,3542000,3542000,207447000,207447000
