stock_id,period,report,alt,taxonomy,rd_q,rd_ytd,rev_q,rev_ytd
1101,2018Q1,cr,,fr1,8382000,8382000,24179214000,24179214000
1102,2018Q1,cr,,fr1,,,16573882000,16573882000
1103,2018Q1,cr,,fr1,,,471257000,471257000
1104,2018Q1,cr,,fr1,16472000,16472000,1166097000,1166097000
1108,2018Q1,cr,,fr1,,,832706000,832706000
1109,2018Q1,cr,,fr1,,,1061381000,1061381000
1110,2018Q1,cr,,fr1,,,412490000,412490000
1201,2018Q1,cr,,fr1,60490000,60490000,3917347000,3917347000
1203,2018Q1,cr,,fr1,2035000,2035000,1447466000,1447466000
1210,2018Q1,cr,,fr1,30078000,30078000,17123119000,17123119000
1213,2018Q1,cr,,fr1,,,149094000,149094000
1215,2018Q1,cr,,fr1,,,4957240000,4957240000
1216,2018Q1,cr,,fr1,199951000,199951000,104288097000,104288097000
1217,2018Q1,cr,,fr1,11602000,11602000,1028433000,1028433000
1218,2018Q1,cr,,fr1,,,1844853000,1844853000
1219,2018Q1,cr,,fr1,9071000,9071000,2880708000,2880708000
1220,2018Q1,cr,,fr1,,,573904000,573904000
1225,2018Q1,cr,,fr1,7699000,7699000,2794671000,2794671000
1227,2018Q1,cr,,fr1,25474000,25474000,7414473000,7414473000
1229,2018Q1,cr,,fr1,9637000,9637000,1224453000,1224453000
1231,2018Q1,cr,,fr1,22647000,22647000,2016950000,2016950000
1232,2018Q1,cr,,fr1,1951000,1951000,4117718000,4117718000
1233,2018Q1,cr,,fr1,1235000,1235000,553440000,553440000
1234,2018Q1,cr,,fr1,12809000,12809000,2316158000,2316158000
1235,2018Q1,cr,,fr1,82000,82000,6033000,6033000
1236,2018Q1,cr,,fr1,,,571543000,571543000
1240,2018Q1,ir,,fr1,1617000,1617000,375299000,375299000
1256,2018Q1,cr,,fr1,18165000,18165000,699961000,699961000
1258,2018Q1,cr,,fr1,,,677719000,677719000
1259,2018Q1,cr,,fr1,,,1235482000,1235482000
1262,2018Q1,cr,,fr1,18221000,18221000,1276116000,1276116000
1264,2018Q1,cr,,fr1,10194000,10194000,959944000,959944000
1268,2018Q1,cr,,fr1,4085000,4085000,979454000,979454000
1301,2018Q1,cr,,fr1,209478000,209478000,54167368000,54167368000
1303,2018Q1,cr,,fr1,,,82219991000,82219991000
1304,2018Q1,cr,,fr1,90879000,90879000,14670146000,14670146000
1305,2018Q1,cr,,fr1,14067000,14067000,4144200000,4144200000
1307,2018Q1,cr,,fr1,103245000,103245000,2385362000,2385362000
1308,2018Q1,cr,,fr1,1447000,1447000,1326214000,1326214000
1309,2018Q1,cr,,fr1,4794000,4794000,4842167000,4842167000
1310,2018Q1,cr,,fr1,14270000,14270000,4004442000,4004442000
1312,2018Q1,cr,,fr1,11165000,11165000,6386708000,6386708000
1313,2018Q1,cr,,fr1,,,13569504000,13569504000
1314,2018Q1,cr,,fr1,54073000,54073000,9494452000,9494452000
1315,2018Q1,cr,,fr1,,,573452000,573452000
1316,2018Q1,cr,,fr1,4463000,4463000,766579000,766579000
1319,2018Q1,cr,,fr1,153001000,153001000,6245138000,6245138000
1321,2018Q1,cr,,fr1,1649000,1649000,1190142000,1190142000
1323,2018Q1,cr,,fr1,11340000,11340000,825302000,825302000
1324,2018Q1,cr,,fr1,6047000,6047000,261060000,261060000
1325,2018Q1,cr,,fr1,2406000,2406000,229124000,229124000
1326,2018Q1,cr,,fr1,,,98956552000,98956552000
1333,2018Q1,cr,,fr1,4035000,4035000,102652000,102652000
1336,2018Q1,cr,,fr1,,,602809000,602809000
1337,2018Q1,cr,,fr1,8474000,8474000,343807000,343807000
1338,2018Q1,cr,,fr1,65110000,65110000,1987165000,1987165000
1339,2018Q1,cr,,fr1,9189000,9189000,722810000,722810000
1340,2018Q1,cr,,fr1,44109000,44109000,490794000,490794000
1402,2018Q1,cr,,fr1,187396000,187396000,51457884000,51457884000
1410,2018Q1,cr,,fr1,1954000,1954000,122940000,122940000
1413,2018Q1,ir,,fr1,,,901228000,901228000
1414,2018Q1,ir,,fr1,1512000,1512000,261472000,261472000
1416,2018Q1,cr,,fr1,,,56620000,56620000
1417,2018Q1,cr,,fr1,,,458157000,458157000
1418,2018Q1,cr,,fr1,2338000,2338000,154720000,154720000
1419,2018Q1,cr,,fr1,,,345626000,345626000
1423,2018Q1,ir,,fr1,,,218911000,218911000
1432,2018Q1,cr,,fr1,,,201861000,201861000
1434,2018Q1,cr,,fr1,17719000,17719000,10730423000,10730423000
1435,2018Q1,cr,,fr1,,,9097000,9097000
1436,2018Q1,cr,,fr1,,,631448000,631448000
1437,2018Q1,cr,,fr1,,,176684000,176684000
1438,2018Q1,ir,,fr1,,,1000,1000
1439,2018Q1,ir,,fr1,,,65031000,65031000
1440,2018Q1,cr,,fr1,7270000,7270000,6000881000,6000881000
1441,2018Q1,cr,,fr1,3122000,3122000,426702000,426702000
1442,2018Q1,cr,,fr1,,,482232000,482232000
1443,2018Q1,cr,,fr1,,,278480000,278480000
1444,2018Q1,cr,,fr1,14708000,14708000,2956803000,2956803000
1445,2018Q1,cr,,fr1,2501000,2501000,374293000,374293000
1446,2018Q1,cr,,fr1,,,71062000,71062000
1447,2018Q1,cr,,fr1,25529000,25529000,4803791000,4803791000
1449,2018Q1,cr,,fr1,15616000,15616000,552697000,552697000
1451,2018Q1,cr,,fr1,5188000,5188000,1749914000,1749914000
1452,2018Q1,cr,,fr1,2385000,2385000,532312000,532312000
1453,2018Q1,cr,,fr1,,,2174000,2174000
1454,2018Q1,cr,,fr1,1724000,1724000,458086000,458086000
1455,2018Q1,cr,,fr1,18494000,18494000,4112022000,4112022000
1456,2018Q1,ir,,fr1,,,89991000,89991000
1457,2018Q1,cr,,fr1,,,1412619000,1412619000
1459,2018Q1,cr,,fr1,,,876409000,876409000
1460,2018Q1,cr,,fr1,65723000,65723000,2370487000,2370487000
1463,2018Q1,cr,,fr1,,,348121000,348121000
1464,2018Q1,cr,,fr1,53271000,53271000,2005111000,2005111000
1465,2018Q1,cr,,fr1,1566000,1566000,366837000,366837000
1466,2018Q1,cr,,fr1,6749000,6749000,956450000,956450000
1467,2018Q1,cr,,fr2,,,1404117000,1404117000
1468,2018Q1,cr,,fr1,1999000,1999000,170630000,170630000
1469,2018Q1,cr,,fr1,,,61775000,61775000
1470,2018Q1,cr,,fr1,,,171997000,171997000
1471,2018Q1,cr,,fr1,6293000,6293000,361895000,361895000
1472,2018Q1,cr,,fr1,1090000,1090000,183416000,183416000
1473,2018Q1,cr,,fr1,24139000,24139000,2215730000,2215730000
1474,2018Q1,cr,,fr1,13135000,13135000,868172000,868172000
1475,2018Q1,cr,,fr1,556000,556000,15485000,15485000
1476,2018Q1,cr,,fr1,35057000,35057000,6580169000,6580169000
1477,2018Q1,cr,,fr1,,,5131088000,5131088000
1503,2018Q1,cr,,fr1,117167000,117167000,5774578000,5774578000
1504,2018Q1,cr,,fr1,301989000,301989000,12155711000,12155711000
1506,2018Q1,cr,,fr1,12838000,12838000,320007000,320007000
1507,2018Q1,cr,,fr1,39104000,39104000,4150250000,4150250000
1512,2018Q1,cr,,fr1,0,0,713990000,713990000
1513,2018Q1,cr,,fr1,64868000,64868000,2559619000,2559619000
1514,2018Q1,cr,,fr1,24604000,24604000,1026078000,1026078000
1515,2018Q1,cr,,fr1,31391000,31391000,1014894000,1014894000
1516,2018Q1,ir,,fr1,0,0,199729000,199729000
1517,2018Q1,cr,,fr1,17082000,17082000,673714000,673714000
1519,2018Q1,cr,,fr1,21849000,21849000,1247881000,1247881000
1521,2018Q1,cr,,fr1,50583000,50583000,1538837000,1538837000
1522,2018Q1,cr,,fr1,94164000,94164000,4281901000,4281901000
1524,2018Q1,cr,,fr1,1307000,1307000,610033000,610033000
1525,2018Q1,cr,,fr1,3782000,3782000,278426000,278426000
1526,2018Q1,cr,,fr1,5328000,5328000,291274000,291274000
1527,2018Q1,ir,,fr1,28844000,28844000,910976000,910976000
1528,2018Q1,cr,,fr1,20079000,20079000,1265551000,1265551000
1529,2018Q1,cr,,fr1,137000,137000,42968000,42968000
1530,2018Q1,cr,,fr1,19345000,19345000,1080487000,1080487000
1531,2018Q1,cr,,fr1,12350000,12350000,582809000,582809000
1532,2018Q1,cr,,fr1,1777000,1777000,3508078000,3508078000
1533,2018Q1,cr,,fr1,33905000,33905000,713052000,713052000
1535,2018Q1,cr,,fr1,1973000,1973000,2529525000,2529525000
1536,2018Q1,cr,,fr1,28038000,28038000,1768117000,1768117000
1537,2018Q1,cr,,fr1,10243000,10243000,1983255000,1983255000
1538,2018Q1,cr,,fr1,7450000,7450000,119909000,119909000
1539,2018Q1,cr,,fr1,5209000,5209000,743286000,743286000
1540,2018Q1,cr,,fr1,2964000,2964000,97100000,97100000
1541,2018Q1,cr,,fr1,6891000,6891000,722712000,722712000
1558,2018Q1,cr,,fr1,28038000,28038000,1048095000,1048095000
