stock_id,period,report,alt,taxonomy,rd_q,rd_ytd,rev_q,rev_ytd
1101,2019Q2,cr,,fr1,9955000,20892000,31367158000,56723486000
1102,2019Q2,cr,,fr1,,,24419915000,43805590000
1103,2019Q2,cr,,fr1,,,438033000,890409000
1104,2019Q2,cr,,fr1,19625000,35872000,1194171000,2381467000
1108,2019Q2,cr,,fr1,,,901108000,1735453000
1109,2019Q2,cr,,fr1,,,2211736000,3572170000
1110,2019Q2,cr,,fr1,,,364558000,781597000
1111,2019Q2,ir,,fr1,,,,222667000
1115,2019Q2,ir,,fr1,,,,444477000
1201,2019Q2,cr,,fr1,54625000,118928000,5232591000,9773386000
1203,2019Q2,cr,,fr1,2331000,4536000,1566651000,3052938000
1210,2019Q2,cr,,fr1,25587000,57380000,18983549000,37169736000
1213,2019Q2,cr,,fr1,,,93600000,226003000
1215,2019Q2,cr,,fr1,,,5150471000,10185768000
1216,2019Q2,cr,,fr1,209519000,414270000,114480012000,222271655000
1217,2019Q2,cr,,fr1,9671000,18928000,1055976000,2052804000
1218,2019Q2,cr,,fr1,,,1885671000,3616876000
1219,2019Q2,cr,,fr1,8452000,17904000,3012203000,5978789000
1220,2019Q2,cr,,fr1,,,694541000,1307138000
1225,2019Q2,cr,,fr1,7612000,15568000,2633691000,5111461000
1227,2019Q2,cr,,fr1,36655000,72266000,6070454000,13407620000
1229,2019Q2,cr,,fr1,10241000,21162000,2024633000,3253332000
1231,2019Q2,cr,,fr1,20553000,43667000,2031156000,4149226000
1232,2019Q2,cr,,fr1,1761000,3540000,4071619000,8230892000
1233,2019Q2,cr,,fr1,1319000,2451000,537070000,1099704000
1234,2019Q2,cr,,fr1,11097000,24821000,2005930000,4151197000
1235,2019Q2,cr,,fr1,84000,168000,8675000,13371000
1236,2019Q2,cr,,fr1,,,320873000,820821000
1237,2019Q2,ir,,fr1,,86611000,,12637611000
1240,2019Q2,ir,,fr1,3018000,4834000,426857000,857797000
1242,2019Q2,cr,,fr1,,3178000,,1768957000
1246,2019Q2,ir,,fr1,,,,3323987000
1256,2019Q2,cr,,fr1,32286000,64497000,1043017000,1729872000
1258,2019Q2,cr,,fr1,,,698923000,1481514000
1259,2019Q2,cr,,fr1,,,1377328000,2679419000
