stock_id,period,report,alt,taxonomy,rd_q,rd_ytd,rev_q,rev_ytd
1101,2017Q1,cr,,fr1,8385000,8385000,21179771000,21179771000
1102,2017Q1,cr,,fr1,,,12512699000,12512699000
1103,2017Q1,cr,,fr1,,,598477000,598477000
1104,2017Q1,cr,,fr1,18988000,18988000,1100655000,1100655000
1108,2017Q1,cr,,fr1,,,894903000,894903000
1109,2017Q1,cr,,fr1,,,970001000,970001000
1110,2017Q1,cr,,fr1,,,352667000,352667000
1201,2017Q1,cr,,fr1,59579000,59579000,3597795000,3597795000
1203,2017Q1,cr,,fr1,1801000,1801000,1544107000,1544107000
1210,2017Q1,cr,,fr1,30085000,30085000,18781077000,18781077000
1213,2017Q1,cr,,fr1,,,163184000,163184000
1215,2017Q1,cr,,fr1,,,4782335000,4782335000
1216,2017Q1,cr,,fr1,219133000,219133000,96114609000,96114609000
1217,2017Q1,cr,,fr1,10692000,10692000,933729000,933729000
1218,2017Q1,cr,,fr1,,,1790165000,1790165000
1219,2017Q1,cr,,fr1,7797000,7797000,2835806000,2835806000
1220,2017Q1,cr,,fr1,,,496342000,496342000
1225,2017Q1,cr,,fr1,6653000,6653000,2631202000,2631202000
1227,2017Q1,cr,,fr1,15445000,15445000,6491920000,6491920000
1229,2017Q1,cr,,fr1,8176000,8176000,1152034000,1152034000
1231,2017Q1,cr,,fr1,15324000,15324000,1762896000,1762896000
1232,2017Q1,cr,,fr1,1937000,1937000,4388701000,4388701000
1233,2017Q1,cr,,fr1,1099000,1099000,546587000,546587000
1234,2017Q1,cr,,fr1,15687000,15687000,2209640000,2209640000
1235,2017Q1,cr,,fr1,184000,184000,10610000,10610000
1236,2017Q1,cr,,fr1,,,447766000,447766000
1256,2017Q1,cr,,fr1,9850000,9850000,621417000,621417000
1258,2017Q1,cr,,fr1,,,605397000,605397000
1259,2017Q1,cr,,fr1,,,1156999000,1156999000
1262,2017Q1,cr,,fr1,14433000,14433000,2152910000,2152910000
1264,2017Q1,cr,,fr1,9169000,9169000,873582000,873582000
1268,2017Q1,cr,,fr1,3232000,3232000,909731000,909731000
1301,2017Q1,cr,,fr1,196466000,196466000,47795996000,47795996000
1303,2017Q1,cr,,fr1,,,72676153000,72676153000
1304,2017Q1,cr,,fr1,97855000,97855000,13902569000,13902569000
1305,2017Q1,cr,,fr1,12579000,12579000,3691270000,3691270000
1307,2017Q1,cr,,fr1,104114000,104114000,2701624000,2701624000
1308,2017Q1,cr,,fr1,1723000,1723000,1531129000,1531129000
1309,2017Q1,cr,,fr1,5289000,5289000,4518603000,4518603000
1310,2017Q1,cr,,fr1,8106000,8106000,3518791000,3518791000
1312,2017Q1,cr,,fr1,9841000,9841000,5392770000,5392770000
1313,2017Q1,cr,,fr1,,,10609577000,10609577000
1314,2017Q1,cr,,fr1,49832000,49832000,9016749000,9016749000
1315,2017Q1,cr,,fr1,,,695279000,695279000
1316,2017Q1,cr,,fr1,3743000,3743000,158473000,158473000
1319,2017Q1,cr,,fr1,142169000,142169000,5998647000,5998647000
1321,2017Q1,cr,,fr1,1782000,1782000,1059117000,1059117000
1323,2017Q1,cr,,fr1,9738000,9738000,708732000,708732000
1324,2017Q1,cr,,fr1,5685000,5685000,286287000,286287000
1325,2017Q1,cr,,fr1,2181000,2181000,227751000,227751000
1326,2017Q1,cr,,fr1,,,89259531000,89259531000
1333,2017Q1,cr,,fr1,2692000,2692000,96362000,96362000
1336,2017Q1,cr,,fr1,,,482873000,482873000
1337,2017Q1,cr,,fr1,13047000,13047000,969132000,969132000
1338,2017Q1,cr,,fr1,53590000,53590000,1806653000,1806653000
1339,2017Q1,cr,,fr1,5619000,5619000,682470000,682470000
1340,2017Q1,cr,,fr1,17525000,17525000,519496000,519496000
1402,2017Q1,cr,,fr1,203646000,203646000,50383416000,50383416000
1410,2017Q1,cr,,fr1,2055000,2055000,132777000,132777000
1413,2017Q1,ir,,fr1,,,751681000,751681000
1414,2017Q1,ir,,fr1,2229000,2229000,233572000,233572000
1416,2017Q1,cr,,fr1,,,1065409000,1065409000
1417,2017Q1,cr,,fr1,,,630717000,630717000
1418,2017Q1,cr,,fr1,2533000,2533000,427249000,427249000
1419,2017Q1,cr,,fr1,,,351299000,351299000
1423,2017Q1,ir,,fr1,,,142548000,142548000
1432,2017Q1,cr,,fr1,,,306509000,306509000
1434,2017Q1,cr,,fr1,14168000,14168000,10254273000,10254273000
1435,2017Q1,cr,,fr1,,,8386000,8386000
1436,2017Q1,cr,,fr1,,,406676000,406676000
1437,2017Q1,cr,,fr1,0,0,173458000,173458000
1438,2017Q1,ir,,fr1,,,7000,7000
1439,2017Q1,ir,,fr1,,,76760000,76760000
1440,2017Q1,cr,,fr1,7276000,7276000,5114990000,5114990000
1441,2017Q1,cr,,fr1,,,390390000,390390000
1442,2017Q1,cr,,fr1,,,851068000,851068000
1443,2017Q1,cr,,fr1,,,321828000,321828000
1444,2017Q1,cr,,fr1,11085000,11085000,2446082000,2446082000
1445,2017Q1,cr,,fr1,2574000,2574000,380999000,380999000
1446,2017Q1,cr,,fr1,,,114629000,114629000
1447,2017Q1,cr,,fr1,29024000,29024000,4438964000,4438964000
1449,2017Q1,cr,,fr1,14266000,14266000,655515000,655515000
1451,2017Q1,cr,,fr1,6522000,6522000,2552504000,2552504000
1452,2017Q1,cr,,fr1,1973000,1973000,566208000,566208000
1453,2017Q1,cr,,fr1,,,4578000,4578000
1454,2017Q1,cr,,fr1,1398000,1398000,455441000,455441000
1455,2017Q1,cr,,fr1,15061000,15061000,4126514000,4126514000
1456,2017Q1,ir,,fr1,,,182350000,182350000
1457,2017Q1,cr,,fr1,,,1207682000,1207682000
1459,2017Q1,cr,,fr1,,,764050000,764050000
1460,2017Q1,cr,,fr1,79037000,79037000,2147189000,2147189000
1463,2017Q1,cr,,fr1,4831000,4831000,840954000,840954000
1464,2017Q1,cr,,fr1,40141000,40141000,1829734000,1829734000
1465,2017Q1,cr,,fr1,1432000,1432000,437118000,437118000
1466,2017Q1,cr,,fr1,5974000,5974000,901348000,901348000
1467,2017Q1,cr,,fr1,,,1551199000,1551199000
1468,2017Q1,cr,,fr1,1202000,1202000,156675000,156675000
1469,2017Q1,cr,,fr1,,,55243000,55243000
1470,2017Q1,ir,,fr1,,,179635000,179635000
1471,2017Q1,cr,,fr1,9135000,9135000,266084000,266084000
1472,2017Q1,cr,,fr1,440000,440000,157719000,157719000
1473,2017Q1,cr,,fr1,27247000,27247000,2196217000,2196217000
1474,2017Q1,cr,,fr1,5053000,5053000,784320000,784320000
1475,2017Q1,cr,,fr1,737000,737000,47633000,47633000
1476,2017Q1,cr,,fr1,42444000,42444000,5145757000,5145757000
1477,2017Q1,cr,,fr1,,,5531202000,5531202000
1503,2017Q1,cr,,fr1,108993000,108993000,5112078000,5112078000
1504,2017Q1,cr,,fr1,309679000,309679000,11916183000,11916183000
1506,2017Q1,cr,,fr1,6747000,6747000,356056000,356056000
1507,2017Q1,cr,,fr1,116203000,116203000,4149684000,4149684000
1512,2017Q1,cr,,fr1,589000,589000,755327000,755327000
1513,2017Q1,cr,,fr1,58407000,58407000,2561209000,2561209000
1514,2017Q1,cr,,fr1,21914000,21914000,749272000,749272000
1515,2017Q1,cr,,fr1,34931000,34931000,884445000,884445000
1516,2017Q1,ir,,fr1,0,0,298233000,298233000
1517,2017Q1,cr,,fr1,17468000,17468000,677453000,677453000
1519,2017Q1,cr,,fr1,21477000,21477000,1190417000,1190417000
1521,2017Q1,cr,,fr1,49393000,49393000,1376020000,1376020000
1522,2017Q1,cr,,fr1,104727000,104727000,4094449000,4094449000
1524,2017Q1,cr,,fr1,872000,872000,644178000,644178000
1525,2017Q1,cr,,fr1,3278000,3278000,266807000,266807000
1526,2017Q1,cr,,fr1,4497000,4497000,233487000,233487000
1527,2017Q1,ir,,fr1,26080000,26080000,994420000,994420000
1528,2017Q1,cr,,fr1,17341000,17341000,852937000,852937000
1529,2017Q1,cr,,fr1,0,0,50188000,50188000
1530,2017Q1,cr,,fr1,17928000,17928000,957885000,957885000
1531,2017Q1,cr,,fr1,13942000,13942000,584619000,584619000
1532,2017Q1,cr,,fr1,5707000,5707000,3450666000,3450666000
1533,2017Q1,cr,,fr1,21056000,21056000,528222000,528222000
1535,2017Q1,cr,,fr1,5474000,5474000,1771067000,1771067000
1536,2017Q1,cr,,fr1,26841000,26841000,1699741000,1699741000
1537,2017Q1,cr,,fr1,10957000,10957000,1720743000,1720743000
1538,2017Q1,cr,,fr1,7890000,7890000,182876000,182876000
1539,2017Q1,cr,,fr1,5238000,5238000,766247000,766247000
1540,2017Q1,cr,,fr1,3170000,3170000,147421000,147421000
1541,2017Q1,cr,,fr1,10248000,10248000,837389000,837389000
1558,2017Q1,cr,,fr1,31496000,31496000,973525000,973525000
1560,2017Q1,ir,,fr1,21165000,21165000,1100771000,1100771000
1565,2017Q1,cr,,fr1,10582000,10582000,1452551000,1452551000
1566,2017Q1,cr,,fr1,13780000,13780000,1313103000,1313103000
1568,2017Q1,cr,,fr1,12210000,12210000,812583000,812583000
1569,2017Q1,cr,,fr1,1819000,1819000,745227000,745227000
1570,2017Q1,cr,,fr1,5900000,5900000,181505000,181505000
1580,2017Q1,cr,,fr1,30339000,30339000,834122000,834122000
1582,2017Q1,cr,,fr1,32425000,32425000,2053905000,2053905000
1583,2017Q1,cr,,fr1,42087000,42087000,1585593000,1585593000
1584,2017Q1,cr,,fr1,1709000,1709000,272794000,272794000
1586,2017Q1,cr,,fr1,11186000,11186000,543221000,543221000
1589,2017Q1,cr,,fr1,43118000,43118000,1434679000,1434679000
1590,2017Q1,cr,,fr1,87740000,87740000,2812756000,2812756000
1591,2017Q1,cr,,fr1,,,114371000,114371000
1592,2017Q1,cr,,fr1,19242000,19242000,1468693000,1468693000
1593,2017Q1,cr,,fr1,7563000,7563000,172235000,172235000
1595,2017Q1,cr,,fr1,15294000,15294000,280067000,280067000
1597,2017Q1,cr,,fr1,12794000,12794000,256074000,256074000
1598,2017Q1,cr,,fr1,26234000,26234000,1111186000,1111186000
1599,2017Q1,cr,,fr1,27873000,27873000,491968000,491968000
1603,2017Q1,cr,,fr1,,,573811000,573811000
1604,2017Q1,cr,,fr1,,,2120194000,2120194000
1605,2017Q1,cr,,fr1,12493000,12493000,37480713000,37480713000
1608,2017Q1,cr,,fr1,,,1937892000,1937892000
1609,2017Q1,cr,,fr1,7275000,7275000,3689188000,3689188000
1611,2017Q1,cr,,fr1,22884000,22884000,663374000,663374000
1612,2017Q1,cr,,fr1,,,897446000,897446000
1613,2017Q1,cr,,fr1,2522000,2522000,7449547000,7449547000
1614,2017Q1,cr,,fr1,13977000,13977000,1164711000,1164711000
1615,2017Q1,cr,,fr1,1239000,1239000,488267000,488267000
1616,2017Q1,cr,,fr1,1439000,1439000,613716000,613716000
1617,2017Q1,cr,,fr1,2174000,2174000,720445000,720445000
1618,2017Q1,cr,,fr1,2187000,2187000,382845000,382845000
1626,2017Q1,cr,,fr1,36628000,36628000,2624509000,2624509000
1701,2017Q1,cr,,fr1,80186000,80186000,1544706000,1544706000
1702,2017Q1,cr,,fr1,49810000,49810000,3791746000,3791746000
1704,2017Q1,cr,,fr1,98411000,98411000,11127126000,11127126000
1707,2017Q1,cr,,fr1,36345000,36345000,2003929000,2003929000
1708,2017Q1,cr,,fr1,0,0,937784000,937784000
1709,2017Q1,cr,,fr1,12473000,12473000,2356420000,2356420000
1710,2017Q1,cr,,fr1,33854000,33854000,7116332000,7116332000
1711,2017Q1,cr,,fr1,97378000,97378000,2318070000,2318070000
1712,2017Q1,cr,,fr1,30378000,30378000,4135353000,4135353000
1713,2017Q1,ir,,fr1,,,152814000,152814000
1714,2017Q1,cr,,fr1,28357000,28357000,7964810000,7964810000
1715,2017Q1,cr,,fr1,11903000,11903000,2558205000,2558205000
1717,2017Q1,cr,,fr1,309520000,309520000,9186919000,9186919000
1720,2017Q1,cr,,fr1,53161000,53161000,909933000,909933000
1721,2017Q1,cr,,fr1,9486000,9486000,889711000,889711000
