stock_id,period,report,alt,taxonomy,rd_q,rd_ytd,rev_q,rev_ytd
1101,2019Q3,cr,,fr1,10191000,31083000,30838392000,87561878000
1102,2019Q3,cr,,fr1,,,22401293000,66206883000
1103,2019Q3,cr,,fr1,,,472584000,1362993000
1104,2019Q3,cr,,fr1,14717000,50589000,1169889000,3551356000
1108,2019Q3,cr,,fr1,,,924652000,2660105000
1109,2019Q3,cr,,fr1,,,2048259000,5620429000
1110,2019Q3,cr,,fr1,,,357219000,1138816000
1201,2019Q3,cr,,fr1,59646000,178574000,5658459000,15431845000
1203,2019Q3,cr,,fr1,2163000,6699000,1650917000,4703855000
1210,2019Q3,cr,,fr1,40903000,98283000,19603514000,56773250000
1213,2019Q3,cr,,fr1,,,128944000,354947000
1215,2019Q3,cr,,fr1,,,5389590000,15575358000
1216,2019Q3,cr,,fr1,250697000,664967000,121082100000,343353755000
1217,2019Q3,cr,,fr1,14972000,33900000,1561664000,3614468000
1218,2019Q3,cr,,fr1,,,2463724000,6080600000
1219,2019Q3,cr,,fr1,10113000,28017000,3065634000,9044423000
1220,2019Q3,cr,,fr1,,,768768000,2075906000
1225,2019Q3,cr,,fr1,8893000,24461000,2726909000,7838370000
1227,2019Q3,cr,,fr1,40500000,112766000,7997276000,21404896000
1229,2019Q3,cr,,fr1,11558000,32720000,2717445000,5970777000
1231,2019Q3,cr,,fr1,20800000,64467000,2166897000,6316123000
1232,2019Q3,cr,,fr1,1847000,5387000,4378437000,12609329000
1233,2019Q3,cr,,fr1,1266000,3717000,570838000,1670542000
1234,2019Q3,cr,,fr1,11670000,36491000,2600601000,6751798000
1235,2019Q3,cr,,fr1,85000,253000,34607000,47978000
1236,2019Q3,cr,,fr1,,,457846000,1278667000
1240,2019Q3,cr,,fr1,4194000,9028000,430871000,1288668000
1256,2019Q3,cr,,fr1,29467000,93964000,1107873000,2837745000
1258,2019Q3,cr,,fr1,,,804024000,2285538000
1259,2019Q3,cr,,fr1,,,1445520000,4124939000
1264,2019Q3,cr,,fr1,12553000,36043000,1021581000,2975172000
1268,2019Q3,cr,,fr1,4145000,12889000,937981000,2835602000
1301,2019Q3,cr,,fr1,289564000,911264000,49715497000,159296860000
1303,2019Q3,cr,,fr1,,,71885358000,214657229000
