r,arm,seed,cagr,mdd,vol,first,end,trades,eq_sha,expo,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,dd_單日暴跌型,dd_延續下跌型,dd_混合型,ddlog_單日暴跌型,ddlog_延續下跌型,ddlog_混合型,n_stop,stop_frac_pos,held_mean,turnover_yr,cost_total,cost_drag_yr,dist0_med,dist0_p10,dist0_p90,trig_bar_med,trig_bar_p10,trig_bar_p90,stop_ret_mean,stop_ret_med,stop_ret_p10,stop_ret_p90,stop_h120_mean,stop_h120_med,stop_h120_better_frac,rep_ret_mean,rep_ret_med,cont_ret_mean,cont_ret_med,rep_better_frac,rep_pairs,rebuy20_n,rebuy20_ret_mean,rebuy20_ret_med,cash_mean,cash_med,nx_n,nx_pending_end,nxw_med,nxw_p90,nxw_sameday_frac,nxsz_med,normal_n,sl_block_days,nx_pool_n,nx_pool_empty
99,cand1,1099,0.39786315313824105,-0.2522454722642621,0.24887278359054193,526,2859,757,b2a6acacf8025a61,0.5826867436287798,0.21696861436433657,0.17104578708510343,0.17647015133881694,0.47515735150793437,0.6936426382238792,-0.1541001309746386,0.9216298581530271,0.2030016126404095,0.8571547933374144,0.5527724210022851,1,0,1,1,0,1,757,1.0,5.668828361435366,6.8422003044767035,2.0072301565947,0.0400268717811887,0.11743932587756734,0.05155202121828677,0.19784405688924755,15.0,5.0,32.0,0.05598487783962115,-0.024774732966065915,-0.11765744633855692,0.2874750755248792,0.2031623802326757,0.008287334637243404,0.5178335535006605,,,,,,0,29,0.07284349607261173,-0.0289855151456494,0.4173132563712203,0.32440425132574047,0,0,,,,,757,0,0,0
100,cand1,1100,0.37629189264167606,-0.2766238840812761,0.24534465144619041,526,2859,750,11e9173ac9155feb,0.5808593258116299,0.29041062430798403,0.13040529488854924,0.08678324713142005,0.6211547678277702,0.6379854958921884,-0.13958751803866276,0.740368039815607,0.16374009843318982,0.8805953681237813,0.4784345380330157,1,0,1,1,0,1,750,1.0,5.642023346303502,7.022578577525255,1.9283068047365712,0.041082084678522805,0.11696428520018287,0.05150318270470929,0.1974270371132962,15.0,5.0,32.0,0.054196912445769685,-0.022816343128099603,-0.1182426704094491,0.28528289267791096,0.19783747769932866,0.01823579442405243,0.516,,,,,,0,39,0.07713875326381243,-0.010038756317290565,0.41914067418837003,0.3284216910863123,0,0,,,,,750,0,0,0
101,cand1,1101,0.4112614368581913,-0.27113424308450895,0.2474088015894237,526,2859,764,582a323027d07ca5,0.5864182854428086,0.3387035702714183,0.1415815163748213,0.06940311380508946,0.7783101295436787,0.6909759619656091,-0.13424485163062716,0.8890424813050104,0.17688951126178631,0.8527765538189889,0.47483491667764044,1,0,0,1,0,0,764,1.0,5.718979680069174,7.089158514439116,2.3741630840191608,0.0414715773094688,0.11844510957496929,0.051544142560044325,0.20313299482015504,15.0,5.0,32.0,0.054649054536459005,-0.023179599120536354,-0.11845970699883145,0.290398718551279,0.19307756198886453,0.009495929189581975,0.506544502617801,,,,,,0,44,0.06282718808055592,-0.029225719009453588,0.4135817145571914,0.307543780738384,0,0,,,,,764,0,0,0
102,cand1,1102,0.3876771605170357,-0.31296658404257877,0.24972302830663878,526,2859,765,7cda2fef22678282,0.5844104699372691,0.37613757309019435,0.1357506437338778,0.08907228422078828,0.6289034588567091,0.39607265098913014,-0.13236088259712742,0.7889007192789201,0.167067072628879,1.0385614350085182,0.5423009754815855,1,0,0,0,0,1,765,1.0,5.680501513186338,6.925141063908604,1.8935807731948753,0.04051207522386538,0.11567395913161349,0.05145848433192506,0.20175901432091697,15.0,4.0,32.0,0.053521735036984874,-0.022690396294057114,-0.11958825692298686,0.28835541048664853,0.19460452772814502,0.007307757287317473,0.5098039215686274,,,,,,0,38,0.06487884563040498,-0.02474222292001993,0.41558953006273086,0.32913002721055695,0,0,,,,,765,0,0,0
103,cand1,1103,0.37912460855748753,-0.28607121277768993,0.24950118999542156,526,2859,765,a780d578fcc1d42f,0.5852466491418811,0.18062307431992686,0.1514463603781082,0.17647015133881716,0.570851946477472,0.6058834981465446,-0.15155292634101458,0.8603489162080353,0.16904397414914807,0.9198884124020386,0.4549896328651193,1,0,0,0,0,1,765,1.0,5.667963683527886,7.095935594875939,1.940820560634427,0.041511223230024236,0.11698412782137857,0.05145848433192506,0.19788397473740327,15.0,4.0,32.0,0.0526759161772278,-0.026548667819894733,-0.11873880273321526,0.28552252831479263,0.18850942930089792,0.004098365525629033,0.5045751633986928,,,,,,0,31,0.08334870873456864,-0.010038756317290565,0.41475335085811876,0.31969063611066534,0,0,,,,,765,0,0,0
104,cand1,1104,0.40282734474021287,-0.26310417425503096,0.250442890693219,526,2859,759,81fbbc829ebe4924,0.5834325466964072,0.19590380647615957,0.17117375821677072,0.0829956478399767,0.5647977896574623,0.7572605704595687,-0.16211985580685773,0.8366703555761756,0.2186384534901371,0.9952994482103834,0.5649667344642524,1,0,1,1,0,1,759,1.0,5.692607003891051,6.842197880721135,1.978221519043781,0.04002685760221858,0.11651652997682449,0.05166080223675333,0.19985182077137792,16.0,4.799999999999997,32.200000000000045,0.056878894539047674,-0.022222204195466055,-0.11827884317434616,0.2901968341647844,0.2007387896902369,0.016478618356312147,0.5151515151515151,,,,,,0,34,0.06525981718146635,-0.024666735682227103,0.4165674533035927,0.3222862025285103,0,0,,,,,759,0,0,0
105,cand1,1105,0.3939175211751973,-0.26369549865014535,0.24841142739279257,526,2859,761,ca245e51a9a58e08,0.5850193457394459,0.2514098688805939,0.15658584468211423,0.07328481674837128,0.5166517826168193,0.48976711457568656,-0.1139134178560921,0.9469121520827515,0.19136225435328869,0.9653346250602399,0.6222440769635216,1,0,0,1,0,0,761,1.0,5.6779074794639,6.8053509089877995,1.8380210565534305,0.0398113028175786,0.11729504052478168,0.05168537127195583,0.20115889683772603,15.0,5.0,32.0,0.05227578654663731,-0.026548667819894733,-0.11820649764455204,0.29011608041018655,0.18059082338528393,0.014291589980930608,0.5111695137976346,,,,,,0,32,0.05418046054444704,-0.03259010928046835,0.41498065426055425,0.324762965718354,0,0,,,,,761,0,0,0
106,cand1,1106,0.3984218224883438,-0.2639118963113365,0.24611671536222712,526,2859,757,8162d80e0d56c480,0.5846352782788734,0.2558470788241207,0.13701368728139052,0.08530766440894655,0.42982185114238236,0.8899539228494233,-0.13441642293437017,0.7878796001133863,0.22067974063080031,0.9077978188520621,0.5709906340265809,1,0,1,1,0,1,757,1.0,5.702118460873325,6.887820034874048,2.0028211385938675,0.040293747204013214,0.1166169603135414,0.05104136662498635,0.20015448174930164,15.0,5.0,32.39999999999998,0.05641295143312606,-0.022690396294057114,-0.11525303963398867,0.29027758791938224,0.1919038456480747,0.008146627995184508,0.5085865257595773,,,,,,0,34,0.06148454199657188,-0.016411761382454704,0.4153647217211267,0.32633976502347917,0,0,,,,,757,0,0,0
107,cand1,1107,0.3637351830448712,-0.29990642379660665,0.2514985512497735,526,2859,768,6415572a74090edd,0.5837210755831892,0.22882041622015414,0.15640531723899764,0.07328481674837106,0.652056684921946,0.5641164719222738,-0.13326581323237574,0.7959456362019117,0.1437580571986905,0.8033599088250964,0.47828578359104945,2,0,0,1,0,1,768,1.0,5.682663207955037,7.168644711436984,1.8553959587107067,0.04193657156190646,0.11781263509119083,0.05216214381741587,0.20109139432946907,15.0,5.0,32.0,0.05107114226575781,-0.027614995349817928,-0.11756593778755774,0.2803629724836445,0.1754353298256727,0.0018022437260425406,0.5013020833333334,,,,,,0,34,0.0707068903283701,-0.016411761382454704,0.41627892441681075,0.32796662892238587,0,0,,,,,768,0,0,0
108,cand1,1108,0.3680759365940707,-0.24119881001433563,0.24706779106795745,526,2859,766,6c6614b21d382cf7,0.5827482248218596,0.2651806915411685,0.13194666668717536,0.08299564783997648,0.4006769431683286,0.5506485494782987,-0.1187637360874313,0.7551857970559892,0.2101633601128281,0.9593532464668222,0.5601366924510278,1,0,0,1,0,0,766,1.0,5.674016428880242,6.927362028281632,1.6803356128240587,0.04052506786544752,0.11736718320117451,0.05154939499887262,0.1988318234239505,15.0,5.0,32.0,0.05040945055356897,-0.02701913826347907,-0.11610534452826077,0.2854746011874163,0.1848133373416201,0.008216981316213956,0.5091383812010444,,,,,,0,35,0.0761902926855761,-0.029465922873257777,0.4172517751781403,0.32119663462507214,0,0,,,,,766,0,0,0
