arm,cagr_med,mdd_med,ratio,label_desc,ratio_seed_med,vs_v1_both_pos,vs_v1_both_neg,d_cagr_med,d_mdd_med,turnover_yr,cost_drag_yr,cash_mean,cash_med,rebuy20_n,rebuy20_ret_mean,rebuy20_ret_med,n_stop,stop_frac_pos,trig_bar_med,trig_bar_p10,trig_bar_p90,stop_h120_mean,stop_h120_med,stop_h120_better_frac,held_mean,trades,ddlog_單日暴跌型,ddlog_延續下跌型,ddlog_混合型,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,vs_cand1_both_pos,vs_cand1_both_neg,vs_cand1_d_cagr_med,vs_cand1_d_mdd_med,C1≈候選一
base,0.394406557221616,-0.3894268315113051,1.0127873205114948,合格,0.9971957604579429,0,0,0.0,0.0,1.431899420992742,0.008376611612807536,0.17896983671071015,0.03265734294285771,0.0,,,0.0,0.0,,,,,,,8.386078685689581,163.0,1.0,0.0,3.0,0.24455289203698638,-0.009888027774799413,0.1363792434585206,0.49826119560451176,1.2269226546507113,-0.027935358862122173,0.8292544445758621,0.07779684392037378,0.490059869615046,0.7015307185734795,,,,,
cand1,0.39388224227781543,-0.2719247455459823,1.4484972358325154,合格,1.451179330577218,95,1,-0.004057391228304286,0.11861629528744291,6.9297278014131445,0.0405389076382669,0.4152520891774319,0.31961874367100407,37.0,0.07088958031249032,-0.022784766447618843,764.0,1.0,15.0,5.0,32.0,0.19420525943146558,0.00825215797672868,0.5140964638853911,5.680717682663208,764.0,1.0,0.0,1.0,0.27564851242394584,0.1528937563565118,0.08678324713142027,0.5335397095457337,0.5986289355325987,-0.13331379743678,0.8627842830109047,0.1921943990430024,0.8879708009843432,0.5645889445661636,,,,,
cand2,0.42224742560258166,-0.3649669767210692,1.1569469363944394,合格,1.1569469363944394,160,7,0.027840868380965667,0.024459854790235852,1.4258476335377082,0.008341208656195592,0.1791512572839875,0.022332614730454056,0.0,,,0.0,0.0,,,,,,,8.38651102464332,163.0,2.0,0.0,4.0,0.33393582204797934,-0.019666424842258223,0.23978308437283924,0.5951760496927079,1.3481163533959992,-0.02380417884273711,0.8374660806622996,0.14833971685717473,0.44390124571602296,0.5397969287706392,,,,,
C1,0.34171050447416607,-0.27821045963113966,1.2282446351126295,合格,1.2498398217108988,38,2,-0.05846171033902836,0.11833447842503111,7.906017262648323,0.04625020098649266,0.3991357783891124,0.2898074302539629,50.0,0.02458921827748104,-0.0077406441013987415,816.0,1.0,15.0,5.0,32.0,0.18600647305455964,0.011888997576380067,0.5024937810945274,6.075659316904453,816.0,1.0,0.0,2.0,0.242210358050433,0.06798688342899006,0.06951416174961789,0.5058677328917919,0.6863600968774148,-0.10396897267610816,0.6689082666033003,0.13635934509538228,0.6533266475696957,0.5966399581098201,14.0,94.0,-0.04582034852614736,-0.005954363707705246,True
