cost_rt,cagr,mdd,pass,strict_cagr,strict_mdd
0.001,0.47668423819695094,-0.744715571302578,True,True,True
0.002,0.46486237721976376,-0.749097590598,True,True,True
0.004,0.4414996369751272,-0.7576417144961357,True,True,True
0.008,0.39588326539927476,-0.7738837444965113,True,True,True
