sid,entry_pos,exit_pos,n1d_30,n1d_20,n1d_10,cum_min,delisted,halted,max_gap
1718,673,792,0,0,0,-0.002301514361293777,False,False,0
1909,673,792,0,0,0,-0.3407643308791667,False,False,0
2327,673,792,0,0,0,0.0,False,False,0
2328,673,792,0,0,0,-0.16966065898933858,False,False,0
2354,673,792,0,0,0,-0.1196388325142328,False,False,0
2367,673,792,0,0,0,0.0,False,False,0
2439,673,792,0,0,0,-0.17098450650876407,False,False,0
2458,673,792,0,0,0,-0.01839081661942732,False,False,0
2464,673,792,0,0,0,-0.07001163365694751,False,False,0
2609,673,792,0,0,0,-0.22529639102959698,False,False,0
2618,673,792,0,0,0,-0.016891961124267274,False,False,0
2723,673,792,0,0,0,0.0,False,False,0
2884,673,792,0,0,0,0.0,False,False,0
2892,673,792,0,0,0,-0.025575444275661274,False,False,0
3036,673,792,0,0,0,-0.05500758554911389,False,False,0
3545,673,792,0,0,0,-0.30517712126490015,False,False,0
3563,673,792,0,0,0,-0.003194856776538746,False,False,0
3625,673,792,0,0,0,-0.20879118044314482,False,False,0
4147,673,792,0,0,0,-0.16136921636653,False,False,0
4977,673,792,0,0,0,-0.3426415262532909,False,False,0
5274,673,792,0,0,0,-0.10818304672404089,False,False,0
6182,673,792,0,0,0,0.0,False,False,0
6220,673,792,0,0,0,-0.42496173343472665,False,False,0
6414,673,792,0,0,0,-0.060364432528153045,False,False,1
6449,673,792,0,0,1,-0.03638645556999376,False,False,0
6456,673,792,0,0,0,-0.4724918987256118,False,False,0
6462,673,792,0,0,0,-0.4540229846023913,False,False,0
8039,673,792,0,0,0,-0.103448273685113,False,False,0
8105,673,792,0,0,0,-0.2372505380124723,False,False,0
1909,692,811,0,0,0,-0.30536911796113053,False,False,0
2337,692,811,0,0,0,-0.3126142684165867,False,False,0
2344,692,811,0,0,0,-0.3480769188265691,False,False,0
2354,692,811,0,0,0,-0.22881360206593226,False,False,0
2428,692,811,0,0,0,-0.13457333140319416,False,False,0
2606,692,811,0,0,0,-0.047685764227133776,False,False,0
2883,692,811,0,0,0,-0.01294497590376642,False,False,0
3014,692,811,0,0,0,-0.09178087969502169,False,False,0
3036,692,811,0,0,0,-0.05894097810381316,False,False,0
3232,692,811,0,0,0,-0.33155078540292815,False,False,0
3324,692,811,0,0,0,-0.1971649514686643,False,False,0
3362,692,811,0,0,0,-0.5324176860292182,False,False,0
3526,692,811,0,0,0,-0.27544909926735994,False,False,0
3532,692,811,0,0,0,-0.1435643661431959,False,False,0
3625,692,811,0,0,0,-0.3231382853609074,False,False,0
3653,692,811,0,0,0,-0.1915455493128796,False,False,0
3661,692,811,0,0,0,-0.26603778384943644,False,False,0
4147,692,811,0,0,0,-0.19859815373422496,False,False,0
4739,692,811,0,0,0,-0.22879996424820404,False,False,0
4763,692,811,0,0,0,-0.31896556685923905,False,False,0
4968,692,811,0,0,0,-0.4609756000009262,False,False,0
4991,692,811,0,0,0,-0.06656804166227093,False,False,0
5457,692,811,0,0,0,-0.015659929845211695,False,False,0
6269,692,811,0,0,0,-0.33247861013201496,False,False,0
6271,692,811,0,0,0,-0.2386363692067529,False,False,0
6412,692,811,0,0,0,-0.2819074466409306,False,False,0
6414,692,811,0,0,0,-0.020547901014933645,False,False,1
6415,692,811,0,0,0,-0.09076925682946857,False,False,0
6456,692,811,0,0,0,-0.39405204720423703,False,False,0
8039,692,811,0,0,0,-0.19351464560748688,False,False,0
8069,692,811,0,0,0,-0.25233643724952004,False,False,0
8349,692,811,0,0,0,-0.21269837774931422,False,False,1
8404,692,811,0,0,0,-0.27185183616514963,False,False,0
1515,714,833,0,0,0,-0.34273502924612864,False,False,0
1597,714,833,0,0,0,-0.14476387976112048,False,False,0
1707,714,833,0,0,0,-0.04589371852414792,False,False,0
2027,714,833,0,0,0,-0.02313625586212431,False,False,0
2104,714,833,0,0,0,-0.016412661789796723,False,False,0
2303,714,833,0,0,0,-0.1178343711373866,False,False,0
2324,714,833,0,0,0,-0.08809522199840158,False,False,0
2330,714,833,0,0,0,-0.05769229527587527,False,False,0
2344,714,833,0,0,0,-0.3430232158862673,False,False,0
2408,714,833,0,0,0,-0.010928922558169685,False,False,0
3532,714,833,0,0,0,-0.21363636148267195,False,False,0
3666,714,833,0,0,0,-0.3268608650267135,False,False,0
3675,714,833,0,0,0,-0.2720970927230302,False,False,0
4958,714,833,0,0,0,-0.11918606115006025,False,False,0
5285,714,833,0,0,0,-0.021601057809206514,False,False,0
5289,714,833,0,0,0,-0.1106718641109884,False,False,0
5530,714,833,0,0,0,-0.1573815775663333,False,False,0
8155,714,833,0,0,0,-0.07181566047556331,False,False,0
8271,714,833,0,0,0,-0.06380209793234015,False,False,0
1101,735,854,0,0,0,-0.049531529012017406,False,False,0
1303,735,854,0,0,0,-0.028133014332740625,False,False,0
1504,735,854,0,0,0,-0.20490361207716412,False,False,0
2313,735,854,0,0,0,-0.26923078456222327,False,False,0
2392,735,854,0,0,1,-0.35477386858561877,False,False,0
2492,735,854,0,0,0,-0.2529148375719179,False,False,0
3105,735,854,0,0,0,-0.33887062257955547,False,False,0
3374,735,854,0,0,0,-0.3605948134001177,False,False,0
3443,735,854,0,0,0,-0.11992620623330241,False,False,0
4904,735,854,0,0,0,-0.021447762866348197,False,False,0
4943,735,854,0,0,1,-0.2268370930346718,False,False,0
4958,735,854,0,0,0,-0.08320722108665013,False,False,0
5289,735,854,0,0,0,-0.13793095897435592,False,False,0
5425,735,854,0,0,0,-0.1926121359188533,False,False,0
6202,735,854,0,0,0,-0.021707678878248315,False,False,0
8261,735,854,0,0,0,-0.20370375165175392,False,False,0
1102,757,876,0,0,0,-0.08135588787462267,False,False,0
1303,757,876,0,0,0,-0.04761905420108381,False,False,0
1305,757,876,0,0,0,-0.1445783498459846,False,False,0
1313,757,876,0,0,0,-0.09214091502735045,False,False,0
1314,757,876,0,0,0,-0.19741096733222052,False,False,0
1402,757,876,0,0,0,-0.07779882321844456,False,False,0
1586,757,876,0,0,0,-0.3550488536782104,False,False,0
1718,757,876,0,0,0,-0.07921814361880652,False,False,0
1802,757,876,0,0,0,-0.15512728583416147,False,False,0
2006,757,876,0,0,0,-0.12318178682474867,False,False,0
2460,757,876,0,0,0,-0.2816091748900681,False,False,0
2634,757,876,0,0,0,-0.13456094186582757,False,False,0
2812,757,876,0,0,0,-0.02660095800080342,False,False,0
2882,757,876,0,0,0,-0.0712979857530599,False,False,0
2915,757,876,0,0,0,-0.07254907539853961,False,False,0
3105,757,876,0,0,0,-0.4263624883125424,False,False,0
3374,757,876,0,0,0,-0.33846154843668075,False,False,0
3546,757,876,0,0,0,-0.13631630780400916,False,False,0
5285,757,876,0,0,0,-0.10734459230162408,False,False,0
5880,757,876,0,0,0,-0.052023128134804586,False,False,0
6180,757,876,0,0,0,-0.2850298949999954,False,False,0
6182,757,876,0,0,0,-0.12288142204462404,False,False,0
6261,757,876,0,0,0,-0.13949577610070552,False,False,0
6274,757,876,0,0,0,-0.11249999160964219,False,False,0
6414,757,876,0,0,0,-0.26597935751300006,False,False,1
6548,757,876,0,0,0,-0.18468471260263764,False,False,0
8176,757,876,0,0,0,-0.2477611947877324,False,False,0
8489,757,876,0,0,0,-0.13296457405396156,False,False,0
8936,757,876,0,0,0,-0.1431980447440946,False,False,0
9910,757,876,0,0,0,-0.0740740334740344,False,False,0
9941,757,876,0,0,0,-0.03999998505274138,False,False,0
1303,770,889,0,0,0,-0.0025542676216573357,False,False,0
1312,770,889,0,0,0,-0.04236657662066268,False,False,0
1444,770,889,0,0,0,-0.08837387599316748,False,False,0
1560,770,889,0,0,0,-0.17668828349868437,False,False,0
1605,770,889,0,0,0,-0.01142855949858812,False,False,0
1609,770,889,0,0,0,-0.12907015874341987,False,False,0
1718,770,889,0,0,0,-0.037735847912250486,False,False,0
2327,770,889,0,0,0,0.0,False,False,1
2492,770,889,0,0,0,0.0,False,False,0
2880,770,889,0,0,0,-0.002941111310126643,False,False,0
2881,770,889,0,0,0,-0.01771657157078177,False,False,0
2887,770,889,0,0,0,-0.007142845705491951,False,False,0
3036,770,889,0,0,0,-0.0665951030757973,False,False,0
3532,770,889,0,0,0,-0.14556104822089044,False,False,0
3533,770,889,0,0,0,-0.10669969299181237,False,False,0
3645,770,889,0,0,0,-0.21437740796180038,False,False,0
4739,770,889,0,0,0,-0.2578896442013009,False,False,0
5483,770,889,0,0,0,-0.02749880653114034,False,False,0
5880,770,889,0,0,0,-0.008902028844003707,False,False,0
6173,770,889,0,0,1,-0.026345928481718905,False,False,0
6182,770,889,0,0,0,-0.061224525976975364,False,False,0
6290,770,889,0,0,1,-0.4898255661249259,False,False,0
6488,770,889,0,0,0,-0.08758806904101113,False,False,0
6505,770,889,0,0,0,-0.05777772219902688,False,False,0
6548,770,889,0,0,0,-0.16626754136408572,False,False,0
8155,770,889,0,0,0,-0.10355324043255931,False,False,0
2231,793,912,0,0,2,-0.36435540796412724,False,False,0
3016,793,912,0,0,0,-0.04432136979930068,False,False,0
4739,793,912,0,0,0,-0.39419166648605464,False,False,0
6024,793,912,0,0,0,-0.07007601291343335,False,False,0
1476,811,930,0,0,0,-0.07112969883947917,False,False,0
1590,811,930,0,0,0,-0.5095648650500504,False,False,0
1597,811,930,0,0,0,-0.4045813119291404,False,False,0
2031,811,930,0,0,0,-0.08095135164408329,False,False,0
2049,811,930,0,0,0,-0.4853320263109182,False,False,0
2231,811,930,0,0,1,-0.4649397157010057,False,False,0
2233,811,930,0,0,0,-0.22388850367391233,False,False,0
2376,811,930,0,0,0,-0.3643615195049935,False,False,0
2377,811,930,0,0,0,-0.24107174580301138,False,False,0
2408,811,930,0,0,0,-0.4378937649017075,False,False,0
2912,811,930,0,0,0,-0.010256415908477257,False,False,0
3016,811,930,0,0,0,-0.031123148686981406,False,False,0
3228,811,930,0,0,0,-0.5250290899115417,False,False,0
3260,811,930,0,0,0,-0.38860971669277444,False,False,0
3504,811,930,0,0,0,-0.0017241280138935444,False,False,0
3515,811,930,0,0,0,-0.3092181964346251,False,False,0
3532,811,930,0,0,0,-0.49460597305763343,False,True,7
4129,811,930,0,0,0,-0.4200042487042771,False,False,0
4549,811,930,0,0,0,-0.26744225778461916,False,False,0
4739,811,930,0,0,0,-0.31334198783722156,False,False,0
5274,811,930,0,0,1,-0.5803704927410693,False,False,0
5425,811,930,0,0,0,-0.3669732115930976,False,False,0
5439,811,930,0,0,0,-0.14930505609573452,False,False,0
6150,811,930,0,0,0,-0.637492204378951,False,False,0
6239,811,930,0,0,0,-0.14962974554052177,False,False,0
6274,811,930,0,0,0,-0.11055931321458368,False,False,0
6499,811,930,0,0,0,-0.44701850623309036,False,False,0
8027,811,930,0,0,0,-0.2903225877445884,False,False,0
8422,811,930,0,0,0,-0.06034943759237643,False,False,0
1102,833,952,0,0,0,-0.08846056726081719,False,False,0
1710,833,952,0,0,0,-0.18555720981590706,False,False,0
2013,833,952,0,0,0,-0.04846147745766449,False,False,0
2049,833,952,0,0,0,-0.5702126364713173,False,False,0
2408,833,952,0,0,0,-0.5256909775685985,False,False,0
2633,833,952,0,0,0,-0.02510456948349238,False,False,0
2732,833,952,0,0,0,-0.2252769340550086,False,False,0
4147,833,952,0,0,0,-0.5525477538446988,False,False,0
4528,833,952,0,0,0,-0.4452512795852923,False,False,0
5274,833,952,0,0,1,-0.6132553830973616,False,False,0
6541,833,952,0,0,0,-0.4985592238953509,False,False,0
8155,833,952,0,0,0,-0.6219793256635815,False,False,0
8436,833,952,0,0,0,-0.0851958751454217,False,False,0
8489,833,952,0,0,1,-0.45174635540302976,False,False,0
1101,853,972,0,0,0,-0.10835614854342623,False,False,0
1409,853,972,0,0,0,-0.12017115432334124,False,False,0
1597,853,972,0,0,0,-0.41224723358843507,False,False,0
1718,853,972,0,0,0,-0.024390268685167027,False,False,0
2002,853,972,0,0,0,0.0,False,False,0
2013,853,972,0,0,0,-0.11500261849771631,False,False,0
2014,853,972,0,0,0,-0.1250000220698364,False,False,0
2351,853,972,0,0,0,-0.28735633566389995,False,False,0
2363,853,972,0,0,0,-0.42016808930445637,False,False,0
2408,853,972,0,0,0,-0.44070901899211934,False,False,0
2428,853,972,0,0,0,-0.30198102402720306,False,False,0
2478,853,972,0,0,1,-0.6282048636562192,False,False,0
2801,853,972,0,0,0,-0.002857134469728795,False,False,0
2892,853,972,0,0,0,0.0,False,False,0
3016,853,972,0,0,0,-0.5587257173415938,False,False,0
3030,853,972,0,0,0,-0.3066115517287258,False,False,0
3034,853,972,0,0,0,-0.04284462434976899,False,False,0
3078,853,972,0,0,0,-0.328020668882834,False,False,0
3257,853,972,0,0,0,-0.3379010482912619,False,False,0
3491,853,972,0,0,0,-0.07066581128978444,False,False,0
3504,853,972,0,0,0,-0.4295566391915894,False,False,0
3550,853,972,0,0,0,-0.3062558356676004,False,False,0
3563,853,972,0,0,0,-0.4038680169476643,False,False,0
3707,853,972,0,0,1,-0.5286144409038221,False,False,0
4107,853,972,0,0,0,-0.2360975723779416,False,False,0
4736,853,972,0,0,0,-0.1665527091659319,False,False,0
5439,853,972,0,0,0,-0.192222392758308,False,False,0
5457,853,972,0,0,0,-0.39758062709231,False,False,0
5536,853,972,0,0,0,-0.20734909106825417,False,False,0
5871,853,972,0,0,0,-0.07019313495927626,False,False,0
6182,853,972,0,0,0,-0.5479883072012441,False,False,0
6224,853,972,0,0,0,-0.2602459511147539,False,False,0
6257,853,972,0,0,0,-0.2361930630854654,False,False,0
8155,853,972,0,0,0,-0.4605330067570176,False,False,0
8936,853,972,0,0,0,-0.0026737958302732734,False,False,0
1310,875,994,0,0,0,-0.029612724990207284,False,False,0
2104,875,994,0,0,0,-0.1896412582552247,False,False,0
2327,875,994,0,0,0,-0.5956704136211082,False,False,0
2344,875,994,0,0,0,-0.38400581715206905,False,False,0
2472,875,994,0,0,0,-0.3859884655153992,False,False,0
2478,875,994,0,0,1,-0.5244318269482975,False,False,0
2492,875,994,0,0,0,-0.609364459418148,False,False,0
3016,875,994,0,0,0,-0.5211931110766392,False,False,0
3026,875,994,0,0,0,-0.5103999844750344,False,False,0
3090,875,994,0,0,1,-0.3539007241178479,False,False,0
3443,875,994,0,0,0,-0.5366197277607362,False,False,0
3532,875,994,0,0,0,-0.6464106348602612,False,True,7
3533,875,994,0,0,0,-0.28708137849716653,False,False,0
3563,875,994,0,0,0,-0.4597938205778648,False,False,0
3707,875,994,0,0,1,-0.5007974476662831,False,False,0
4919,875,994,0,0,0,-0.4382022381777082,False,False,0
4939,875,994,0,0,0,-0.3807531599975136,False,False,0
6173,875,994,0,0,1,-0.5679426039436015,False,False,0
6175,875,994,0,0,0,-0.5304625547225768,False,False,0
6182,875,994,0,0,0,-0.5351879842050865,False,False,0
6257,875,994,0,0,0,-0.25492956342448525,False,False,0
6283,875,994,0,0,0,-0.4483362374470736,False,False,0
6488,875,994,0,0,0,-0.5814196267120753,False,False,0
8069,875,994,0,0,0,-0.3752579538190969,False,False,0
8261,875,994,0,0,0,-0.4217391295109262,False,False,0
8464,875,994,0,0,0,-0.31939159397046524,False,False,0
1314,898,1017,0,0,0,-0.2259258801629459,False,False,0
2002,898,1017,0,0,0,-0.05210422221461586,False,False,0
2108,898,1017,0,0,0,-0.12598419782167458,False,False,0
2303,898,1017,0,0,0,-0.392441827208144,False,False,0
2338,898,1017,0,0,0,-0.4234527625723975,False,False,0
2458,898,1017,0,0,0,-0.26069596235835824,False,True,7
2612,898,1017,0,0,0,-0.17820322357529916,False,False,0
2618,898,1017,0,0,0,-0.06849277519167629,False,False,0
2886,898,1017,0,0,0,-0.030710230156275053,False,False,0
3034,898,1017,0,0,0,-0.14827586081409883,False,False,0
3037,898,1017,0,0,0,-0.19337017499666054,False,False,0
3044,898,1017,0,0,0,-0.24178155986177918,False,False,0
3114,898,1017,0,0,0,-0.1737089239306321,False,False,0
3362,898,1017,0,0,1,-0.3645832936914939,False,False,0
3376,898,1017,0,0,0,-0.15062285552785082,False,False,0
3504,898,1017,0,0,0,-0.47363637675649484,False,False,0
3533,898,1017,0,0,0,-0.3493449753968926,False,False,0
3596,898,1017,0,0,0,-0.2659054092893436,False,False,0
4736,898,1017,0,0,0,-0.27002966270980533,False,False,0
4976,898,1017,0,0,0,-0.375,False,False,0
5299,898,1017,0,0,0,-0.42566091372329873,False,False,0
5469,898,1017,0,0,0,-0.35641887736737865,False,False,0
6138,898,1017,0,0,0,-0.36591268864680704,False,True,6
6173,898,1017,0,0,1,-0.5171122809623402,False,False,0
6239,898,1017,0,0,0,-0.27990973554951404,False,False,0
8046,898,1017,0,0,0,-0.20333333963216105,False,False,0
8261,898,1017,0,0,0,-0.36666662400062555,False,False,0
8341,898,1017,0,0,0,-0.12280702088709428,False,False,0
1402,917,1036,0,0,0,-0.22316378561425576,False,False,0
2014,917,1036,0,0,0,-0.2736842428709537,False,False,0
2329,917,1036,0,0,0,-0.4583999777635017,False,True,7
2345,917,1036,0,0,0,-0.11412428270264685,False,False,0
2356,917,1036,0,0,0,-0.20903950661333748,False,False,0
2379,917,1036,0,0,0,-0.18287939839618106,False,False,0
2383,917,1036,0,0,0,-0.3419203935906543,False,False,0
2439,917,1036,0,0,1,-0.19377161660715536,False,False,0
2458,917,1036,0,0,0,-0.21676956599374808,False,True,7
3023,917,1036,0,0,0,-0.11717863783369642,False,False,0
3034,917,1036,0,0,0,-0.14236108979914863,False,False,0
3036,917,1036,0,0,0,-0.09624411125691057,False,False,0
3044,917,1036,0,0,0,-0.1364734503915137,False,False,0
3227,917,1036,0,0,0,-0.3249999900091396,False,False,0
3323,917,1036,0,0,0,-0.2701005035543116,False,False,0
3511,917,1036,0,0,0,-0.20171676961497842,False,False,0
3533,917,1036,0,0,0,-0.23589747637718383,False,False,0
4927,917,1036,0,0,0,-0.16666663899610312,False,False,0
4942,917,1036,0,0,0,-0.20000003851951031,False,False,0
4953,917,1036,0,0,0,-0.3597122308453985,False,False,0
5347,917,1036,0,0,1,-0.27205876780200333,False,False,0
6147,917,1036,0,0,0,-0.13725493369920427,False,False,0
6239,917,1036,0,0,0,-0.2219512290406218,False,False,0
8046,917,1036,0,0,0,-0.20333333963216105,False,False,0
8436,917,1036,0,0,0,-0.2820513215118422,False,False,0
1310,939,1058,0,0,0,-0.013157880021046231,False,False,0
1402,939,1058,0,0,0,-0.131121610877169,False,False,0
2439,939,1058,0,0,0,-0.1402213763946527,False,False,0
2442,939,1058,0,0,0,-0.07058819259859184,False,False,0
2605,939,1058,0,0,0,-0.032258043748307985,False,False,0
2606,939,1058,0,0,0,-0.0575999626698378,False,False,0
3023,939,1058,0,0,0,-0.10804594180081262,False,False,0
3083,939,1058,0,0,0,-0.055851019297692206,False,False,0
4119,939,1058,0,0,0,-0.06128135331153728,False,False,0
4953,939,1058,0,0,0,0.0,False,False,0
1476,961,1080,0,0,0,-0.10027106206521064,False,False,0
1536,961,1080,0,0,0,-0.3469696889470698,False,False,0
2442,961,1080,0,0,0,-0.17421597862729188,False,False,0
3324,961,1080,0,0,0,-0.025454631151516693,False,False,0
1730,982,1101,0,0,0,-0.006329070503582335,False,False,0
2308,982,1101,0,0,0,0.0,False,False,0
2449,982,1101,0,0,0,-0.04687499804195128,False,False,0
2601,982,1101,0,0,0,-0.027777828343046873,False,False,1
4137,982,1101,0,0,0,-0.04554458973991671,False,False,0
4906,982,1101,0,0,0,-0.006593468451284279,False,False,0
4953,982,1101,0,0,0,-0.028831650702015654,False,False,0
5234,982,1101,0,0,0,-0.06512141591126341,False,False,0
5299,982,1101,0,0,0,-0.06403943353742625,False,False,0
6176,982,1101,0,0,0,-0.018181838037663933,False,False,0
6552,982,1101,0,0,0,-0.11752575164133072,False,False,0
8016,982,1101,0,0,0,-0.07184462278056625,False,False,0
8436,982,1101,0,0,0,-0.2753346071226209,False,False,0
1102,1003,1122,0,0,0,0.0,False,False,0
1210,1003,1122,0,0,0,-0.02014392081441052,False,False,0
1722,1003,1122,0,0,0,0.0,False,False,0
1786,1003,1122,0,0,0,-0.12589416563133704,False,False,0
2059,1003,1122,0,0,0,-0.16544657657589878,False,False,0
2375,1003,1122,0,0,0,-0.16602497307915687,False,False,1
2884,1003,1122,0,0,0,-0.0023148477787084953,False,False,0
2890,1003,1122,0,0,0,0.0,False,False,0
4107,1003,1122,0,0,0,0.0,False,False,0
4119,1003,1122,0,0,0,-0.01273886040495964,False,False,0
5274,1003,1122,0,0,0,-0.19674558958487076,False,False,0
6282,1003,1122,0,0,0,-0.10169489137798493,False,False,0
6552,1003,1122,0,0,0,-0.1745282874194546,False,False,0
1102,1016,1135,0,0,0,-0.014397875803965898,False,False,0
2059,1016,1135,0,0,0,-0.16176465412076102,False,False,0
2884,1016,1135,0,0,0,-0.002257368551487393,False,False,0
3324,1016,1135,0,0,0,-0.025973992419205505,False,False,0
3360,1016,1135,0,0,0,-0.19780221203350368,False,False,0
3596,1016,1135,0,0,0,-0.10884355869583506,False,False,0
4119,1016,1135,0,0,0,0.0,False,False,0
4426,1016,1135,0,0,0,-0.006342519192665597,False,False,0
4551,1016,1135,0,0,0,-0.17288132401223266,False,False,0
5269,1016,1135,0,0,0,-0.217013938786073,False,False,0
5289,1016,1135,0,0,0,-0.05982904563160851,False,False,0
6230,1016,1135,0,0,0,-0.08582089552238803,False,False,0
9910,1016,1135,0,0,0,0.0,False,False,0
1795,1036,1155,0,0,0,-0.22251081827460273,False,False,0
3293,1036,1155,0,0,0,-0.004975196136090987,False,False,0
1589,1056,1175,0,0,0,-0.39774158001275606,False,False,0
2231,1056,1175,0,0,0,-0.17128021532133408,False,False,0
2395,1056,1175,0,0,0,-0.022132833636814175,False,False,0
3003,1056,1175,0,0,0,-0.14004377074046281,False,False,0
3540,1056,1175,0,0,0,-0.11973018392315693,False,False,0
4107,1056,1175,0,0,0,-0.043478311627164756,False,False,0
4953,1056,1175,0,0,0,-0.16814159384552396,False,False,0
4977,1056,1175,0,0,0,-0.16751785508241823,False,False,0
5425,1056,1175,0,0,0,-0.25313054707483595,False,False,0
5483,1056,1175,0,0,0,-0.013196450423796025,False,False,0
5871,1056,1175,0,0,0,-0.14285711488529917,False,False,0
6451,1056,1175,0,0,0,-0.2721991946296499,False,False,0
6552,1056,1175,0,0,0,-0.38380282765026796,False,False,0
8016,1056,1175,0,0,0,-0.15498156783090955,False,False,0
8028,1056,1175,0,0,0,-0.16649544245092485,False,False,0
2329,1078,1197,0,0,0,-0.027397264547811107,False,False,0
2379,1078,1197,0,0,0,-0.012165443973798706,False,False,0
2455,1078,1197,0,0,0,-0.010958896799391216,False,False,0
3017,1078,1197,0,0,0,-0.0046225088963979255,False,False,0
3023,1078,1197,0,0,0,-0.0046947953628991845,False,False,0
3034,1078,1197,0,0,0,-0.07716054786301618,False,False,0
3338,1078,1197,0,0,0,0.0,False,False,0
3491,1078,1197,0,0,0,0.0,False,False,0
3535,1078,1197,0,0,0,-0.38203957135712274,False,False,0
3576,1078,1197,0,0,0,-0.18191601292394644,False,False,0
3665,1078,1197,0,0,0,-0.02564102310662275,False,False,0
