sid,entry_pos,exit_pos,n1d_30,n1d_20,n1d_10,cum_min,delisted,halted,max_gap
1314,523,642,0,0,0,-0.1153846607647574,False,False,0
2103,523,642,0,0,0,-0.13547490880182045,False,False,0
3016,523,642,0,0,0,-0.06561078483622396,False,False,0
3529,523,642,0,0,0,-0.12441309868298289,False,False,0
3546,523,642,0,0,0,-0.04161409548262596,False,False,0
6173,523,642,0,0,0,-0.025641069125966198,False,False,0
6274,523,642,0,0,0,-0.0024038975170442844,False,False,0
6462,523,642,0,0,0,-0.3360161312959875,False,False,0
1536,546,665,0,0,0,-0.046153866230455476,False,False,0
2103,546,665,0,0,0,-0.11948797055477256,False,False,0
4147,546,665,0,0,0,-0.06741567739363319,False,False,0
8358,546,665,0,0,0,-0.21351349473645953,False,False,0
1314,564,683,0,0,0,-0.0800000327221082,False,False,0
1536,564,683,0,0,0,-0.03602684530643041,False,False,0
2002,564,683,0,0,0,-0.028571526807483538,False,False,0
2049,564,683,0,0,0,-0.04859336836111949,False,False,0
2233,564,683,0,0,0,-0.12248805920347594,False,False,0
2345,564,683,0,0,0,0.0,False,False,0
2351,564,683,0,0,0,-0.01530609235743563,False,False,0
3236,564,683,0,0,0,-0.04215850668600296,False,False,0
3260,564,683,0,0,0,-0.03776221026602988,False,False,0
3289,564,683,0,0,0,-0.016309897241506777,False,False,0
4147,564,683,0,0,0,-0.02285712459907374,False,False,0
4919,564,683,0,0,0,-0.06529209708799666,False,False,0
5347,564,683,0,0,0,-0.06944446749952693,False,False,0
5425,564,683,0,0,0,-0.021711360781635047,False,False,0
5483,564,683,0,0,0,-0.026806503075714305,False,False,0
6182,564,683,0,0,0,-0.049315051834064705,False,False,0
6488,564,683,0,0,0,-0.030732844275881743,False,False,0
6510,564,683,0,0,0,-0.08455954054574599,False,False,0
8049,564,683,0,0,0,-0.066666654748744,False,False,0
8358,564,683,0,0,0,-0.1339286113626632,False,False,0
8383,564,683,0,0,0,-0.07888154659042412,False,False,0
9938,564,683,0,0,0,-0.038048806957133974,False,False,0
3105,584,703,0,0,0,-0.007246364341543687,False,False,0
3532,584,703,0,0,0,-0.17114090530611759,False,False,0
4147,584,703,0,0,0,-0.04324329089449008,False,False,0
4721,584,703,0,0,0,-0.04535149364807689,False,False,0
5289,584,703,0,0,0,-0.07536235610650444,False,False,0
8464,584,703,0,0,0,-0.06929470978178665,False,False,0
1597,607,726,0,0,0,0.0,False,False,0
2049,607,726,0,0,0,-0.007444166208699032,False,False,0
2344,607,726,0,0,0,-0.019337053235644497,False,False,0
3227,607,726,0,0,0,0.0,False,False,0
3323,607,726,0,0,0,0.0,False,False,0
3515,607,726,0,0,0,0.0,False,False,0
3580,607,726,0,0,0,-8.566401136433921e-05,False,True,7
3665,607,726,0,0,0,-0.04096381895096901,False,False,0
4129,607,726,0,0,0,-0.04060644276419956,False,False,0
4502,607,726,0,0,0,0.0,False,False,0
4968,607,726,0,0,0,-0.14977163956056427,False,False,0
4974,607,726,0,0,0,-0.0862944005773012,False,False,0
6156,607,726,0,0,0,-0.2995352165422205,False,False,0
6409,607,726,0,0,0,-0.007014046554411846,False,False,0
6510,607,726,0,0,0,-0.24386143908016888,False,False,0
1597,628,747,0,0,0,-0.07560138049870291,False,False,0
1707,628,747,0,0,0,-0.10704961375022337,False,False,0
2344,628,747,0,0,0,0.0,False,False,0
2356,628,747,0,0,0,-0.08091288040574651,False,False,0
2376,628,747,0,0,0,-0.03092786225222377,False,False,0
2395,628,747,0,0,0,-0.14592280252816747,False,False,0
2399,628,747,0,0,0,-0.28571426681351686,False,False,0
2618,628,747,0,0,0,-0.027118643412896937,False,False,0
2890,628,747,0,0,0,-0.018907548918075334,False,False,0
3587,628,747,0,0,0,-0.30874305756614684,False,False,0
3665,628,747,0,0,0,-0.06472054148969042,False,False,0
4968,628,747,0,0,0,-0.28214283567604503,False,False,0
6239,628,747,0,0,0,-0.09371676509346982,False,False,0
6414,628,747,0,0,0,-0.08637877979971897,False,False,0
6415,628,747,0,0,0,-0.01669440814420864,False,False,0
9951,628,747,0,0,0,-0.13315872417576202,False,False,0
2328,651,770,0,0,0,-0.2352940980978373,False,False,0
4916,651,770,0,0,0,-0.08333335089338889,False,False,0
5269,651,770,0,0,0,-0.11890248035883288,False,False,0
6239,651,770,0,0,0,-0.07096073791857249,False,False,0
6510,651,770,0,0,0,-0.30462630911345545,False,False,0
9941,651,770,0,0,0,-0.0604651212810251,False,False,0
1301,673,792,0,0,0,-0.006578857938063454,False,False,0
1303,673,792,0,0,0,-0.008108148192202624,False,False,0
1312,673,792,0,0,0,-0.04506439319843358,False,False,0
1565,673,792,0,0,0,0.0,False,False,0
1710,673,792,0,0,0,-0.014112897911879196,False,False,0
