sid,entry_pos,exit_pos,n1d_30,n1d_20,n1d_10,cum_min,delisted,halted,max_gap
1314,523,642,0,0,0,-0.1153846607647574,False,False,0
6274,523,642,0,0,0,-0.0024038975170442844,False,False,0
3546,523,642,0,0,0,-0.04161409548262596,False,False,0
6173,523,642,0,0,0,-0.025641069125966198,False,False,0
2103,523,642,0,0,0,-0.13547490880182045,False,False,0
3529,523,642,0,0,0,-0.12441309868298289,False,False,0
3016,523,642,0,0,0,-0.06561078483622396,False,False,0
6462,523,642,0,0,0,-0.3360161312959875,False,False,0
6239,651,770,0,0,0,-0.07096073791857249,False,False,0
5269,651,770,0,0,0,-0.11890248035883288,False,False,0
2328,651,770,0,0,0,-0.2352940980978373,False,False,0
9941,651,770,0,0,0,-0.0604651212810251,False,False,0
6510,651,770,0,0,0,-0.30462630911345545,False,False,0
4916,651,770,0,0,0,-0.08333335089338889,False,False,0
1565,673,792,0,0,0,0.0,False,False,0
2439,673,792,0,0,0,-0.17098450650876407,False,False,0
2881,770,889,0,0,0,-0.01771657157078177,False,False,0
6173,770,889,0,0,1,-0.026345928481718905,False,False,0
1303,770,889,0,0,0,-0.0025542676216573357,False,False,0
3532,770,889,0,0,0,-0.14556104822089044,False,False,0
6488,770,889,0,0,0,-0.08758806904101113,False,False,0
2327,770,889,0,0,0,0.0,False,False,1
4739,793,912,0,0,0,-0.39419166648605464,False,False,0
3016,793,912,0,0,0,-0.04432136979930068,False,False,0
3596,898,1017,0,0,0,-0.2659054092893436,False,False,0
6239,898,1017,0,0,0,-0.27990973554951404,False,False,0
2612,898,1017,0,0,0,-0.17820322357529916,False,False,0
5299,898,1017,0,0,0,-0.42566091372329873,False,False,0
6173,898,1017,0,0,1,-0.5171122809623402,False,False,0
1314,898,1017,0,0,0,-0.2259258801629459,False,False,0
4942,917,1036,0,0,0,-0.20000003851951031,False,False,0
2345,917,1036,0,0,0,-0.11412428270264685,False,False,0
3293,1036,1155,0,0,0,-0.004975196136090987,False,False,0
1795,1036,1155,0,0,0,-0.22251081827460273,False,False,0
2231,1056,1175,0,0,0,-0.17128021532133408,False,False,0
6451,1056,1175,0,0,0,-0.2721991946296499,False,False,0
4107,1056,1175,0,0,0,-0.043478311627164756,False,False,0
5871,1056,1175,0,0,0,-0.14285711488529917,False,False,0
4977,1056,1175,0,0,0,-0.16751785508241823,False,False,0
6552,1056,1175,0,0,0,-0.38380282765026796,False,False,0
5274,1160,1279,0,0,0,-0.007672642392604012,False,False,0
6217,1160,1279,0,0,0,-0.5222513089005236,False,False,0
4728,1181,1300,0,0,0,-0.41836734693877553,False,False,0
3406,1181,1300,0,0,1,-0.33593748105414223,False,False,0
1589,1181,1300,0,0,0,-0.237947109006575,False,False,0
2379,1181,1300,0,0,0,-0.27678572263514734,False,False,0
6462,1181,1300,0,0,0,-0.5415094385692745,False,False,0
4551,1181,1300,0,0,0,-0.5391813220264804,False,False,0
4167,1280,1399,0,0,0,-0.03846155750463609,False,False,0
6561,1280,1399,0,0,0,-0.056239073168480425,False,False,0
3293,1300,1419,0,0,0,-0.047169853248005156,False,False,0
6213,1300,1419,0,0,0,-0.16666060525352244,False,False,0
5269,1300,1419,0,0,0,-0.007042203745058262,False,False,0
3661,1300,1419,0,0,0,0.0,False,False,0
5215,1300,1419,0,0,0,-0.07793924468979685,False,False,0
3324,1320,1439,0,0,0,-0.04678361960850297,False,False,0
5474,1406,1525,0,0,0,-0.43478258633135713,False,False,0
2352,1406,1525,0,0,0,-0.002666584178079745,False,False,0
2330,1425,1544,0,0,0,0.0,False,False,0
1802,1425,1544,0,0,0,-0.0038610214783476593,False,False,0
6415,1425,1544,0,0,0,0.0,False,False,0
4760,1425,1544,0,0,0,-0.035386632938047,False,False,0
3708,1425,1544,0,0,0,-0.19018405743339284,False,False,0
6165,1446,1565,0,0,0,-0.5364077522986973,False,False,0
2344,1543,1662,0,0,0,-0.2826766864804222,False,False,0
4576,1543,1662,0,0,0,-0.28535378234372366,False,False,0
5299,1564,1683,0,0,1,-0.009933777543823297,False,False,0
5351,1564,1683,0,0,0,-0.017612519287037443,False,False,0
2006,1564,1683,0,0,0,-0.2561127222233639,False,False,0
6239,1564,1683,0,0,0,-0.07863214082324144,False,False,0
2460,1564,1683,0,0,0,-0.43273229181179396,False,False,0
2449,1585,1704,0,0,0,-0.11670580062717884,False,False,0
3508,1669,1788,0,0,0,-0.050000000000000044,False,False,0
2363,1669,1788,0,0,0,-0.12345677522691656,False,False,0
6706,1691,1810,0,0,0,-0.2846715080195761,False,False,0
