date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2023-04-13,5347,0,434000,0,0,434000,409745566,37830555,412000,92000,0,38150555,1484906,
2023-04-13,5351,5194000,19000,516000,1000,4696000,71052953,21200591,116000,472000,0,20844591,2117266,
2023-04-13,5353,235000,112000,8000,0,339000,18750000,704000,132000,5000,0,831000,1471932,
2023-04-13,5355,0,0,0,0,0,0,0,0,0,0,0,0,XV
2023-04-13,5356,0,0,0,0,0,25760000,219000,0,0,0,219000,16401,
2023-04-13,5371,0,7000,0,0,7000,97745277,5296000,5000,76000,0,5225000,702626,
2023-04-13,5381,0,0,0,0,0,0,0,0,0,0,0,0,XV
2023-04-13,5383,0,0,0,0,0,0,0,0,0,0,0,0,XV
2023-04-13,5386,2000,1000,0,0,3000,6690238,422350,0,0,0,422350,70327,
2023-04-13,5392,0,0,0,0,0,42490997,580290,0,5000,0,575290,65913,
2023-04-13,5398,0,0,0,0,0,12487615,28000,0,0,0,28000,8409,
2023-04-13,5403,0,0,0,0,0,18580749,146107,0,0,0,146107,125540,
2023-04-13,5410,105000,90000,0,0,195000,22216530,1974000,28000,0,0,2002000,382069,
2023-04-13,5425,1011000,0,964000,7000,40000,64186121,6690000,779000,80000,0,7389000,5529735,X
2023-04-13,5426,5000,0,5000,0,0,35950000,643000,0,0,0,643000,152279,
2023-04-13,5432,0,3000,0,0,3000,5171951,20000,0,0,0,20000,24941,
2023-04-13,5438,0,0,0,0,0,28134141,68000,0,0,0,68000,33489,
2023-04-13,5439,17000,0,17000,0,0,23243938,649521,1000,20000,0,630521,495165,X
2023-04-13,5443,13000,0,13000,0,0,41284036,568000,1000,0,0,569000,141172,X
2023-04-13,5450,3000,0,1000,0,2000,30598062,140000,0,2000,0,138000,411733,
2023-04-13,5452,37000,0,20000,0,17000,37190917,858000,0,0,0,858000,701043,X
2023-04-13,5455,0,0,0,0,0,0,0,0,0,0,0,0,XV
2023-04-13,5457,0,14000,0,0,14000,42716125,3345000,0,83000,0,3262000,507226,
2023-04-13,5460,0,0,0,0,0,14694532,34000,0,0,0,34000,15090,
2023-04-13,5464,28000,8000,1000,1000,34000,17767872,259000,0,1000,0,258000,617359,X
2023-04-13,5465,0,61000,0,0,61000,20554853,312000,0,0,0,312000,799684,
2023-04-13,5468,0,0,0,0,0,0,0,0,0,0,0,0,XV
2023-04-13,5474,0,0,0,0,0,10088986,92000,0,1000,0,91000,47058,X
2023-04-13,5475,0,0,0,0,0,0,83000,0,0,0,83000,528844,X
2023-04-13,5478,9000,3000,0,0,12000,31868583,422000,0,0,0,422000,148274,
2023-04-13,5481,0,0,0,0,0,18350722,86000,0,0,0,86000,21787,
2023-04-13,5483,220000,14000,185000,0,49000,146555412,6705000,54000,37000,0,6722000,1034868,X
2023-04-13,5487,0,0,0,0,0,6030629,21000,0,0,0,21000,5350,
2023-04-13,5488,0,0,0,0,0,0,0,0,0,0,0,0,XV
2023-04-13,5489,0,0,0,0,0,25676610,76000,0,0,0,76000,44546,
2023-04-13,5490,0,2000,0,0,2000,24039050,192000,0,0,0,192000,57474,
2023-04-13,5493,0,0,0,0,0,10402203,39000,0,0,0,39000,13740,
2023-04-13,5498,0,0,0,0,0,43197537,1750850,0,0,0,1750850,148723,
2023-04-13,5508,17000,0,0,0,17000,54357033,528000,0,0,0,528000,65317,
2023-04-13,5511,0,0,0,0,0,28360000,83000,0,0,0,83000,24688,
2023-04-13,5512,0,0,0,0,0,185998178,8299000,169000,0,0,8468000,2153304,
2023-04-13,5514,0,0,0,0,0,54056382,930,0,0,0,930,2030,
2023-04-13,5516,0,0,0,0,0,11373615,57560,0,0,0,57560,59150,
2023-04-13,5520,0,0,0,0,0,14993811,9000,0,0,0,9000,2979,
2023-04-13,5523,0,0,0,0,0,38750366,44000,0,0,0,44000,16382,
2023-04-13,5529,0,0,0,0,0,0,0,0,0,0,0,0,XV
2023-04-13,5530,0,0,0,0,0,99771049,1471000,0,0,0,1471000,99141,
2023-04-13,5536,12000,0,0,0,12000,30069366,460000,2000,5000,0,457000,282046,
2023-04-13,5543,0,0,0,0,0,9326114,13000,0,1000,0,12000,4636,
2023-04-13,5601,0,0,0,0,0,16200000,13000,0,0,0,13000,14963,
2023-04-13,5603,16000,0,0,0,16000,26219151,818260,0,0,0,818260,134483,
2023-04-13,5604,0,0,0,0,0,27195742,88000,0,0,0,88000,7088,
2023-04-13,5609,11000,0,0,0,11000,34020000,1304000,9000,12000,0,1301000,157056,
2023-04-13,5701,0,0,0,0,0,0,0,0,0,0,0,0,XV
2023-04-13,5703,0,0,0,0,0,0,0,0,0,0,0,0,XV
2023-04-13,5704,67000,0,10000,0,57000,9715414,28000,0,5000,0,23000,164897,
2023-04-13,5864,0,0,0,0,0,66711059,412380,0,0,0,412380,165484,
2023-04-13,5902,0,0,0,0,0,10137930,131000,0,0,0,131000,22988,
2023-04-13,5903,0,0,0,0,0,55805000,48000,0,0,0,48000,26454,
