date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2017-07-24,006201,0,0,0,0,0,5611500,0,0,0,0,0,16310,
2017-07-24,00679B,0,0,0,0,0,160298000,0,0,0,0,0,970859,
2017-07-24,00687B,0,0,0,0,0,30946750,0,0,0,0,0,695539,
2017-07-24,00694B,0,0,0,0,0,1394000,0,0,0,0,0,557600,X
2017-07-24,00695B,0,0,0,0,0,1546500,0,0,0,0,0,568302,X
2017-07-24,00696B,0,0,0,0,0,1170250,0,0,0,0,0,468100,X
2017-07-24,00697B,0,0,0,0,0,3678000,0,0,0,0,0,502704,
2017-07-24,1258,0,0,0,0,0,9204114,0,0,0,0,0,12463,X
2017-07-24,1259,0,0,0,0,0,8097375,0,0,0,0,0,11945,
2017-07-24,1264,4000,0,0,0,4000,7658175,0,0,0,0,0,19638,
2017-07-24,1333,0,0,0,0,0,12765093,0,0,0,0,0,7917,X
2017-07-24,1336,3356000,767000,46000,0,4077000,15691323,91000,0,0,0,91000,545453,
2017-07-24,1565,26000,0,0,0,26000,12604129,481000,0,0,0,481000,74270,
2017-07-24,1566,0,0,0,0,0,16616757,0,0,0,0,0,34749,X
2017-07-24,1569,1047000,16000,121000,0,942000,25179434,545000,10000,0,0,555000,835436,
2017-07-24,1570,0,0,0,0,0,12875209,0,0,0,0,0,21707,
2017-07-24,1580,7000,0,0,0,7000,12132908,9000,0,0,0,9000,45870,
2017-07-24,1584,36000,0,13000,0,23000,20617633,404070,0,0,0,404070,360310,
2017-07-24,1586,244000,41000,0,0,285000,17607597,209000,0,0,0,209000,199846,
2017-07-24,1593,0,0,0,0,0,7576412,0,0,0,0,0,5809,X
2017-07-24,1595,62000,0,7000,0,55000,10155455,105501,0,0,0,105501,69129,
2017-07-24,1597,14000,0,0,14000,0,15511372,31000,0,0,0,31000,898489,X
2017-07-24,1599,134000,0,0,0,134000,12931899,0,0,0,0,0,24680,
2017-07-24,1742,0,0,0,0,0,16172631,0,0,0,0,0,26475,X
2017-07-24,1752,43000,0,0,0,43000,25247118,151000,0,0,0,151000,64566,
2017-07-24,1777,0,0,0,0,0,7514887,10000,0,0,0,10000,7467,X
2017-07-24,1781,0,0,0,0,0,11851901,0,0,0,0,0,22858,X
2017-07-24,1784,31000,49000,0,0,80000,12422231,111750,0,0,0,111750,180496,
2017-07-24,1785,0,0,0,0,0,101383086,1251000,0,0,0,1251000,436388,X
2017-07-24,1787,9000,0,0,0,9000,18001126,11000,0,0,0,11000,64530,
2017-07-24,1788,0,0,0,0,0,8750000,56000,0,0,0,56000,8555,
2017-07-24,1795,70000,0,10000,0,60000,21847936,4200000,11000,0,0,4211000,221782,
2017-07-24,1799,290000,0,0,0,290000,14394266,41000,2000,0,0,43000,178833,
2017-07-24,1813,0,0,0,0,0,11658877,0,0,0,0,0,7552,
2017-07-24,1815,0,0,0,0,0,109314931,2158869,0,274000,0,1884869,1022749,
2017-07-24,2035,0,0,0,0,0,87500000,0,0,0,0,0,1861,
2017-07-24,2061,0,0,0,0,0,15518769,0,0,0,0,0,29878,Y
2017-07-24,2063,0,0,0,0,0,11250000,0,0,0,0,0,4612,
2017-07-24,2064,0,0,0,0,0,17500000,0,0,0,0,0,5107,
2017-07-24,2066,5000,0,0,0,5000,9125717,0,0,0,0,0,16145,
2017-07-24,2221,19000,0,2000,0,17000,10606250,3000,0,0,0,3000,213838,
2017-07-24,2230,0,0,0,0,0,9904334,0,0,0,0,0,69005,
2017-07-24,2233,31000,12000,3000,0,40000,12303691,464000,7000,0,0,471000,208693,
2017-07-24,2235,0,0,0,0,0,7969500,0,0,0,0,0,3630,
2017-07-24,2596,19000,0,0,0,19000,24345307,0,0,0,0,0,96809,
2017-07-24,2640,0,0,0,0,0,11608911,4000,0,0,0,4000,42116,
2017-07-24,2641,34000,1000,0,0,35000,46252883,244000,0,0,0,244000,165381,
2017-07-24,2719,0,0,0,0,0,9073000,0,0,0,0,0,46122,
2017-07-24,2726,2000,0,0,0,2000,7697838,0,0,0,0,0,76004,
2017-07-24,2732,7000,25000,0,0,32000,8440658,27000,0,0,0,27000,69679,
2017-07-24,2734,41000,1000,0,0,42000,7564940,0,0,0,0,0,87615,
2017-07-24,2736,0,0,0,0,0,12248095,0,0,0,0,0,4432,
2017-07-24,2916,0,0,0,0,0,11609219,0,0,0,0,0,24002,
2017-07-24,2924,2000,0,2000,0,0,8501293,0,0,0,0,0,34818,
2017-07-24,2926,0,0,0,0,0,11847412,0,0,0,0,0,11365,
2017-07-24,2928,6000,19000,6000,0,19000,11825288,0,0,0,0,0,51781,
2017-07-24,3064,0,0,0,0,0,18026285,0,0,0,0,0,9367,X
2017-07-24,3066,0,0,0,0,0,19392653,0,0,0,0,0,10004,X
2017-07-24,3068,35000,2000,1000,0,36000,21242601,0,0,0,0,0,125906,
