sigret_q,訊號數,M0漲停開盤,M0_成交率,M0_E,M0p_成交率,M0p_E,L1_成交率,L1_E,L2_成交率,L2_E,L3_成交率,L3_E,D_L1,D_L2,D_L3,M0p−M0
中,960,0,1.0,0.14791529360184236,1.0,0.14791529360184236,0.6864583333333333,0.07687438687943467,0.55625,0.06428944617039603,0.4479166666666667,0.06028708734554893,-0.07104090672240769,-0.08362584743144633,-0.08762820625629342,0.0
低,961,0,1.0,0.175027608564927,1.0,0.175027608564927,0.8220603537981269,0.1096277729853452,0.7117585848074922,0.09839296718060908,0.6149843912591051,0.08460030757079127,-0.06539983557958179,-0.07663464138431791,-0.09042730099413572,0.0
高,960,1,0.9989583333333333,0.13201561291183894,1.0,0.13265406285741216,0.76875,0.07354671362367252,0.653125,0.06578975699444818,0.53125,0.04822236551894387,-0.058468899288166426,-0.06622585591739076,-0.08379324739289506,0.0006384499455732162
