year,訊號數,M0漲停開盤,M0_成交率,M0_E,M0p_成交率,M0p_E,L1_成交率,L1_E,L2_成交率,L2_E,L3_成交率,L3_E,D_L1,D_L2,D_L3,M0p−M0
2017,163,0,1.0,0.009121646718323056,1.0,0.009121646718323056,0.7361963190184049,0.002439804129073035,0.588957055214724,-0.0009577063252432317,0.4662576687116564,0.003011450454245743,-0.006681842589250021,-0.010079353043566289,-0.006110196264077313,0.0
2018,248,0,1.0,-0.02536316475392692,1.0,-0.02536316475392692,0.875,-0.02017909351063229,0.782258064516129,-0.01647339469211219,0.6975806451612904,-0.020718474301384897,0.005184071243294633,0.008889770061814732,0.004644690452542025,0.0
2019,191,0,1.0,0.027089443081311643,1.0,0.027089443081311643,0.680628272251309,0.018072561204894373,0.4973821989528796,0.02116112697769802,0.32460732984293195,0.017056214478550498,-0.00901688187641727,-0.005928316103613624,-0.010033228602761145,0.0
2020,319,0,1.0,0.017061010345335425,1.0,0.017061010345335425,0.48589341692789967,-0.0024882110527268656,0.3322884012539185,-0.001676500907654204,0.23824451410658307,-0.002609963079166398,-0.01954922139806229,-0.018737511252989628,-0.019670973424501824,0.0
2021,612,0,1.0,0.020762533117213506,1.0,0.020762533117213506,0.7810457516339869,0.009766298719286885,0.6862745098039216,0.009375439276088072,0.6062091503267973,0.010294214958396043,-0.010996234397926621,-0.011387093841125434,-0.010468318158817463,0.0
2022,391,0,1.0,-0.029853124002364742,1.0,-0.029853124002364742,0.8005115089514067,-0.015392088885445375,0.6854219948849105,-0.011123446574788929,0.5601023017902813,-0.009860750942820289,0.014461035116919367,0.018729677427575815,0.019992373059544453,0.0
2023,179,0,1.0,0.017604783927383773,1.0,0.017604783927383773,0.6703910614525139,-0.0022259129796354327,0.5307262569832403,-0.00130713789791879,0.4022346368715084,-0.0014604673627703648,-0.019830696907019205,-0.018911921825302564,-0.01906525129015414,0.0
2024,291,0,1.0,-0.003116066915857981,1.0,-0.003116066915857981,0.8625429553264605,0.002823539743659217,0.7319587628865979,0.004924405869332508,0.6254295532646048,0.013798315396757063,0.005939606659517198,0.008040472785190489,0.016914382312615044,0.0
2025,347,1,0.9971181556195965,0.027626894262139504,1.0,0.027363561939979637,0.7982708933717579,0.025082960005395345,0.6974063400576369,0.031699422175263114,0.553314121037464,0.025130023377607794,-0.0025439342567441584,0.004072527913123611,-0.00249687088453171,-0.0002633323221598663
2026,140,0,1.0,0.01669733957883986,1.0,0.01669733957883986,0.9,0.032047608392413,0.8285714285714286,0.024901206547686298,0.7714285714285715,0.02772393651078098,0.015350268813573143,0.008203866968846438,0.011026596931941121,0.0
