檔數N,年化中位,回落中位,比值,標籤（對0050）,深淺註,年化p10,年化p90,回落p10,回落p90,年化波動中位,交易筆數中位,現金比例均值中位,100萬放滿主窗中位（萬；eq[w1]÷eq[w0]）,同顆種子_兩項皆好於N10,同顆種子_兩項皆差於N10
10,0.394406557221616,-0.3894268315113051,1.0127873205114948,合格,回落比 0050 深 4.99 點、報酬多 15.42 點,0.3620790537280488,0.4247953947014781,-0.44103476018866106,-0.36195043806648153,0.28416015707833947,163.0,0.17896983671071015,2307.566057447447,0,0
20,0.31835948731524977,-0.40998284433833443,0.7765190463738688,合格,回落比 0050 深 7.04 點、報酬多 7.82 點,0.29907826577186086,0.3390689611830333,-0.42601555356265425,-0.393868338169426,0.25579861265248516,313.0,0.20748541015969524,1358.9939566878452,1,139
30,0.2577417125914069,-0.42671293243636355,0.6040166421012898,另列,,0.24247047407686734,0.27126228901699884,-0.4385092903684295,-0.4122892758976917,0.24714993033194527,457.0,0.227062813049541,871.414482005759,0,156
