N,r,seed,cagr,mdd,vol,first,end,trades,eq_sha,cash_mean,cash_med,tot
10,0,1000,0.4245474925809207,-0.3779174551837645,0.2858868790271357,526,2859,163,ea98c4b878bf35b6,0.17853494336597603,0.023013642223900233,28.238114485039087
10,1,1001,0.37154827317964134,-0.4450722379745732,0.28306297149907655,526,2859,163,469805073227539f,0.17999471050346308,0.03338241493527505,19.741710150128085
10,2,1002,0.4371455969386213,-0.3407715731344233,0.2840347252652851,526,2859,163,6d062c39413a87fd,0.17859308525052073,0.030550170708850244,30.685685395484285
10,3,1003,0.37964691804997663,-0.3716907206603616,0.28073781645355544,526,2859,163,b00d91851d0521b7,0.17930794835801142,0.02912466184645235,20.87005495546447
10,4,1004,0.36110753129829765,-0.40915949898760773,0.27997285947448525,526,2859,163,28a9be99e60f0998,0.18061109830854288,0.03226950249776672,18.3676631261233
10,5,1005,0.3629288658238661,-0.3772896807240475,0.27867203222853704,526,2859,163,862ff0904ad997e4,0.18122017494700493,0.03326581787356442,18.601016778135573
10,6,1006,0.40608065576235286,-0.3759275163057537,0.28913826393343656,526,2859,163,7309dca4cfa70448,0.17898449347927553,0.031044766285482583,24.965336746502796
10,7,1007,0.38850567796269675,-0.4418143661252927,0.2850051870461571,526,2859,163,3bf29e8500eae651,0.18065557035463412,0.035285820084921427,22.170029763188374
10,8,1008,0.3999006422506848,-0.3732840193676708,0.2877319401454195,526,2859,163,6815546863fd0aef,0.17595366451645664,0.027202249035064963,23.94842472236091
10,9,1009,0.3890721412723608,-0.3610793738076328,0.28160418175091506,526,2859,163,61edec561b1b61fb,0.1795727741484319,0.028793814081491176,22.25556554395592
10,10,1010,0.37484851618420567,-0.41876211344399256,0.28431624802512967,526,2859,163,2b785c59ff968961,0.177822456906093,0.03205121297991853,20.194757307818726
10,11,1011,0.4282380395346925,-0.3770291882845814,0.2841464246191341,526,2859,163,5f55e7c7437c0c06,0.17807580975241505,0.028112633343898352,28.93636624419042
10,12,1012,0.37413571440142324,-0.3724641373437118,0.2811078066519777,526,2859,163,dd62f2d351f01d6b,0.18090681674272965,0.03495297121242291,20.09612663067202
10,13,1013,0.391500024738062,-0.38426392662825415,0.28225390298744346,526,2859,163,2e8c448105dcbf82,0.17897537666169444,0.03485044118871472,22.625527368157417
10,14,1014,0.4073073240690659,-0.3665960686001029,0.28962945227655645,526,2859,163,891c683fd70a2fa5,0.17903595779567746,0.037047984488729924,25.17171476110888
10,15,1015,0.360432874522564,-0.3906959783862837,0.2785772826468421,526,2859,163,94defc8ca9e705b0,0.17839165342665778,0.028742297001617567,18.281891121329544
10,16,1016,0.39390087801270046,-0.3944711386690046,0.2817924590165112,526,2859,163,26c08cd917c69049,0.17915252005681737,0.02418324141329775,22.99676766068146
10,17,1017,0.3897347216020439,-0.37203184493706437,0.28360355612616406,526,2859,163,3dff5e8e187fac5d,0.18038062972712687,0.03205547395046193,22.355989276375887
10,18,1018,0.44329784876785694,-0.3920102707555435,0.28957817637005767,526,2859,163,c53a2ae91b0cc673,0.177996067305299,0.028589951767630795,31.948493891484986
10,19,1019,0.4270265137864946,-0.3686267060008421,0.28745870392011996,526,2859,163,88ddd13268885d72,0.17910345157924348,0.03089286537589442,28.70546232964338
10,20,1020,0.37951550194193917,-0.43262467650861774,0.28470835659506155,526,2859,163,eadcc4f8ad1b6092,0.1788191682731238,0.029975338368743,20.851294680335183
10,21,1021,0.41010389844611916,-0.38973244196571505,0.2869963437517541,526,2859,163,928169f049abeb76,0.17860253539814527,0.03441686617904771,25.647931603818638
10,22,1022,0.3979041891863262,-0.39500040320697294,0.2841640222294046,526,2859,163,cdcc39ff96d1f3b5,0.1780117529944937,0.028801780019947487,23.62791898811383
10,23,1023,0.4093027490233616,-0.40461017483688644,0.28522280526960564,526,2859,163,4316ae5cb8551769,0.17779471115096,0.03537866373086673,25.51069082796382
10,24,1024,0.4335305939990399,-0.3612069657591807,0.2876298960036636,526,2859,163,552226ac3b3867d6,0.17941424802701245,0.02432174706220347,29.96466577215451
10,25,1025,0.37388946208296403,-0.3732840193531702,0.285823636787001,526,2859,163,2ac809f040360f09,0.1785738686501364,0.03266229130750986,20.06215282765575
10,26,1026,0.3593853455267706,-0.38339115521215794,0.28220908583731336,526,2859,163,b881b15a7c429c6e,0.17958480169603872,0.029731640802109438,18.14942382355407
10,27,1027,0.38080301476718215,-0.3517023880486701,0.28087277527618854,526,2859,163,ea5e7eb2ab7d3bc4,0.18097253276195957,0.03193436650055004,21.035744741398993
10,28,1028,0.3607061663843001,-0.3581349649245083,0.2814675902457525,526,2859,163,ea2544c525d4dc08,0.17895260688889375,0.030110920902716276,18.316592639790706
10,29,1029,0.36719567073015846,-0.38338340954816774,0.2835927384874319,526,2859,163,adffa0c721505d8d,0.18000426086020102,0.03502692142376029,19.158100604546675
10,30,1030,0.403933891762873,-0.40867252197196496,0.28800208655847054,526,2859,163,7246dbe19ea4c180,0.17837347213406593,0.03362947078586065,24.607797095312684
10,31,1031,0.4292109634439303,-0.33944967995568565,0.28221384379962494,526,2859,163,d04d77a1223f6e1c,0.17898191968556718,0.036001402541050886,29.122995926888922
10,32,1032,0.41243142610161754,-0.38249029219862807,0.2874644512819313,526,2859,163,2cccc36997264a53,0.1793233085114421,0.03616637257910171,26.05040101046488
10,33,1033,0.4090768573982624,-0.44504325515532245,0.2866503938240088,526,2859,163,fe9643630ab2ad62,0.17786259089453346,0.03821800796255681,25.472113350374414
10,34,1034,0.362647613297316,-0.44346407307781976,0.28196865322532616,526,2859,163,31571d367a921fb5,0.17982512323282043,0.032783414657272636,18.56480988423586
10,35,1035,0.4087363667005195,-0.37121485570254525,0.2843087064733352,526,2859,163,264942beb4c0807a,0.17887698478461267,0.03340222432316331,25.414063349281673
10,36,1036,0.41935304870362167,-0.43297562631252323,0.2845983796128814,526,2859,163,ed1a7c98e62d34c5,0.1775824574198251,0.02333191390182754,27.28084771742926
10,37,1037,0.39639226097943947,-0.3849305148018943,0.28627614802120327,526,2859,163,15a5a4ab6959a650,0.18018618143284215,0.036705671970059695,23.387755394351824
10,38,1038,0.4210208210665136,-0.37383347601248357,0.2915022859662676,526,2859,163,19e7d9c21295f3ee,0.17655537313595343,0.02679120597474538,27.58498410409718
10,39,1039,0.35610718326343593,-0.42163057486857625,0.2814227384281008,526,2859,163,e9196bd82d97a7c6,0.18054033737204592,0.03391233729767895,17.740404178504686
10,40,1040,0.39702819693561664,-0.3731041245996695,0.28923178339538114,526,2859,163,b5afd08227e4ac49,0.17815654663487787,0.02926197176893164,23.488503968209503
10,41,1041,0.41927291291317514,-0.3919284451111631,0.288446991493377,526,2859,163,ab9e51d77f97d5dc,0.17678247486436138,0.032310937977533705,27.266309872981836
10,42,1042,0.40736121037860995,-0.4099038281341802,0.28500039139394784,526,2859,163,81b73b41fc50cacb,0.1800118835841355,0.03835360532326704,25.18081561259404
10,43,1043,0.42370658285503104,-0.3868914312498698,0.28719816258367104,526,2859,163,f29a343b3f9a40d1,0.17812490058927852,0.027723499665468943,28.081137507632093
10,44,1044,0.39208143293413045,-0.4535599757619948,0.2828120850657429,526,2859,163,4fb969c9164523ce,0.17997202162944712,0.03444706457201763,22.714934496581574
10,45,1045,0.39771235385102544,-0.39086254187636826,0.286961378824834,526,2859,163,62e80145e0300063,0.17685828585506275,0.03475008375677857,23.59732509793655
10,46,1046,0.41064720416596856,-0.3916417679476996,0.2828425296157739,526,2859,163,e99c50a4e1f8f72f,0.1789838127897807,0.029793059033307534,25.74137774385371
10,47,1047,0.41290612045627495,-0.3948076260361124,0.28134240581365083,526,2859,163,71cad1261710703e,0.18065806952546667,0.0251739378285899,26.133173637634023
10,48,1048,0.3782494841590234,-0.3962826285762002,0.28205645525879486,526,2859,163,9169395e50fe3efa,0.17943702672586517,0.028586322823538457,20.671335392182012
10,49,1049,0.42418616385140573,-0.38408481285276175,0.2864723402054756,526,2859,163,f397eb3b98048894,0.17699561814685383,0.028274733179457057,28.170567504056567
