pool,metric,median,p10,p90,n_month
門檻B,ov_weight,0.0,0.0,0.05873529681931071,113
參考C,ov_weight,0.0,0.0,0.1083317315347542,113
門檻B,ov_count,0.0,0.0,0.25,113
參考C,ov_count,0.0,0.0,0.25,113
