date,stock_id,pre_close,ref_price,reason,open_base,ex_ref_price,source
2020-10-19,3339,5.76,12.8,彌補虧損,12.8,0.0,finmind
2020-10-19,3632,8.5,12.08,彌補虧損,12.1,0.0,finmind
2020-10-19,4153,27.2,30.62,現金減資,30.6,0.0,finmind
