date,stock_id,pre_close,ref_price,reason,open_base,ex_ref_price,official_factor,source
2019-01-14,5317,43.6,50.89,現金減資,,,1.16727355,revivt
2019-01-14,8906,10.7,16.13,彌補虧損,,,1.50784077,revivt
