date,stock_id,pre_close,ref_price,reason,open_base,ex_ref_price,official_factor,source
2015-12-31,3141,19.3,25.41,現金減資,,,1.31634946,revivt
2015-12-31,6248,22.85,25.44,彌補虧損,,,1.11351879,revivt
