date,stock_id,pre_close,ref_price,reason,open_base,ex_ref_price,source
2020-01-13,3073,5.2,9.76,彌補虧損,9.76,0.0,finmind
2020-01-13,3086,7.06,32.18,彌補虧損,32.2,0.0,finmind
