date,stock_id,pre_close,ref_price,value,kind,open_base
2026-07-29,1540,20.75,19.75,1.000000,息,19.75
2026-07-29,2009,36.75,36.35,0.400000,息,36.35
2026-07-29,2402,55.00,53.00,2.000000,息,53.00
2026-07-29,2482,17.25,17.15,0.100000,息,17.15
2026-07-29,2836,13.00,12.47,0.524753,權息,12.45
2026-07-29,4942,36.65,34.65,2.000000,息,34.65
2026-07-29,5871,120.00,111.96,8.039215,權息,112.00
2026-07-29,5871A,103.00,98.82,4.179463,息,98.80
2026-07-29,6689,59.10,57.10,2.000000,息,57.10
2026-07-29,6715,360.00,355.94,4.055467,權,360.00
