date,stock_id,pre_close,ref_price,value,kind,open_base
2019-08-23,1225,51.10,49.95,1.150000,息,49.95
2019-08-23,1516,15.25,14.58,0.666326,權,14.60
2019-08-23,1609,10.05,9.66,0.386539,權,9.66
2019-08-23,1709,13.15,12.65,0.497241,息,12.65
2019-08-23,1902,20.10,19.75,0.350000,息,19.75
2019-08-23,2114,89.20,80.19,9.009524,權息,80.20
2019-08-23,2338,27.20,26.36,0.834000,息,26.35
2019-08-23,2347,38.65,36.65,2.000000,息,36.65
2019-08-23,2484,21.65,20.20,1.450000,息,20.20
2019-08-23,2913,15.65,15.35,0.300000,息,15.35
2019-08-23,3622,18.30,17.80,0.500000,息,17.80
2019-08-23,4942,39.30,36.80,2.500000,息,36.80
2019-08-23,6183,37.00,35.34,1.660000,息,35.35
2019-08-23,6282,23.40,22.40,1.000000,息,22.40
2019-08-23,6552,100.00,98.00,2.000000,息,98.00
2019-08-23,9927,31.70,30.32,1.380000,息,30.30
