date,stock_id,pre_close,ref_price,value,kind,open_base
2024-07-02,1456,19.95,19.75,0.200000,息,19.75
2024-07-02,1612,39.05,37.05,2.000000,息,37.05
2024-07-02,1710,17.20,17.00,0.200000,息,17.00
2024-07-02,2303,56.90,53.89,3.000117,息,53.90
2024-07-02,2317,216.00,210.60,5.400000,息,210.50
2024-07-02,2344,25.50,25.32,0.177778,權,25.50
2024-07-02,2354,70.40,68.90,1.500000,息,68.90
2024-07-02,2429,38.90,29.15,9.743493,權,38.90
2024-07-02,2611,33.00,30.70,2.300000,息,30.70
2024-07-02,2820,15.60,14.87,0.730000,息,14.85
2024-07-02,2887E,52.80,50.42,2.375671,息,50.40
2024-07-02,2887F,47.35,45.45,1.900000,息,45.45
2024-07-02,2887Z1,16.70,16.04,0.653050,息,16.05
2024-07-02,3038,32.30,30.70,1.600000,息,30.70
2024-07-02,6285,157.00,151.00,5.996172,息,151.00
2024-07-02,6598,31.00,28.95,2.043248,權,31.00
2024-07-02,6672,84.40,81.05,3.350000,息,81.10
2024-07-02,6789,348.00,347.00,0.999066,息,347.00
2024-07-02,6952,50.90,49.90,1.000000,息,49.90
2024-07-02,8081,300.50,286.50,14.000000,息,286.50
2024-07-02,8271,67.30,64.15,3.150000,息,64.20
2024-07-02,910861,7.05,6.92,0.123450,息,6.92
2024-07-02,9902,16.50,16.20,0.300000,息,16.20
