date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down
2024-08-26,1324,13.20,13.00,0.200000,息,13.00,14.30,11.70
2024-08-26,1528,13.55,13.45,0.100000,息,13.45,14.75,12.15
2024-08-26,1539,24.25,23.65,0.600000,息,23.65,26.00,21.30
2024-08-26,1615,73.00,62.55,10.447552,權息,62.60,68.80,56.30
2024-08-26,2377,175.00,169.60,5.400000,息,169.50,186.50,153.00
2024-08-26,2426,19.05,18.85,0.200000,息,18.85,20.70,17.00
2024-08-26,2428,172.50,167.30,5.200000,息,167.50,184.00,151.00
2024-08-26,2484,30.50,29.00,1.500000,息,29.00,31.90,26.10
2024-08-26,2527,38.60,37.10,1.500000,息,37.10,40.80,33.40
2024-08-26,2538,20.60,19.90,0.700000,息,19.90,21.85,17.95
2024-08-26,3002,14.90,14.58,0.319519,息,14.60,16.00,13.15
2024-08-26,3027,37.70,37.33,0.369776,息,37.35,41.05,33.60
2024-08-26,4104,91.60,87.23,4.361905,權,87.20,95.90,78.60
2024-08-26,6168,22.00,21.50,0.500000,息,21.50,23.65,19.35
2024-08-26,6753,137.50,129.90,7.595239,權息,130.00,142.50,117.00
