date,stock_id,pre_close,ref_price,value,kind,open_base
2021-08-25,1709,20.60,19.40,1.200000,息,19.40
2021-08-25,1726,76.00,72.50,3.500000,息,72.50
2021-08-25,1776,20.45,19.44,1.000166,息,19.45
2021-08-25,2033,21.70,21.40,0.300000,息,21.40
2021-08-25,2038,42.90,42.40,0.500000,息,42.40
2021-08-25,2103,31.50,31.14,0.360000,息,31.15
2021-08-25,2412,115.50,111.19,4.306000,息,111.00
2021-08-25,2439,103.50,98.43,5.068069,息,98.40
2021-08-25,2495,15.85,15.55,0.300000,息,15.55
2021-08-25,2547,10.95,10.33,0.620000,息,10.35
2021-08-25,3413,215.50,208.51,6.983033,息,208.50
2021-08-25,5243,58.60,56.90,1.700000,息,56.90
2021-08-25,6108,22.00,21.50,0.500000,息,21.50
2021-08-25,6183,51.00,49.19,1.810000,息,49.20
2021-08-25,6715,116.50,114.00,2.500000,息,114.00
2021-08-25,9927,34.80,33.80,1.000000,息,33.80
