date,stock_id,pre_close,ref_price,value,kind,open_base
2026-06-02,00939,20.50,20.42,0.072000,息,20.42
2026-06-02,00946,15.32,15.26,0.058000,息,15.26
2026-06-02,00953B,9.58,9.51,0.061000,息,9.51
2026-06-02,00984D,10.10,10.01,0.085000,息,10.01
2026-06-02,00985B,10.15,10.10,0.048000,息,10.10
2026-06-02,1323,20.95,20.05,0.900000,息,20.05
2026-06-02,2313,282.00,279.20,2.800000,息,279.00
2026-06-02,2548,122.50,114.50,8.000000,息,114.50
2026-06-02,4555,57.10,56.60,0.500000,息,56.60
2026-06-02,4912,113.50,112.50,1.000000,息,112.50
2026-06-02,8487,82.00,77.19,4.806000,息,77.20
