date,stock_id,pre_close,ref_price,value,kind,open_base
2016-07-13,1219,15.45,15.20,0.250000,息,15.20
2016-07-13,1233,38.55,36.55,2.000000,息,36.55
2016-07-13,1301,80.60,77.00,3.600000,息,77.00
2016-07-13,1325,20.35,19.65,0.700000,息,19.65
2016-07-13,1463,18.00,17.30,0.700000,息,17.30
2016-07-13,1519,15.70,15.10,0.600000,息,15.10
2016-07-13,1532,38.30,36.20,2.100000,息,36.20
2016-07-13,1589,180.00,171.54,8.454016,息,171.50
2016-07-13,1723,106.50,102.00,4.500000,息,102.00
2016-07-13,2013,21.60,21.10,0.500000,息,21.10
2016-07-13,2114,81.40,76.40,5.000000,息,76.40
2016-07-13,2332,12.20,11.90,0.300000,息,11.90
2016-07-13,2419,21.05,20.30,0.750000,息,20.30
2016-07-13,2436,21.60,21.10,0.500000,息,21.10
2016-07-13,2464,47.25,44.95,2.300000,息,44.95
2016-07-13,2483,19.00,17.70,1.300000,息,17.70
2016-07-13,2489,23.00,21.20,1.800000,息,21.20
2016-07-13,2493,27.05,24.75,2.300000,息,24.75
2016-07-13,2542,53.30,47.30,6.000000,息,47.30
2016-07-13,2608,43.80,42.08,1.720000,息,42.10
2016-07-13,3060,43.60,39.80,3.800000,息,39.80
2016-07-13,3209,31.00,25.68,5.310345,權息,25.70
2016-07-13,3607,42.75,38.55,4.200000,息,38.55
2016-07-13,3705,48.75,46.25,2.500000,息,46.25
2016-07-13,4934,17.50,16.96,0.532687,息,16.95
2016-07-13,4968,70.60,63.77,6.827272,權息,63.80
2016-07-13,5471,33.75,31.55,2.200000,息,31.55
2016-07-13,8261,22.95,21.94,1.000198,息,21.95
2016-07-13,9802,63.30,60.77,2.525056,權息,61.30
