date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down,ex_div_ref
2023-06-28,1817,39.40,37.10,2.300000,息,37.10,40.80,33.40,37.10
2023-06-28,2115,34.45,33.15,1.300000,息,33.15,36.45,29.85,33.15
2023-06-28,2312,14.70,14.40,0.299810,息,14.40,15.80,13.00,14.40
2023-06-28,2408,70.80,68.66,2.130363,息,68.70,75.50,61.80,68.66
2023-06-28,2882,44.15,43.25,0.900000,息,43.25,47.55,38.95,43.25
2023-06-28,2882A,59.40,57.12,2.280000,息,57.10,62.80,51.50,57.12
2023-06-28,2882B,59.90,57.77,2.130000,息,57.80,63.50,52.00,57.77
2023-06-28,3164,25.80,25.10,0.700000,息,25.10,27.60,22.60,25.10
2023-06-28,3708,93.60,88.60,4.999945,息,88.60,97.40,79.80,88.60
2023-06-28,5538,40.00,38.00,2.000000,息,38.00,41.80,34.20,38.00
2023-06-28,6426,59.80,57.80,2.000000,息,57.80,63.50,52.10,57.80
2023-06-28,6768,71.90,66.90,5.000000,息,66.90,73.50,60.30,66.90
