date,stock_id,pre_close,ref_price,value,kind,open_base
2025-07-24,00930,17.44,17.26,0.180000,息,17.26
2025-07-24,1103,14.65,14.09,0.551097,息,14.10
2025-07-24,1108,14.85,14.10,0.750000,息,14.10
2025-07-24,1229,48.60,45.04,3.552381,權息,45.05
2025-07-24,1304,10.80,10.60,0.200000,息,10.60
2025-07-24,1305,11.60,11.45,0.150000,息,11.45
2025-07-24,1308,12.45,12.20,0.250000,息,12.20
2025-07-24,1309,11.65,11.45,0.200000,息,11.45
2025-07-24,1419,57.60,56.10,1.500000,息,56.10
2025-07-24,1434,16.95,16.15,0.800000,息,16.15
2025-07-24,1503,182.00,177.50,4.500000,息,177.50
2025-07-24,1617,15.75,15.25,0.500000,息,15.25
2025-07-24,1762,28.45,28.25,0.191585,息,28.25
2025-07-24,2002,20.00,19.67,0.330000,息,19.65
2025-07-24,2002A,40.35,38.95,1.400000,息,38.95
2025-07-24,2352,26.70,25.59,1.110000,息,25.60
2025-07-24,2414,44.35,41.85,2.500000,息,41.85
2025-07-24,2511,9.61,9.31,0.300000,息,9.31
2025-07-24,2836,12.30,11.65,0.649515,權息,11.65
2025-07-24,3702,72.40,69.20,3.200000,息,69.20
2025-07-24,3712,52.90,49.90,3.000000,息,49.90
2025-07-24,3716,35.15,34.13,1.016996,息,34.15
2025-07-24,4438,79.00,75.77,3.223500,息,75.80
2025-07-24,6742,54.50,54.19,0.303247,息,54.20
2025-07-24,6863,160.00,154.50,5.500000,息,154.50
2025-07-24,8404,21.30,20.14,1.157143,權息,20.15
2025-07-24,9925,41.85,39.85,2.000000,息,39.85
