date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down
2024-06-27,1219,19.15,18.65,0.500000,息,18.65,20.50,16.80
2024-06-27,1437,37.90,36.77,1.130000,息,36.75,40.40,33.10
2024-06-27,1473,48.70,47.50,1.200000,息,47.50,52.20,42.75
2024-06-27,1525,77.30,74.00,3.300000,息,74.00,81.40,66.60
2024-06-27,2022,11.35,11.15,0.200000,息,11.15,12.25,10.05
2024-06-27,2327,763.00,743.02,19.972383,息,743.00,817.00,669.00
2024-06-27,2368,201.00,197.50,3.499996,息,197.50,217.00,178.00
2024-06-27,2436,62.30,61.09,1.206814,息,61.10,67.10,55.00
2024-06-27,2478,54.30,52.80,1.500000,息,52.80,58.00,47.55
2024-06-27,2530,48.00,47.80,0.200000,息,47.80,52.50,43.05
2024-06-27,2603,200.00,190.03,9.965050,息,190.00,209.00,171.50
2024-06-27,2606,58.10,55.70,2.400000,息,55.70,61.20,50.20
2024-06-27,2885,33.80,32.70,1.100000,息,32.70,35.95,29.45
2024-06-27,3040,35.50,34.50,1.000000,息,34.50,37.95,31.05
2024-06-27,3090,68.30,64.90,3.400000,息,64.90,71.30,58.50
2024-06-27,3583,354.00,350.00,4.000000,息,350.00,385.00,315.00
2024-06-27,3591,29.60,29.10,0.500000,息,29.10,32.00,26.20
2024-06-27,4545,57.40,56.40,1.000000,息,56.40,62.00,50.80
2024-06-27,4555,63.00,62.50,0.497749,息,62.50,68.70,56.30
2024-06-27,4938,114.50,110.49,4.000584,息,110.50,121.50,99.50
2024-06-27,4961,278.00,267.36,10.640000,息,267.50,294.00,241.00
2024-06-27,6257,78.40,75.80,2.598433,息,75.80,83.30,68.30
2024-06-27,6271,152.50,150.10,2.400000,息,150.00,165.00,135.50
2024-06-27,6477,39.30,38.50,0.800000,息,38.50,42.35,34.65
2024-06-27,6768,97.30,93.50,3.800000,息,93.50,102.50,84.20
2024-06-27,8150,45.00,43.20,1.800000,息,43.20,47.50,38.90
2024-06-27,9904,36.75,35.65,1.100000,息,35.65,39.20,32.10
2024-06-27,9931,37.05,36.05,1.000000,息,36.05,39.65,32.45
