date,stock_id,pre_close,ref_price,value,kind,open_base
2016-07-26,1434,31.50,30.30,1.200000,息,30.30
2016-07-26,1525,121.00,119.60,1.400000,息,119.50
2016-07-26,1618,8.44,8.09,0.350000,息,8.09
2016-07-26,1702,71.50,68.90,2.600000,息,68.90
2016-07-26,1713,14.90,14.49,0.410000,息,14.50
2016-07-26,1805,6.40,5.90,0.500000,息,5.90
2016-07-26,2002,22.85,22.35,0.500000,息,22.35
2016-07-26,2002A,41.40,40.00,1.400000,息,40.00
2016-07-26,2324,21.10,19.89,1.200539,息,19.90
2016-07-26,2816,12.45,12.35,0.100000,息,12.35
2016-07-26,2855,12.70,12.12,0.579534,權息,12.10
2016-07-26,2904,27.85,25.85,2.000000,息,25.85
2016-07-26,3005,24.90,22.90,1.997975,息,22.90
2016-07-26,3376,110.50,106.50,4.000000,息,106.50
2016-07-26,4106,39.25,38.25,1.000000,息,38.25
2016-07-26,4536,106.00,101.00,5.000000,息,101.00
2016-07-26,4906,18.45,17.85,0.600000,息,17.85
2016-07-26,8404,38.70,34.90,3.790909,權息,34.90
2016-07-26,9910,167.00,144.64,22.357143,權息,144.50
2016-07-26,9925,41.95,39.95,2.000000,息,39.95
2016-07-26,9933,48.95,46.55,2.396014,息,46.55
